NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0078-0405-05,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Lotrel,"5 mg/1,                         10  mg/1",CAPSULE,ORAL,NDA020364,Novartis Pharmaceuticals Corporation,0078-0405,amlodipine besylate and benazepril hydrochloride,AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/03/1995,09/30/2026,NDA,100 CAPSULE in 1 BOTTLE (0078-0405-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]",N/A,No,N/A
0185-0211-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride and Hydrochlorothiazide,"20 mg/1,                         12.5  mg/1","TABLET, FILM COATED",ORAL,ANDA076631,Sandoz Inc,0185-0211,Benazepril Hydrochloride and Hydrochlorothiazide,BENAZEPRIL HYDROCHLORIDE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,02/11/2004,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0185-0211-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0185-0236-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride and Hydrochlorothiazide,"5 mg/1,                         6.25  mg/1","TABLET, FILM COATED",ORAL,ANDA076631,Sandoz Inc,0185-0236,Benazepril Hydrochloride and Hydrochlorothiazide,BENAZEPRIL HYDROCHLORIDE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,03/17/2015,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0185-0236-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0185-0277-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride and Hydrochlorothiazide,"20 mg/1,                         25  mg/1","TABLET, FILM COATED",ORAL,ANDA076631,Sandoz Inc,0185-0277,Benazepril Hydrochloride and Hydrochlorothiazide,BENAZEPRIL HYDROCHLORIDE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,02/11/2004,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0185-0277-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0185-0325-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride and Hydrochlorothiazide,"10 mg/1,                         12.5  mg/1","TABLET, FILM COATED",ORAL,ANDA076631,Sandoz Inc,0185-0325,Benazepril Hydrochloride and Hydrochlorothiazide,BENAZEPRIL HYDROCHLORIDE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,04/04/2014,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0185-0325-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
0574-0228-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,benazepril hydrochloride and hydrochlorothiazide,"20 mg/1,                         25  mg/1",TABLET,ORAL,NDA020033,Padagis US LLC,0574-0228,benazepril hydrochloride and hydrochlorothiazide,BENAZEPRIL HYDROCHLORIDE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,04/07/2019,03/31/2027,NDA AUTHORIZED GENERIC,100 TABLET in 1 BOTTLE (0574-0228-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,N/A
0574-0229-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,benazepril hydrochloride and hydrochlorothiazide,"20 mg/1,                         12.5  mg/1",TABLET,ORAL,NDA020033,Padagis US LLC,0574-0229,benazepril hydrochloride and hydrochlorothiazide,BENAZEPRIL HYDROCHLORIDE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,04/07/2019,09/30/2027,NDA AUTHORIZED GENERIC,100 TABLET in 1 BOTTLE (0574-0229-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,N/A
23155-749-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride,5 mg/1,TABLET,ORAL,ANDA076267,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-749,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/20/2022,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-749-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2026
23155-749-05,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride,5 mg/1,TABLET,ORAL,ANDA076267,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-749,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/20/2022,N/A,ANDA,500 TABLET in 1 BOTTLE (23155-749-05),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2026
23155-750-01,ACE_Inhibitors,Benazepril,FALSE,nonproprietary,Benazepril,Benazepril_nonproprietary_raw.csv,Benazepril Hydrochloride,10 mg/1,TABLET,ORAL,ANDA076267,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-750,Benazepril Hydrochloride,BENAZEPRIL HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/20/2022,N/A,ANDA,100 TABLET in 1 BOTTLE (23155-750-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2026
