NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0143-9786-10,ACE_Inhibitors,Enalapril,FALSE,nonproprietary,Enalapril,Enalapril_nonproprietary_raw.csv,Enalaprilat,2.5 mg/2mL,INJECTION,INTRAVENOUS,ANDA078687,Hikma Pharmaceuticals USA Inc.,0143-9786,enalaprilat,ENALAPRILAT DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/23/2008,N/A,ANDA,10 VIAL in 1 CARTON (0143-9786-10)  / 2 mL in 1 VIAL (0143-9786-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2026
0143-9787-10,ACE_Inhibitors,Enalapril,FALSE,nonproprietary,Enalapril,Enalapril_nonproprietary_raw.csv,Enalaprilat,1.25 mg/mL,INJECTION,INTRAVENOUS,ANDA078687,Hikma Pharmaceuticals USA Inc.,0143-9787,enalaprilat,ENALAPRILAT DIHYDRATE,HUMAN PRESCRIPTION DRUG,12/23/2008,N/A,ANDA,10 VIAL in 1 CARTON (0143-9787-10)  / 1 mL in 1 VIAL (0143-9787-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2026
0187-0140-30,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,2.5 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0140,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,07/26/1988,N/A,NDA,30 TABLET in 1 BOTTLE (0187-0140-30),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0140-90,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,2.5 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0140,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,07/26/1988,N/A,NDA,90 TABLET in 1 BOTTLE (0187-0140-90),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0141-30,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,5 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0141,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,30 TABLET in 1 BOTTLE (0187-0141-30),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0141-90,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,5 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0141,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,90 TABLET in 1 BOTTLE (0187-0141-90),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0142-10,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,10 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0142,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,1000 TABLET in 1 BOTTLE (0187-0142-10),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0142-30,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,10 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0142,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,30 TABLET in 1 BOTTLE (0187-0142-30),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0142-90,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,10 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0142,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,90 TABLET in 1 BOTTLE (0187-0142-90),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0143-10,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,20 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0143,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,1000 TABLET in 1 BOTTLE (0187-0143-10),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0143-30,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,20 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0143,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,30 TABLET in 1 BOTTLE (0187-0143-30),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0143-90,ACE_Inhibitors,Enalapril,FALSE,nonproprietary | proprietary,Enalapril | Vasotec,Enalapril_nonproprietary_raw.csv | Enalapril_Vasotec_proprietary_raw.csv,Vasotec,20 mg/1,TABLET,ORAL,NDA018998,Bausch Health US LLC,0187-0143,Enalapril Maleate,ENALAPRIL MALEATE,HUMAN PRESCRIPTION DRUG,12/24/1985,N/A,NDA,90 TABLET in 1 BOTTLE (0187-0143-90),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]",N/A,No,12/31/2027
0187-0146-01,ACE_Inhibitors,Enalapril,FALSE,nonproprietary,Enalapril,Enalapril_nonproprietary_raw.csv,Vaseretic,"10 mg/1,                         25  mg/1",TABLET,ORAL,NDA019221,"Bausch Health US, LLC",0187-0146,enalapril maleate and hydrochlorothiazide,ENALAPRIL MALEATE;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,10/31/1986,N/A,NDA,100 TABLET in 1 BOTTLE (0187-0146-01),"Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,12/31/2026
