NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0591-0405-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,2.5 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0405,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0405-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0405-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,2.5 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0405,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0405-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0406-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,5 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0406,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0406-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0406-10,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,5 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0406,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0591-0406-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0407-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,10 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0407,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0407-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0407-10,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,10 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0407,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0591-0407-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0408-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,20 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0408,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0408-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0408-10,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,20 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0408,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0591-0408-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0409-01,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,40 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0409,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0409-01)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
0591-0409-05,ACE_Inhibitors,Lisinopril,FALSE,nonproprietary,Lisinopril,Lisinopril_nonproprietary_raw.csv,Lisinopril,40 mg/1,TABLET,ORAL,ANDA076059,"Actavis Pharma, Inc.",0591-0409,Lisinopril,LISINOPRIL,HUMAN PRESCRIPTION DRUG,07/01/2002,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0409-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]",N/A,No,12/31/2026
