NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0378-3001-77,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,Candesartan Cilexetil and Hydrochlorothiazide,"16 mg/1,                         12.5  mg/1",TABLET,ORAL,ANDA090704,Mylan Pharmaceuticals Inc.,0378-3001,candesartan cilexetil and hydrochlorothiazide,CANDESARTAN CILEXETIL;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,12/04/2012,02/28/2027,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (0378-3001-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,N/A
0378-3003-77,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,Candesartan Cilexetil and Hydrochlorothiazide,"32 mg/1,                         25  mg/1",TABLET,ORAL,ANDA090704,Mylan Pharmaceuticals Inc.,0378-3003,candesartan cilexetil and hydrochlorothiazide,CANDESARTAN CILEXETIL;  HYDROCHLOROTHIAZIDE,HUMAN PRESCRIPTION DRUG,12/04/2012,08/31/2026,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (0378-3003-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]",N/A,No,N/A
0378-3224-77,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,4 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3224,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (0378-3224-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3224-93,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,4 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3224,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (0378-3224-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3225-77,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,8 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3225,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (0378-3225-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3225-93,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,8 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3225,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (0378-3225-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3231-77,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,16 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3231,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (0378-3231-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3231-93,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,16 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3231,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (0378-3231-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3232-77,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,32 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3232,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"90 TABLET in 1 BOTTLE, PLASTIC (0378-3232-77)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
0378-3232-93,ARBs,CandesartanCilexetil,FALSE,nonproprietary,CandesartanCilexetil,CandesartanCilexetil_nonproprietary_raw.csv,candesartan cilexetil,32 mg/1,TABLET,ORAL,ANDA078702,Mylan Pharmaceuticals Inc.,0378-3232,candesartan cilexetil,CANDESARTAN CILEXETIL,HUMAN PRESCRIPTION DRUG,01/06/2020,N/A,ANDA,"30 TABLET in 1 BOTTLE, PLASTIC (0378-3232-93)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]",N/A,No,12/31/2026
