NDC Package Code,category,medication,combo,search_type,search_term,source_file,Proprietary Name,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
0078-0659-20,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"24 mg/1,                         26  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-0659,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,07/07/2015,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0078-0659-20)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-0659-67,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"24 mg/1,                         26  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-0659,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,07/07/2015,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (0078-0659-67)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-0696-20,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"97 mg/1,                         103  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-0696,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,07/07/2015,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0078-0696-20)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-0696-67,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"97 mg/1,                         103  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-0696,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,07/07/2015,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (0078-0696-67)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-0777-20,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"49 mg/1,                         51  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-0777,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,07/07/2015,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0078-0777-20)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-0777-67,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"49 mg/1,                         51  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-0777,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,07/07/2015,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (0078-0777-67)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-1231-20,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"6 mg/1,                         6  mg/1",PELLET,ORAL,NDA218591,Novartis Pharmaceuticals Corporation,0078-1231,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,04/12/2024,N/A,NDA,60 PELLET in 1 BOTTLE (0078-1231-20),"Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-1238-20,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"15 mg/1,                         16  mg/1",PELLET,ORAL,NDA218591,Novartis Pharmaceuticals Corporation,0078-1238,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,04/12/2024,N/A,NDA,60 PELLET in 1 BOTTLE (0078-1238-20),"Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,No,12/31/2027
0078-9659-50,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"24 mg/1,                         26  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-9659,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,08/23/2018,N/A,NDA,"28 TABLET, FILM COATED in 1 BOTTLE (0078-9659-50)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,Yes,12/31/2027
0078-9777-50,ARBs,SacubitrilValsartan,TRUE,proprietary,Entresto,SacubitrilValsartan_combo_Entresto_proprietary_raw.csv,ENTRESTO,"49 mg/1,                         51  mg/1","TABLET, FILM COATED",ORAL,NDA207620,Novartis Pharmaceuticals Corporation,0078-9777,Sacubitril and Valsartan,SACUBITRIL;  VALSARTAN,HUMAN PRESCRIPTION DRUG,08/23/2018,N/A,NDA,"28 TABLET, FILM COATED in 1 BOTTLE (0078-9777-50)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Neprilysin Inhibitor [EPC],  Neprilysin Inhibitors [MoA]",N/A,Yes,12/31/2027
