"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE","72189-260-90","10 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA202239","DIRECT RX","72189-260","AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/10/2021","N/A","ANDA","90 CAPSULE in 1 BOTTLE (72189-260-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-5137-0","10 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA077183","A-S Medication Solutions","50090-5137","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/27/2020","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-5137-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-5137-1","10 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA077183","A-S Medication Solutions","50090-5137","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/31/2020","N/A","ANDA","90 CAPSULE in 1 BOTTLE (50090-5137-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-5357-0","5 mg/1,                         40  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-5357","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","11/12/2020","N/A","ANDA","90 CAPSULE in 1 BOTTLE (50090-5357-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-5389-0","10 mg/1,                         40  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-5389","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","11/23/2020","N/A","ANDA","90 CAPSULE in 1 BOTTLE (50090-5389-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-5404-0","5 mg/1,                         10  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-5404","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/09/2020","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-5404-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-6185-0","5 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-6185","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/25/2022","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-6185-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-6185-1","5 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-6185","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/25/2022","N/A","ANDA","90 CAPSULE in 1 BOTTLE (50090-6185-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-6427-0","10 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-6427","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/07/2023","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-6427-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
"Cardiovascular_Medication","ACE_Inhibitors","Benazepril",FALSE,"nonproprietary","Benazepril","Benazepril_nonproprietary_raw.csv","Amlodipine Besylate and Benazepril Hydrochloride","50090-6427-1","10 mg/1,                         20  mg/1","CAPSULE","ORAL","ANDA078466","A-S Medication Solutions","50090-6427","Amlodipine Besylate and Benazepril Hydrochloride","AMLODIPINE BESYLATE;  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/07/2023","N/A","ANDA","90 CAPSULE in 1 BOTTLE (50090-6427-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026",0,FALSE,FALSE
