"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","0054-0140-25","25 mg/1","TABLET","ORAL","ANDA078470","Hikma Pharmaceuticals USA Inc.","0054-0140","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","05/07/2008","N/A","ANDA","100 TABLET in 1 BOTTLE (0054-0140-25)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","0054-0141-25","50 mg/1","TABLET","ORAL","ANDA078470","Hikma Pharmaceuticals USA Inc.","0054-0141","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","05/07/2008","N/A","ANDA","100 TABLET in 1 BOTTLE (0054-0141-25)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","0054-0142-25","100 mg/1","TABLET","ORAL","ANDA078470","Hikma Pharmaceuticals USA Inc.","0054-0142","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","05/07/2008","N/A","ANDA","100 TABLET in 1 BOTTLE (0054-0142-25)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-147-01","25 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-147","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","05/31/2028","ANDA","100 TABLET in 1 BOTTLE (23155-147-01)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-147-05","25 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-147","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","N/A","ANDA","500 TABLET in 1 BOTTLE (23155-147-05)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-147-10","25 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-147","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","N/A","ANDA","1000 TABLET in 1 BOTTLE (23155-147-10)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-148-01","50 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-148","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","05/31/2028","ANDA","100 TABLET in 1 BOTTLE (23155-148-01)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-148-05","50 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-148","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","N/A","ANDA","500 TABLET in 1 BOTTLE (23155-148-05)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-148-10","50 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-148","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","N/A","ANDA","1000 TABLET in 1 BOTTLE (23155-148-10)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Diabetic_Medication","Diabetic_Medication","Acarbose",FALSE,"nonproprietary","Acarbose","Acarbose_nonproprietary_raw.csv","Acarbose","23155-149-01","100 mg/1","TABLET","ORAL","ANDA202271","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-149","Acarbose","ACARBOSE","HUMAN PRESCRIPTION DRUG","04/16/2021","03/31/2028","ANDA","100 TABLET in 1 BOTTLE (23155-149-01)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
