"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ACID GONE ANTACID","0904-7727-14","95 mg/15mL, 358 mg/15mL","LIQUID","ORAL","M001","Major Pharmaceuticals","0904-7727","aluminum hydroxide and magnesium carbonate","ALUMINUM HYDROXIDE; MAGNESIUM CARBONATE","HUMAN OTC DRUG","03/01/2017","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (0904-7727-14)","N/A","N/A","No","12/31/2027",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ADVANCED ANTACID MINT","50804-639-12","400 mg/10mL, 400 mg/10mL, 40 mg/10mL","SUSPENSION","ORAL","M001","GOODSENSE","50804-639","aluminum hydroxide, magnesium hydroxide, dimethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","07/01/2020","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (50804-639-12)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ADVANCED REGULAR STRENGTH ANTACID","0363-1639-12","200 mg/5mL, 200 mg/5mL, 20 mg/5mL","SUSPENSION","ORAL","M001","WALGREEN COMPANY","0363-1639","aluminum hydroxide, magnesium hydroxide, simethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","01/01/2015","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (0363-1639-12)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ADVANCED REGULAR STRENGTH ANTACID","0363-1639-26","200 mg/5mL, 200 mg/5mL, 20 mg/5mL","SUSPENSION","ORAL","M001","WALGREEN COMPANY","0363-1639","aluminum hydroxide, magnesium hydroxide, simethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","01/01/2015","N/A","OTC MONOGRAPH DRUG","769 mL in 1 BOTTLE (0363-1639-26)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ALMACONE DOUBLE STRENGTH","0536-0015-83","400 mg/5mL, 400 mg/5mL, 40 mg/5mL","SUSPENSION","ORAL","M001","RUGBY LABORATORIES","0536-0015","aluminum hydroxide, magnesium hydroxide, dimethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","08/01/2013","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (0536-0015-83)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ANTACID AND GASRELIEF","50804-629-12","400 mg/10mL, 400 mg/10mL, 40 mg/10mL","SUSPENSION","ORAL","M001","GOODSENSE","50804-629","aluminum hydroxide, magnesium hydroxide, dimethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","07/01/2020","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (50804-629-12)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ANTACID AND GASRELIEF","50804-638-12","800 mg/10mL, 800 mg/10mL, 80 mg/10mL","LIQUID","ORAL","M001","GOODSENSE","50804-638","aluminum hydroxide, magnesium hydroxide, simethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","07/01/2020","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (50804-638-12)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ANTACID ANTIGAS","46122-431-40","800 mg/10mL, 800 mg/10mL, 80 mg/10mL","LIQUID","ORAL","M001","AMERISOURCEBERGEN DRUG CORPORATION","46122-431","aluminum hydroxide, magnesium hydroxide, simethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","01/31/2018","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (46122-431-40)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ANTACID ANTIGAS","46122-432-40","800 mg/10mL, 800 mg/10mL, 80 mg/10mL","LIQUID","ORAL","M001","AMERISOURCEBERGEN DRUG CORPORATION","46122-432","aluminum hydroxide, magnesium hydroxide, simethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","01/31/2018","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (46122-432-40)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Antacids","AluminumHydroxide",FALSE,"nonproprietary","AluminumHydroxide","AluminumHydroxide_nonproprietary_raw.csv","ANTACID MINT","63868-694-57","200 mg/5mL, 200 mg/5mL, 20 mg/5mL","SUSPENSION","ORAL","M001","Chain Drug Marketing Association","63868-694","aluminum hydroxide, magnesium hydroxide, dimethicone","ALUMINUM HYDROXIDE; DIMETHICONE; MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","03/01/2014","N/A","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE (63868-694-57)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026",0,FALSE,FALSE
