"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-00","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","7 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-00)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-01","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","5 BLISTER PACK in 1 TRAY (64764-171-01) / 4 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-03","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","1 BOTTLE in 1 CARTON (64764-171-03) / 5 CAPSULE, DELAYED RELEASE in 1 BOTTLE","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-11","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","10 BLISTER PACK in 1 CARTON (64764-171-11) / 10 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-19","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-19)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-30","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-30)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-171-90","30 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-171","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-171-90)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-175-00","60 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-175","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","7 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-175-00)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-175-01","60 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-175","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","5 BLISTER PACK in 1 TRAY (64764-175-01) / 4 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
"Gastrointestinal_Medication","Proton_Pump_Inhibitors","Dexlansoprazole",FALSE,"proprietary | nonproprietary","Dexilant | Dexlansoprazole","Dexlansoprazole_Dexilant_proprietary_raw.csv | Dexlansoprazole_nonproprietary_raw.csv","Dexilant","64764-175-02","60 mg/1","CAPSULE, DELAYED RELEASE","ORAL","NDA022287","Takeda Pharmaceuticals America, Inc.","64764-175","dexlansoprazole","DEXLANSOPRAZOLE","HUMAN PRESCRIPTION DRUG","04/12/2010","N/A","NDA","30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (64764-175-02)","Proton Pump Inhibitor [EPC], Proton Pump Inhibitors [MoA]","N/A","No","12/31/2026",0,FALSE,FALSE
