"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0325-01",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0325","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","1 KIT in 1 CARTON (0025-0325-01) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0325-02",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0325","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","2 KIT in 1 CARTON (0025-0325-02) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0328-02",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0328","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","2 KIT in 1 CARTON (0025-0328-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (0025-0317-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0333-02",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0333","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","2 KIT in 1 CARTON (0025-0333-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .4 mL in 1 SYRINGE (0025-0329-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","50090-7998-0",NA,"KIT",NA,"BLA761118","A-S Medication Solutions","50090-7998","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","06/17/2026","N/A","BLA","2 KIT in 1 CARTON (50090-7998-0) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","50090-8032-0",NA,"KIT",NA,"BLA761118","A-S Medication Solutions","50090-8032","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","08/05/2026","N/A","BLA","1 KIT in 1 KIT (50090-8032-0) * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (0025-0317-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","AMJEVITA","55513-399-01","20 mg/.2mL","INJECTION","SUBCUTANEOUS","BLA761024","Amgen, Inc","55513-399","adalimumab-atto","ADALIMUMAB","HUMAN PRESCRIPTION DRUG","08/14/2023","N/A","BLA","1 SYRINGE in 1 CARTON (55513-399-01) / .2 mL in 1 SYRINGE","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","AMJEVITA","55513-400-01","40 mg/.8mL","INJECTION","SUBCUTANEOUS","BLA761024","Amgen, Inc","55513-400","adalimumab-atto","ADALIMUMAB","HUMAN PRESCRIPTION DRUG","01/31/2023","N/A","BLA","1 SYRINGE in 1 CARTON (55513-400-01) / .8 mL in 1 SYRINGE","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","AMJEVITA","55513-400-02","40 mg/.8mL","INJECTION","SUBCUTANEOUS","BLA761024","Amgen, Inc","55513-400","adalimumab-atto","ADALIMUMAB","HUMAN PRESCRIPTION DRUG","01/31/2023","N/A","BLA","2 SYRINGE in 1 CARTON (55513-400-02) / .8 mL in 1 SYRINGE","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
"Gastrointestinal_Medication","Ulcerative_Colitis_Treatment","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","AMJEVITA","55513-400-91","40 mg/.8mL","INJECTION","SUBCUTANEOUS","BLA761024","Amgen, Inc","55513-400","adalimumab-atto","ADALIMUMAB","HUMAN PRESCRIPTION DRUG","01/31/2023","N/A","BLA","1 SYRINGE in 1 CARTON (55513-400-91) / .8 mL in 1 SYRINGE","Antibodies, Monoclonal [CS], Tumor Necrosis Factor Blocker [EPC], Tumor Necrosis Factor Receptor Blocking Activity [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
