"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","AlmotriptanMalate",FALSE,"nonproprietary","AlmotriptanMalate","AlmotriptanMalate_nonproprietary_raw.csv","Almotriptan Malate","0093-5260-18","6.25 mg/1","TABLET, FILM COATED","ORAL","ANDA078027","Teva Pharmaceuticals USA, Inc.","0093-5260","Almotriptan Malate","ALMOTRIPTAN MALATE","HUMAN PRESCRIPTION DRUG","07/07/2015","N/A","ANDA","6 BLISTER PACK in 1 CARTON (0093-5260-18) / 1 TABLET, FILM COATED in 1 BLISTER PACK (0093-5260-19)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","AlmotriptanMalate",FALSE,"nonproprietary","AlmotriptanMalate","AlmotriptanMalate_nonproprietary_raw.csv","Almotriptan Malate","0093-5261-29","12.5 mg/1","TABLET, FILM COATED","ORAL","ANDA078027","Teva Pharmaceuticals USA, Inc.","0093-5261","Almotriptan Malate","ALMOTRIPTAN MALATE","HUMAN PRESCRIPTION DRUG","07/07/2015","N/A","ANDA","12 BLISTER PACK in 1 CARTON (0093-5261-29) / 1 TABLET, FILM COATED in 1 BLISTER PACK (0093-5261-19)","Serotonin 1b Receptor Agonists [MoA], Serotonin 1d Receptor Agonists [MoA], Serotonin-1b and Serotonin-1d Receptor Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7094-04","60 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7094","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","10/06/2021","N/A","NDA","4 TABLET in 1 BOTTLE (0074-7094-04)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","Yes","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7094-30","60 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7094","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","09/30/2021","N/A","NDA","30 TABLET in 1 BOTTLE (0074-7094-30)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7094-70","60 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7094","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","12/17/2025","N/A","NDA","4 TABLET in 1 BOTTLE (0074-7094-70)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","Yes","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7095-30","10 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7095","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","09/30/2021","N/A","NDA","30 TABLET in 1 BOTTLE (0074-7095-30)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7096-04","30 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7096","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","10/06/2021","N/A","NDA","4 TABLET in 1 BOTTLE (0074-7096-04)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","Yes","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7096-30","30 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7096","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","09/30/2021","N/A","NDA","30 TABLET in 1 BOTTLE (0074-7096-30)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","No","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","Atogepant",FALSE,"nonproprietary | proprietary","Atogepant | Qulipta","Atogepant_nonproprietary_raw.csv | Atogepant_Qulipta_proprietary_raw.csv","Qulipta","0074-7096-70","30 mg/1","TABLET","ORAL","NDA215206","AbbVie Inc.","0074-7096","Atogepant","ATOGEPANT","HUMAN PRESCRIPTION DRUG","02/06/2026","N/A","NDA","4 TABLET in 1 BOTTLE (0074-7096-70)","Calcitonin Gene-related Peptide Receptor Antagonist [EPC], Calcitonin Gene-related Peptide Receptor Antagonists [MoA]","N/A","Yes","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Migraine_Treatment:prevention","DihydroergotamineMesylate",FALSE,"proprietary | nonproprietary","Atzumi | DihydroergotamineMesylate","DihydroergotamineMesylate_Atzumi_proprietary_raw.csv | DihydroergotamineMesylate_nonproprietary_raw.csv","ATZUMI","76978-101-08","5.2 mg/1","POWDER","NASAL","NDA217901","Satsuma Pharmaceuticals, Inc.","76978-101","DIHYDROERGOTAMINE MESYLATE","DIHYDROERGOTAMINE MESYLATE","HUMAN PRESCRIPTION DRUG","04/30/2025","N/A","NDA","8 BOTTLE, UNIT-DOSE in 1 CARTON (76978-101-08) / 1 POWDER in 1 BOTTLE, UNIT-DOSE","Ergotamine Derivative [EPC], Ergotamines [CS]","N/A","No","12/31/2027",0,FALSE,FALSE
