"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","24-7 Life BY 7-ELEVEN Nighttime Cold and Flu","66715-6416-4","30 mg/30mL,  650 mg/30mL,  12.5 mg/30mL","SOLUTION","ORAL","M012","Lil' Drug Store products, Inc.","66715-6416","acetaminophen, dextromethorphan hbr, doxylamine succinate solution","DEXTROMETHORPHAN HYDROBROMIDE,  ACETAMINOPHEN,  DOXYLAMINE SUCCINATE","HUMAN OTC DRUG","04/19/2022","12/02/2028","OTC MONOGRAPH DRUG","355 mL in 1 BOTTLE, PLASTIC (66715-6416-4)","Antihistamine [EPC],  Histamine Receptor Antagonists [MoA],  Sigma-1 Agonist [EPC],  Sigma-1 Receptor Agonists [MoA],  Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC],  Uncompetitive NMDA Receptor Antagonists [MoA]","N/A","No","N/A",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","365 whole foods market acetaminophen","42681-0025-1","500 mg/1","TABLET","ORAL","M013","Whole Foods Market, INC.","42681-0025","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","08/23/2020","N/A","OTC MONOGRAPH DRUG","1 BOTTLE in 1 CARTON (42681-0025-1)  / 100 TABLET in 1 BOTTLE","N/A","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 HR Arthritis Pain","75907-430-01","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","Dr. Reddy's Laboratories Inc.","75907-430","ACETAMINOPHEN","ACETAMINOPHEN","HUMAN OTC DRUG","07/01/2026","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE (75907-430-01)","N/A","N/A","No","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 HR Arthritis Pain","75907-430-40","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","Dr. Reddy's Laboratories Inc.","75907-430","ACETAMINOPHEN","ACETAMINOPHEN","HUMAN OTC DRUG","07/01/2026","N/A","ANDA","400 TABLET, EXTENDED RELEASE in 1 BOTTLE (75907-430-40)","N/A","N/A","No","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 HR MUSCLE ACHES AND PAIN","51316-354-42","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA215486","CVS Pharmacy","51316-354","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","06/25/2025","N/A","ANDA","1 BOTTLE in 1 CARTON (51316-354-42)  / 24 TABLET, EXTENDED RELEASE in 1 BOTTLE","N/A","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 Hour Arthritis Pain","46122-629-62","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","AMERISOURCE BERGEN","46122-629","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","01/30/2023","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (46122-629-62)  / 24 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC","N/A","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 Hour Arthritis Pain","46122-629-71","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","AMERISOURCE BERGEN","46122-629","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","01/13/2020","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (46122-629-71)  / 50 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC","N/A","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 Hour Arthritis Pain","46122-629-78","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","AMERISOURCE BERGEN","46122-629","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","01/13/2020","N/A","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (46122-629-78)  / 100 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC","N/A","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 Hour Arthritis Pain","46122-629-81","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","AMERISOURCE BERGEN","46122-629","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","01/13/2020","N/A","ANDA","200 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (46122-629-81)","N/A","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","NSAID","Acetaminophen",FALSE,"nonproprietary","Acetaminophen","Acetaminophen_nonproprietary_raw.csv","8 Hour Arthritis Pain","63941-300-02","650 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA211544","VALU MERCHANDISERS COMPANY","63941-300","Acetaminophen","ACETAMINOPHEN","HUMAN OTC DRUG","01/01/2020","12/31/2027","ANDA","1 BOTTLE, PLASTIC in 1 CARTON (63941-300-02)  / 50 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC","N/A","N/A","No","N/A",0,FALSE,FALSE
