"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse"
"Neurologic:musculoskeletal_Medication","NSAID","Celecoxib",FALSE,"nonproprietary","Celecoxib","Celecoxib_nonproprietary_raw.csv","CELECOXIB (U)","61919-045-60",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","Celecoxib",FALSE,"nonproprietary","Celecoxib","Celecoxib_nonproprietary_raw.csv","CELECOXIB (U)","61919-045-30",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","Diclofenac",FALSE,"proprietary","Flector","Diclofenac_Flector_proprietary_raw.csv","FLECTOR (U)","61919-566-30",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","DiclofenacSodium",FALSE,"nonproprietary","DiclofenacSodium","DiclofenacSodium_nonproprietary_raw.csv","Diclofenac Sodium D/R (U)","61919-074-60",NA,NA,NA,NA,"Direct RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","DiclofenacSodium",FALSE,"nonproprietary","DiclofenacSodium","DiclofenacSodium_nonproprietary_raw.csv","Diclofenac Sodium D/R (U)","61919-074-30",NA,NA,NA,NA,"Direct RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","DiclofenacSodium",FALSE,"nonproprietary","DiclofenacSodium","DiclofenacSodium_nonproprietary_raw.csv","Diclofenac Sodium D/R (U)","61919-074-90",NA,NA,NA,NA,"Direct RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","DiclofenacSodium",FALSE,"nonproprietary","DiclofenacSodium","DiclofenacSodium_nonproprietary_raw.csv","Diclofenac Sodium D/R (U)","61919-075-60",NA,NA,NA,NA,"Direct RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","DiclofenacSodium",FALSE,"nonproprietary","DiclofenacSodium","DiclofenacSodium_nonproprietary_raw.csv","Diclofenac Sodium D/R (U)","61919-075-30",NA,NA,NA,NA,"Direct RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","HydrocodoneBitartrate",FALSE,"nonproprietary","HydrocodoneBitartrate","HydrocodoneBitartrate_nonproprietary_raw.csv","HYDROCODONE BITARTRATE (U)","61919-296-30",NA,NA,NA,NA,"DIRECT RX",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
"Neurologic:musculoskeletal_Medication","NSAID","KetorolacTromethamine",FALSE,"nonproprietary","KetorolacTromethamine","KetorolacTromethamine_nonproprietary_raw.csv","Ketorolac Tromethamine (E)","71872-7234-1",NA,NA,NA,NA,"Medical Purchasing Solutions, LLC",NA,NA,NA,NA,NA,"N/A",NA,NA,"N/A","N/A","N/A",NA,3,TRUE
