"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2187-13","250 mg/15mL","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2187","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","01/01/2009","N/A","BLA","1 VIAL, SINGLE-USE in 1 CARTON (0003-2187-13) / 15 mL in 1 VIAL, SINGLE-USE","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2188-11","125 mg/mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2188","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","10/01/2013","N/A","BLA","4 SYRINGE, GLASS in 1 CARTON (0003-2188-11) / 1 mL in 1 SYRINGE, GLASS","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2188-51","125 mg/mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2188","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","06/07/2016","N/A","BLA","4 SYRINGE, GLASS in 1 CARTON (0003-2188-51) / 1 mL in 1 SYRINGE, GLASS","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2188-90","125 mg/mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2188","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","07/12/2016","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (0003-2188-90) / 1 mL in 1 SYRINGE, GLASS","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","Yes","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2188-91","125 mg/mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2188","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","10/01/2013","N/A","BLA","1 SYRINGE, GLASS in 1 CARTON (0003-2188-91) / 1 mL in 1 SYRINGE, GLASS","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","Yes","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2814-11","50 mg/.4mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2814","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","03/30/2017","N/A","BLA","4 SYRINGE, GLASS in 1 CARTON (0003-2814-11) / .4 mL in 1 SYRINGE, GLASS","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Abatacept",FALSE,"nonproprietary | proprietary","Abatacept | Orencia","Abatacept_nonproprietary_raw.csv | Abatacept_Orencia_proprietary_raw.csv","ORENCIA","0003-2818-11","87.5 mg/.7mL","INJECTION, SOLUTION","SUBCUTANEOUS","BLA125118","E.R. Squibb & Sons, L.L.C.","0003-2818","abatacept","ABATACEPT","HUMAN PRESCRIPTION DRUG","03/30/2017","N/A","BLA","4 SYRINGE, GLASS in 1 CARTON (0003-2818-11) / .7 mL in 1 SYRINGE, GLASS","Decreased Cytokine Activity [PE], Recombinant Fusion Proteins [CS], Selective T Cell Costimulation Modulator [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0325-01",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0325","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","1 KIT in 1 CARTON (0025-0325-01) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0325-02",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0325","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","2 KIT in 1 CARTON (0025-0325-02) / 1 KIT in 1 KIT * .8 mL in 1 SYRINGE (0025-0318-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Rheumatologic","Adalimumab",FALSE,"nonproprietary","Adalimumab","Adalimumab_nonproprietary_raw.csv","ABRILADA","0025-0328-02",NA,"KIT",NA,"BLA761118","Pfizer Laboratories Div Pfizer Inc","0025-0328","adalimumab-afzb",NA,"HUMAN PRESCRIPTION DRUG","12/14/2023","N/A","BLA","2 KIT in 1 CARTON (0025-0328-02) / 1 KIT in 1 KIT * 1 SYRINGE in 1 TRAY / .8 mL in 1 SYRINGE (0025-0317-01) * 1 mL in 1 PACKET (0069-1111-01)","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
