"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","0615-8466-05","10 mg/1","TABLET","ORAL","ANDA209102","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8466","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","05/08/2023","N/A","ANDA","15 TABLET in 1 BLISTER PACK (0615-8466-05)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","0615-8466-39","10 mg/1","TABLET","ORAL","ANDA209102","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8466","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","05/08/2023","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8466-39)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","0615-8467-39","20 mg/1","TABLET","ORAL","ANDA209102","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8467","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","05/18/2023","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8467-39)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","0904-7552-61","10 mg/1","TABLET","ORAL","ANDA215885","Major Pharmaceuticals","0904-7552","baclofen","BACLOFEN","HUMAN PRESCRIPTION DRUG","11/01/2025","N/A","ANDA","10 BLISTER PACK in 1 CARTON (0904-7552-61) / 10 TABLET in 1 BLISTER PACK","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","0904-7553-61","20 mg/1","TABLET","ORAL","ANDA215885","Major Pharmaceuticals","0904-7553","baclofen","BACLOFEN","HUMAN PRESCRIPTION DRUG","11/01/2025","N/A","ANDA","10 BLISTER PACK in 1 CARTON (0904-7553-61) / 10 TABLET in 1 BLISTER PACK","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","0904-7558-06","5 mg/1","TABLET","ORAL","ANDA209102","Major Pharmaceuticals","0904-7558","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","10/22/2025","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7558-06) / 1 TABLET in 1 BLISTER PACK","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","14789-161-05","2000 ug/mL","INJECTION","INTRATHECAL","ANDA217324","Nexus Pharmaceuticals LLC","14789-161","Baclofen","BACLOFEN","HUMAN PRESCRIPTION DRUG","02/22/2023","N/A","ANDA","1 VIAL in 1 CARTON (14789-161-05) / 20 mL in 1 VIAL","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","16571-169-01","5 mg/1","TABLET","ORAL","ANDA214374","Rising Pharma Holdings, Inc.","16571-169","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","03/01/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (16571-169-01)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","16571-171-01","10 mg/1","TABLET","ORAL","ANDA214374","Rising Pharma Holdings, Inc.","16571-171","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","03/01/2024","N/A","ANDA","100 TABLET in 1 BOTTLE (16571-171-01)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"Neurologic:musculoskeletal_Medication","Other_Skeletal_Muscle_Relaxants","Baclofen",FALSE,"nonproprietary","Baclofen","Baclofen_nonproprietary_raw.csv","BACLOFEN","16571-171-10","10 mg/1","TABLET","ORAL","ANDA214374","Rising Pharma Holdings, Inc.","16571-171","BACLOFEN","BACLOFEN","HUMAN PRESCRIPTION DRUG","03/01/2024","N/A","ANDA","1000 TABLET in 1 BOTTLE (16571-171-10)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
