"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"OB:GYN","Medroxyprogesterone","ConjugatedEstrogensMedroxyprogesteroneAcetate",TRUE,"proprietary","Premphase","ConjugatedEstrogensMedroxyprogesteroneAcetate_combo_Premphase_proprietary_raw.csv","Premphase","0046-2575-12",NA,"KIT",NA,"NDA020527","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.","0046-2575","conjugated estrogens and medroxyprogesterone acetate",NA,"HUMAN PRESCRIPTION DRUG","03/01/2012","N/A","NDA","1 BLISTER PACK in 1 CARTON (0046-2575-12) / 1 KIT in 1 BLISTER PACK","N/A","N/A","No","12/31/2027",2,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","ConjugatedEstrogensMedroxyprogesteroneAcetate",TRUE,"proprietary","Prempro","ConjugatedEstrogensMedroxyprogesteroneAcetate_combo_Prempro_proprietary_raw.csv","Prempro","0046-1105-11",".3 mg/1, 1.5 mg/1","TABLET, SUGAR COATED","ORAL","NDA020527","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.","0046-1105","conjugated estrogens and medroxyprogesterone acetate","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","09/21/2009","N/A","NDA","1 BLISTER PACK in 1 CARTON (0046-1105-11) / 28 TABLET, SUGAR COATED in 1 BLISTER PACK","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Estrogens, Conjugated (USP) [CS], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","ConjugatedEstrogensMedroxyprogesteroneAcetate",TRUE,"proprietary","Prempro","ConjugatedEstrogensMedroxyprogesteroneAcetate_combo_Prempro_proprietary_raw.csv","Prempro","0046-1106-11",".45 mg/1, 1.5 mg/1","TABLET, SUGAR COATED","ORAL","NDA020527","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.","0046-1106","conjugated estrogens and medroxyprogesterone acetate","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","09/21/2009","N/A","NDA","1 BLISTER PACK in 1 CARTON (0046-1106-11) / 28 TABLET, SUGAR COATED in 1 BLISTER PACK","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Estrogens, Conjugated (USP) [CS], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","ConjugatedEstrogensMedroxyprogesteroneAcetate",TRUE,"proprietary","Prempro","ConjugatedEstrogensMedroxyprogesteroneAcetate_combo_Prempro_proprietary_raw.csv","Prempro","0046-1107-11",".625 mg/1, 2.5 mg/1","TABLET, SUGAR COATED","ORAL","NDA020527","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.","0046-1107","conjugated estrogens and medroxyprogesterone acetate","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","09/21/2009","N/A","NDA","1 BLISTER PACK in 1 CARTON (0046-1107-11) / 28 TABLET, SUGAR COATED in 1 BLISTER PACK","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Estrogens, Conjugated (USP) [CS], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","ConjugatedEstrogensMedroxyprogesteroneAcetate",TRUE,"proprietary","Prempro","ConjugatedEstrogensMedroxyprogesteroneAcetate_combo_Prempro_proprietary_raw.csv","Prempro","0046-1108-11",".625 mg/1, 5 mg/1","TABLET, SUGAR COATED","ORAL","NDA020527","Wyeth Pharmaceuticals LLC, a subsidiary of Pfizer Inc.","0046-1108","conjugated estrogens and medroxyprogesterone acetate","ESTROGENS, CONJUGATED; MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","12/03/2012","N/A","NDA","1 BLISTER PACK in 1 CARTON (0046-1108-11) / 28 TABLET, SUGAR COATED in 1 BLISTER PACK","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Estrogens, Conjugated (USP) [CS], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","MedroxyprogesteroneAcetate",FALSE,"proprietary | nonproprietary","DepoProvera | MedroxyprogesteroneAcetate | Provera","MedroxyprogesteroneAcetate_DepoProvera_proprietary_raw.csv | MedroxyprogesteroneAcetate_nonproprietary_raw.csv | MedroxyprogesteroneAcetate_Provera_proprietary_raw.csv","Depo-Provera","0009-0746-30","150 mg/mL","INJECTION, SUSPENSION","INTRAMUSCULAR","NDA020246","Pharmacia & Upjohn Company LLC","0009-0746","medroxyprogesterone acetate","MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","1 VIAL in 1 CARTON (0009-0746-30) / 1 mL in 1 VIAL","Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","MedroxyprogesteroneAcetate",FALSE,"proprietary | nonproprietary","DepoProvera | MedroxyprogesteroneAcetate | Provera","MedroxyprogesteroneAcetate_DepoProvera_proprietary_raw.csv | MedroxyprogesteroneAcetate_nonproprietary_raw.csv | MedroxyprogesteroneAcetate_Provera_proprietary_raw.csv","Depo-Provera","0009-0746-35","150 mg/mL","INJECTION, SUSPENSION","INTRAMUSCULAR","NDA020246","Pharmacia & Upjohn Company LLC","0009-0746","medroxyprogesterone acetate","MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","25 VIAL in 1 PACKAGE (0009-0746-35) / 1 mL in 1 VIAL","Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","MedroxyprogesteroneAcetate",FALSE,"proprietary | nonproprietary","DepoProvera | MedroxyprogesteroneAcetate | Provera","MedroxyprogesteroneAcetate_DepoProvera_proprietary_raw.csv | MedroxyprogesteroneAcetate_nonproprietary_raw.csv | MedroxyprogesteroneAcetate_Provera_proprietary_raw.csv","Depo-Provera","0009-7376-11","150 mg/mL","INJECTION, SUSPENSION","INTRAMUSCULAR","NDA020246","Pharmacia & Upjohn Company LLC","0009-7376","medroxyprogesterone acetate","MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","10/29/1992","N/A","NDA","1 SYRINGE in 1 CARTON (0009-7376-11) / 1 mL in 1 SYRINGE","Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","MedroxyprogesteroneAcetate",FALSE,"nonproprietary | proprietary","MedroxyprogesteroneAcetate | Provera","MedroxyprogesteroneAcetate_nonproprietary_raw.csv | MedroxyprogesteroneAcetate_Provera_proprietary_raw.csv","Depo-SubQ Provera","0009-4709-13","104 mg/.65mL","INJECTION, SUSPENSION","SUBCUTANEOUS","NDA021583","Pharmacia & Upjohn Company LLC","0009-4709","medroxyprogesterone acetate","MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","05/02/2005","N/A","NDA","1 SYRINGE in 1 CARTON (0009-4709-13) / .65 mL in 1 SYRINGE","Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"OB:GYN","Medroxyprogesterone","MedroxyprogesteroneAcetate",FALSE,"nonproprietary","MedroxyprogesteroneAcetate","MedroxyprogesteroneAcetate_nonproprietary_raw.csv","MEDROXYPROGESTERONE ACETATE","55150-329-01","150 mg/mL","INJECTION, SUSPENSION","INTRAMUSCULAR","ANDA212824","Eugia US LLC","55150-329","MEDROXYPROGESTERONE ACETATE","MEDROXYPROGESTERONE ACETATE","HUMAN PRESCRIPTION DRUG","08/22/2022","N/A","ANDA","1 VIAL, SINGLE-DOSE in 1 CARTON (55150-329-01) / 1 mL in 1 VIAL, SINGLE-DOSE","Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
