"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"OB:GYN","Other_Contraception","CopperT380A",FALSE,"proprietary","ParaGard","CopperT380A_ParaGard_proprietary_raw.csv","ParaGard T 380A","59365-5128-1","313.4 mg/1","INTRAUTERINE DEVICE","INTRAUTERINE","NDA018680","CooperSurgical, Inc.","59365-5128","Copper","COPPER","HUMAN PRESCRIPTION DRUG","11/02/2017","N/A","NDA","1 POUCH in 1 CARTON (59365-5128-1) / 1 INTRAUTERINE DEVICE in 1 POUCH","Copper [CS], Copper-containing Intrauterine Device [EPC], Decreased Embryonic Implantation [PE], Decreased Sperm Motility [PE], Inhibit Ovum Fertilization [PE]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Other_Contraception","CopperT380A",FALSE,"proprietary","ParaGard","CopperT380A_ParaGard_proprietary_raw.csv","ParaGard T 380A","59365-5129-1","313.4 mg/1","INTRAUTERINE DEVICE","INTRAUTERINE","NDA018680","CooperSurgical, Inc.","59365-5129","Copper","COPPER","HUMAN PRESCRIPTION DRUG","08/15/2024","N/A","NDA","1 POUCH in 1 CARTON (59365-5129-1) / 1 INTRAUTERINE DEVICE in 1 POUCH","Copper [CS], Copper-containing Intrauterine Device [EPC], Decreased Embryonic Implantation [PE], Decreased Sperm Motility [PE], Inhibit Ovum Fertilization [PE]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolEtonogestrel",TRUE,"proprietary","NuvaRing","EthinylEstradiolEtonogestrel_combo_NuvaRing_proprietary_raw.csv","NUVARING","50090-5611-0",".12 mg/d, .015 mg/d","INSERT, EXTENDED RELEASE","VAGINAL","NDA021187","A-S Medication Solutions","50090-5611","etonogestrel and ethinyl estradiol","ETHINYL ESTRADIOL; ETONOGESTREL","HUMAN PRESCRIPTION DRUG","08/12/2021","N/A","NDA","3 POUCH in 1 BOX (50090-5611-0) / 21 d in 1 POUCH","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolEtonogestrel",TRUE,"proprietary","NuvaRing","EthinylEstradiolEtonogestrel_combo_NuvaRing_proprietary_raw.csv","NUVARING","50090-7663-0",".12 mg/d, .015 mg/d","INSERT, EXTENDED RELEASE","VAGINAL","NDA021187","A-S Medication Solutions","50090-7663","etonogestrel and ethinyl estradiol","ETHINYL ESTRADIOL; ETONOGESTREL","HUMAN PRESCRIPTION DRUG","09/30/2025","N/A","NDA","1 POUCH in 1 BOX (50090-7663-0) / 21 d in 1 POUCH","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolEtonogestrel",TRUE,"proprietary","NuvaRing","EthinylEstradiolEtonogestrel_combo_NuvaRing_proprietary_raw.csv","NuvaRing","59212-146-03",".12 mg/d, .015 mg/d","INSERT, EXTENDED RELEASE","VAGINAL","NDA021187","Advanz Pharma (US) Corp.","59212-146","etonogestrel and ethinyl estradiol","ETHINYL ESTRADIOL; ETONOGESTREL","HUMAN PRESCRIPTION DRUG","05/19/2025","N/A","NDA","3 POUCH in 1 BOX (59212-146-03) / 21 d in 1 POUCH (59212-146-01)","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolEtonogestrel",TRUE,"proprietary","NuvaRing","EthinylEstradiolEtonogestrel_combo_NuvaRing_proprietary_raw.csv","NuvaRing","78206-146-03",".12 mg/d, .015 mg/d","INSERT, EXTENDED RELEASE","VAGINAL","NDA021187","Organon LLC","78206-146","etonogestrel and ethinyl estradiol","ETHINYL ESTRADIOL; ETONOGESTREL","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","3 POUCH in 1 BOX (78206-146-03) / 21 d in 1 POUCH (78206-146-01)","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolLevonorgestrel",TRUE,"proprietary","Twirla","EthinylEstradiolLevonorgestrel_combo_Twirla_proprietary_raw.csv","Twirla","71671-100-01","2.6 mg/1, 2.3 mg/1","PATCH","TRANSDERMAL","NDA204017","Agile Therapeutics, Inc.","71671-100","levonorgestrel/ethinyl estradiol","ETHINYL ESTRADIOL; LEVONORGESTREL","HUMAN PRESCRIPTION DRUG","09/11/2020","N/A","NDA","1 POUCH in 1 CARTON (71671-100-01) / 1 PATCH in 1 POUCH (71671-100-11)","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolLevonorgestrel",TRUE,"proprietary","Twirla","EthinylEstradiolLevonorgestrel_combo_Twirla_proprietary_raw.csv","Twirla","71671-100-03","2.6 mg/1, 2.3 mg/1","PATCH","TRANSDERMAL","NDA204017","Agile Therapeutics, Inc.","71671-100","levonorgestrel/ethinyl estradiol","ETHINYL ESTRADIOL; LEVONORGESTREL","HUMAN PRESCRIPTION DRUG","09/11/2020","N/A","NDA","3 POUCH in 1 CARTON (71671-100-03) / 1 PATCH in 1 POUCH (71671-100-11)","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolNorelgestromin",TRUE,"proprietary","Xulane","EthinylEstradiolNorelgestromin_combo_Xulane_proprietary_raw.csv","XULANE","0378-3340-53","150 ug/d, 35 ug/d","PATCH","TRANSDERMAL","ANDA200910","Mylan Pharmaceuticals Inc.","0378-3340","norelgestromin and ethinyl estradiol","ETHINYL ESTRADIOL; NORELGESTROMIN","HUMAN PRESCRIPTION DRUG","04/16/2014","N/A","ANDA","3 POUCH in 1 CARTON (0378-3340-53) / 1 PATCH in 1 POUCH (0378-3340-16) / 7 d in 1 PATCH","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2027",0,FALSE,FALSE
"OB:GYN","Other_Contraception","EthinylEstradiolNorelgestromin",TRUE,"proprietary","Xulane","EthinylEstradiolNorelgestromin_combo_Xulane_proprietary_raw.csv","XULANE","50090-1683-0","150 ug/d, 35 ug/d","PATCH","TRANSDERMAL","ANDA200910","A-S Medication Solutions","50090-1683","norelgestromin and ethinyl estradiol","ETHINYL ESTRADIOL; NORELGESTROMIN","HUMAN PRESCRIPTION DRUG","02/06/2015","N/A","ANDA","3 POUCH in 1 CARTON (50090-1683-0) / 1 d in 1 POUCH","Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]","N/A","No","12/31/2026",0,FALSE,FALSE
