"category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse"
"Other_Antihypertensives","Clonidine",FALSE,"nonproprietary","Clonidine","Clonidine_nonproprietary_raw.csv","clonidine hydrochloride (E)","66267-061-90","","","","","NuCare Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","Clonidine",FALSE,"nonproprietary","Clonidine","Clonidine_nonproprietary_raw.csv","clonidine hydrochloride (E)","66267-061-60","","","","","NuCare Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","Clonidine",FALSE,"nonproprietary","Clonidine","Clonidine_nonproprietary_raw.csv","clonidine hydrochloride (E)","66267-061-30","","","","","NuCare Pharmaceuticals, Inc.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","Diltiazem",FALSE,"nonproprietary","Diltiazem","Diltiazem_nonproprietary_raw.csv","Diltiazem Hydrochloride (E)","71872-7293-1","","","","","Medical Purchasing Solutions, LLC.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","MetoprololSuccinate",FALSE,"nonproprietary","MetoprololSuccinate","MetoprololSuccinate_nonproprietary_raw.csv","METOPROLOL SUCCINATE (U)","61919-913-30","","","","","DirectRX","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","MetoprololTartrate",FALSE,"nonproprietary","MetoprololTartrate","MetoprololTartrate_nonproprietary_raw.csv","METOPROLOL TARTRATE (U)","61919-428-90","","","","","DIRECT RX","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","MetoprololTartrate",FALSE,"nonproprietary","MetoprololTartrate","MetoprololTartrate_nonproprietary_raw.csv","METOPROLOL TARTRATE (U)","61919-428-30","","","","","DIRECT RX","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","Minoxidil",FALSE,"nonproprietary","Minoxidil","Minoxidil_nonproprietary_raw.csv","2% Minoxidil Hair Regrowth Foam (E)","85038-004-01","","","","","Lianjiang Shanlilai E-commerce Co., Ltd.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","Minoxidil",FALSE,"nonproprietary","Minoxidil","Minoxidil_nonproprietary_raw.csv","2% Minoxidil Hair Regrowth Foam (E)","85038-004-02","","","","","Lianjiang Shanlilai E-commerce Co., Ltd.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
"Other_Antihypertensives","Minoxidil",FALSE,"nonproprietary","Minoxidil","Minoxidil_nonproprietary_raw.csv","2% Minoxidil Hair Regrowth Foam (E)","85038-004-03","","","","","Lianjiang Shanlilai E-commerce Co., Ltd.","","","","","","N/A","","","N/A","N/A","N/A","",3,TRUE
