"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:","qc_missing_fields","qc_sparse","qc_conflict"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Norvasc","0069-1530-72","5 mg/1","TABLET","ORAL","NDA019787","PFIZER LABORATORIES DIV PFIZER INC","0069-1530","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","07/31/1992","07/31/2027","NDA","300 TABLET in 1 BOTTLE (0069-1530-72)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","N/A","0","FALSE","TRUE"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","proprietary","Norvasc","Amlodipine_Norvasc_proprietary_raw.csv","Norvasc","0069-1530-72","5 mg/1","TABLET","ORAL","NDA019787","PFIZER LABORATORIES DIV PFIZER INC","0069-1530","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","07/31/1992","09/30/2026","NDA","300 TABLET in 1 BOTTLE (0069-1530-72)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","N/A","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","nonproprietary","LevothyroxineSodium","LevothyroxineSodium_nonproprietary_raw.csv","Synthroid","0074-3727-19","137 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-3727","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","1000 TABLET in 1 BOTTLE (0074-3727-19)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","proprietary","Synthroid","LevothyroxineSodium_Synthroid_proprietary_raw.csv","Synthroid","0074-3727-19","137 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-3727","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","1000 TABLET in 1 BOTTLE (0074-3727-19)","Thyroxine [CS], l-Thyroxine [EPC]","N/A","No","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","nonproprietary","LevothyroxineSodium","LevothyroxineSodium_nonproprietary_raw.csv","Synthroid","0074-3727-72","137 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-3727","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","2 BLISTER PACK in 1 CARTON (0074-3727-72)  / 7 TABLET in 1 BLISTER PACK","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","Yes","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","proprietary","Synthroid","LevothyroxineSodium_Synthroid_proprietary_raw.csv","Synthroid","0074-3727-72","137 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-3727","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","2 BLISTER PACK in 1 CARTON (0074-3727-72) / 7 TABLET in 1 BLISTER PACK","Thyroxine [CS], l-Thyroxine [EPC]","N/A","Yes","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","nonproprietary","LevothyroxineSodium","LevothyroxineSodium_nonproprietary_raw.csv","Synthroid","0074-3727-90","137 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-3727","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","90 TABLET in 1 BOTTLE (0074-3727-90)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","proprietary","Synthroid","LevothyroxineSodium_Synthroid_proprietary_raw.csv","Synthroid","0074-3727-90","137 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-3727","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","90 TABLET in 1 BOTTLE (0074-3727-90)","Thyroxine [CS], l-Thyroxine [EPC]","N/A","No","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","nonproprietary","LevothyroxineSodium","LevothyroxineSodium_nonproprietary_raw.csv","Synthroid","0074-4341-19","25 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-4341","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","1000 TABLET in 1 BOTTLE (0074-4341-19)","Thyroxine [CS],  l-Thyroxine [EPC]","N/A","No","12/31/2026","0","FALSE","TRUE"
"Metabolic_and_Related_Medication","Hypothyroid_Treatment","LevothyroxineSodium","FALSE","proprietary","Synthroid","LevothyroxineSodium_Synthroid_proprietary_raw.csv","Synthroid","0074-4341-19","25 ug/1","TABLET","ORAL","NDA021402","AbbVie Inc.","0074-4341","Levothyroxine Sodium","LEVOTHYROXINE SODIUM","HUMAN PRESCRIPTION DRUG","07/24/2002","N/A","NDA","1000 TABLET in 1 BOTTLE (0074-4341-19)","Thyroxine [CS], l-Thyroxine [EPC]","N/A","No","12/31/2026","0","FALSE","TRUE"
