"broad_group","category","medication","combo","search_type","search_term","source_file","Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Cardiovascular_Medication","ACE_Inhibitors","Lisinopril","FALSE","nonproprietary","Lisinopril","Lisinopril_nonproprietary_raw.csv","Lisinopril","N/A","20 mg/1","TABLET","ORAL","ANDA077321","Lupin Pharmaceuticals, Inc.","68180-515","Lisinopril","LISINOPRIL","HUMAN PRESCRIPTION DRUG","01/13/2006","N/A","ANDA","N/A","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","ACE_Inhibitors","Lisinopril","FALSE","nonproprietary","Lisinopril","Lisinopril_nonproprietary_raw.csv","Lisinopril","N/A","10 mg/1","TABLET","ORAL","ANDA077321","Lupin Pharmaceuticals, Inc.","68180-514","Lisinopril","LISINOPRIL","HUMAN PRESCRIPTION DRUG","01/13/2006","N/A","ANDA","N/A","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","ACE_Inhibitors","Lisinopril","FALSE","nonproprietary","Lisinopril","Lisinopril_nonproprietary_raw.csv","Lisinopril","N/A","30 mg/1","TABLET","ORAL","ANDA077321","Lupin Pharmaceuticals, Inc.","68180-516","Lisinopril","LISINOPRIL","HUMAN PRESCRIPTION DRUG","01/13/2006","N/A","ANDA","N/A","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","ACE_Inhibitors","Lisinopril","FALSE","nonproprietary","Lisinopril","Lisinopril_nonproprietary_raw.csv","Lisinopril","N/A","40 mg/1","TABLET","ORAL","ANDA077321","Lupin Pharmaceuticals, Inc.","68180-517","Lisinopril","LISINOPRIL","HUMAN PRESCRIPTION DRUG","01/13/2006","N/A","ANDA","N/A","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Lotrel","N/A","10 mg/1,  40 mg/1","CAPSULE","ORAL","NDA020364","Novartis Pharmaceuticals Corporation","0078-0379","amlodipine besylate and benazepril hydrochloride","AMLODIPINE BESYLATE,  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/03/1995","09/30/2026","NDA","N/A","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","N/A","N/A"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Lotrel","N/A","5 mg/1,  20 mg/1","CAPSULE","ORAL","NDA020364","Novartis Pharmaceuticals Corporation","0078-0406","amlodipine besylate and benazepril hydrochloride","AMLODIPINE BESYLATE,  BENAZEPRIL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/03/1995","09/30/2026","NDA","N/A","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Decreased Blood Pressure [PE],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","N/A","N/A"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Amlodipine and Valsartan","N/A","5 mg/1,  160 mg/1","TABLET","ORAL","ANDA090245","Lupin Pharmaceuticals, Inc.","68180-764","Amlodipine and Valsartan","AMLODIPINE BESYLATE,  VALSARTAN","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","N/A","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Amlodipine and Valsartan","N/A","10 mg/1,  160 mg/1","TABLET","ORAL","ANDA090245","Lupin Pharmaceuticals, Inc.","68180-765","Amlodipine and Valsartan","AMLODIPINE BESYLATE,  VALSARTAN","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","N/A","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Amlodipine and Valsartan","N/A","5 mg/1,  320 mg/1","TABLET","ORAL","ANDA090245","Lupin Pharmaceuticals, Inc.","68180-766","Amlodipine and Valsartan","AMLODIPINE BESYLATE,  VALSARTAN","HUMAN PRESCRIPTION DRUG","03/31/2015","N/A","ANDA","N/A","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","N/A","12/31/2026"
"Cardiovascular_Medication","Other_Antihypertensives","Amlodipine","FALSE","nonproprietary","Amlodipine","Amlodipine_nonproprietary_raw.csv","Amlodipine, Valsartan and Hydrochlorothiazide","N/A","5 mg/1,  25 mg/1,  160 mg/1","TABLET, FILM COATED","ORAL","ANDA200797","Lupin Pharmaceuticals, Inc.","68180-773","Amlodipine, Valsartan and Hydrochlorothiazide","AMLODIPINE BESYLATE,  VALSARTAN,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","06/04/2015","N/A","ANDA","N/A","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","N/A","12/31/2026"
