"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Vasotec","0187-0140-30","2.5 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0140","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","07/26/1988","N/A","NDA","30 TABLET in 1 BOTTLE (0187-0140-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0140-90","2.5 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0140","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","07/26/1988","N/A","NDA","90 TABLET in 1 BOTTLE (0187-0140-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0141-30","5 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0141","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","30 TABLET in 1 BOTTLE (0187-0141-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0141-90","5 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0141","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","90 TABLET in 1 BOTTLE (0187-0141-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0142-30","10 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0142","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","30 TABLET in 1 BOTTLE (0187-0142-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0142-10","10 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0142","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","1000 TABLET in 1 BOTTLE (0187-0142-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0142-90","10 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0142","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","90 TABLET in 1 BOTTLE (0187-0142-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0143-10","20 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0143","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","1000 TABLET in 1 BOTTLE (0187-0143-10)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0143-30","20 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0143","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","30 TABLET in 1 BOTTLE (0187-0143-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
"Vasotec","0187-0143-90","20 mg/1","TABLET","ORAL","NDA018998","Bausch Health US LLC","0187-0143","Enalapril Maleate","ENALAPRIL MALEATE","HUMAN PRESCRIPTION DRUG","12/24/1985","N/A","NDA","90 TABLET in 1 BOTTLE (0187-0143-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA],  Decreased Blood Pressure [PE]","N/A","No","12/31/2027"
