"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Ramipril","0054-0106-25","1.25 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0106","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0106-25)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0107-20","2.5 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0107","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","10 BLISTER PACK in 1 CARTON (0054-0107-20)  / 10 CAPSULE in 1 BLISTER PACK","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0107-25","2.5 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0107","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0107-25)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0107-29","2.5 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0107","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","500 CAPSULE in 1 BOTTLE (0054-0107-29)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0108-29","5 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0108","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","500 CAPSULE in 1 BOTTLE (0054-0108-29)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0108-20","5 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0108","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","10 BLISTER PACK in 1 CARTON (0054-0108-20)  / 10 CAPSULE in 1 BLISTER PACK","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0108-25","5 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0108","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0108-25)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0109-29","10 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0109","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","500 CAPSULE in 1 BOTTLE (0054-0109-29)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","0054-0109-25","10 mg/1","CAPSULE","ORAL","ANDA077900","Hikma Pharmaceuticals USA Inc.","0054-0109","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","06/18/2008","N/A","ANDA","100 CAPSULE in 1 BOTTLE (0054-0109-25)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2027"
"Ramipril","50090-1120-0","10 mg/1","CAPSULE","ORAL","ANDA091604","A-S Medication Solutions","50090-1120","Ramipril","RAMIPRIL","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-1120-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
