"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Benicar","0713-0860-30","5 mg/1","TABLET, FILM COATED","ORAL","NDA021286","Cosette Pharmaceuticals, Inc.","0713-0860","olmesartan medoxomil","OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0860-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Benicar","0713-0861-30","20 mg/1","TABLET, FILM COATED","ORAL","NDA021286","Cosette Pharmaceuticals, Inc.","0713-0861","olmesartan medoxomil","OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0861-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Benicar","0713-0862-30","40 mg/1","TABLET, FILM COATED","ORAL","NDA021286","Cosette Pharmaceuticals, Inc.","0713-0862","olmesartan medoxomil","OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0862-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Benicar","0713-0940-30","5 mg/1","TABLET, FILM COATED","ORAL","NDA021286","Cosette Pharmaceuticals, Inc.","0713-0940","olmesartan medoxomil","OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","10/01/2025","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0940-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Benicar","0713-0941-30","20 mg/1","TABLET, FILM COATED","ORAL","NDA021286","Cosette Pharmaceuticals, Inc.","0713-0941","olmesartan medoxomil","OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","08/01/2025","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0941-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Benicar","0713-0942-30","40 mg/1","TABLET, FILM COATED","ORAL","NDA021286","Cosette Pharmaceuticals, Inc.","0713-0942","olmesartan medoxomil","OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","12/01/2025","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0942-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Benicar HCT","0713-0863-30","12.5 mg/1,                         20  mg/1","TABLET, FILM COATED","ORAL","NDA021532","Cosette Pharmaceuticals, Inc.","0713-0863","olmesartan medoxomil-hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0863-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Benicar HCT","0713-0864-30","12.5 mg/1,                         40  mg/1","TABLET, FILM COATED","ORAL","NDA021532","Cosette Pharmaceuticals, Inc.","0713-0864","olmesartan medoxomil-hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0864-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Benicar HCT","0713-0865-30","25 mg/1,                         40  mg/1","TABLET, FILM COATED","ORAL","NDA021532","Cosette Pharmaceuticals, Inc.","0713-0865","olmesartan medoxomil-hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","09/01/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0865-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Benicar HCT","0713-0943-30","12.5 mg/1,                         20  mg/1","TABLET, FILM COATED","ORAL","NDA021532","Cosette Pharmaceuticals, Inc.","0713-0943","olmesartan medoxomil-hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","04/01/2026","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0943-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2027"
"Benicar HCT","0713-0944-30","12.5 mg/1,                         40  mg/1","TABLET, FILM COATED","ORAL","NDA021532","Cosette Pharmaceuticals, Inc.","0713-0944","olmesartan medoxomil-hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  OLMESARTAN MEDOXOMIL","HUMAN PRESCRIPTION DRUG","03/03/2026","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0713-0944-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2027"
