Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
CIPRO,50090-6043-0,"2 mg/mL, 10 mg/mL",SUSPENSION/ DROPS,AURICULAR (OTIC),NDA020805,A-S Medication Solutions,50090-6043,ciprofloxacin hydrochloride and hydrocortisone,CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,07/15/2022,N/A,NDA,10 mL in 1 BOTTLE (50090-6043-0),"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Cipro,50419-754-01,500 mg/1,"TABLET, FILM COATED",ORAL,NDA019537,Bayer HealthCare Pharmaceuticals Inc.,50419-754,ciprofloxacin hydrochloride,CIPROFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/22/1987,N/A,NDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-754-01)","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2027
Cipro,50419-758-01,250 mg/1,"TABLET, FILM COATED",ORAL,NDA019537,Bayer HealthCare Pharmaceuticals Inc.,50419-758,ciprofloxacin hydrochloride,CIPROFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/22/1987,N/A,NDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-758-01)","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2027
Cipro,50419-773-01,,KIT,,NDA020780,Bayer HealthCare Pharmaceuticals Inc.,50419-773,ciprofloxacin,,HUMAN PRESCRIPTION DRUG,09/26/1997,N/A,NDA,"1 KIT in 1 KIT (50419-773-01) * 100 mL in 1 BOTTLE, GLASS * 100 mL in 1 BOTTLE, GLASS",N/A,N/A,No,12/31/2027
Cipro,50419-777-01,,KIT,,NDA020780,Bayer HealthCare Pharmaceuticals Inc.,50419-777,ciprofloxacin,,HUMAN PRESCRIPTION DRUG,09/26/1997,N/A,NDA,"1 KIT in 1 KIT (50419-777-01) * 100 mL in 1 BOTTLE, GLASS * 100 mL in 1 BOTTLE, PLASTIC",N/A,N/A,No,12/31/2027
CIPRO,66758-087-70,"2 mg/mL, 10 mg/mL",SUSPENSION/ DROPS,AURICULAR (OTIC),NDA020805,Sandoz Inc,66758-087,ciprofloxacin hydrochloride and hydrocortisone,CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,11/08/2024,N/A,NDA,1 BOTTLE in 1 CARTON (66758-087-70) / 10 mL in 1 BOTTLE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
CIPRO,76420-273-10,"2 mg/mL, 10 mg/mL",SUSPENSION/ DROPS,AURICULAR (OTIC),NDA020805,"Asclemed USA, Inc.",76420-273,ciprofloxacin hydrochloride and hydrocortisone,CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,09/07/2022,N/A,NDA,10 mL in 1 BOTTLE (76420-273-10),"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Quinolone Antimicrobial [EPC], Quinolones [CS]",N/A,No,12/31/2026
CIPRO HC,50090-7631-0,"2 mg/mL, 10 mg/mL",SUSPENSION/ DROPS,AURICULAR (OTIC),NDA020805,A-S Medication Solutions,50090-7631,ciprofloxacin hydrochloride and hydrocortisone,CIPROFLOXACIN HYDROCHLORIDE; HYDROCORTISONE,HUMAN PRESCRIPTION DRUG,08/14/2025,N/A,NDA,1 BOTTLE in 1 CARTON (50090-7631-0) / 10 mL in 1 BOTTLE,"Corticosteroid Hormone Receptor Agonists [MoA], Corticosteroid [EPC], Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Ciprofloxacin,0143-9927-05,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA076558,Hikma Pharmaceuticals USA Inc.,0143-9927,Ciprofloxacin,CIPROFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/09/2004,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (0143-9927-05)","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Ciprofloxacin,0143-9927-30,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA076558,Hikma Pharmaceuticals USA Inc.,0143-9927,Ciprofloxacin,CIPROFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/09/2004,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0143-9927-30)","Cytochrome P450 1A2 Inhibitors [MoA], Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
