Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Cleocin Hydrochloride,0009-0225-02,150 mg/1,CAPSULE,ORAL,NDA050162,Pharmacia & Upjohn Company LLC,0009-0225,clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/22/1970,N/A,NDA,100 CAPSULE in 1 BOTTLE (0009-0225-02),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
Cleocin Hydrochloride,0009-0331-02,75 mg/1,CAPSULE,ORAL,NDA050162,Pharmacia & Upjohn Company LLC,0009-0331,clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/22/1970,N/A,NDA,100 CAPSULE in 1 BOTTLE (0009-0331-02),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
Cleocin Hydrochloride,0009-0395-14,300 mg/1,CAPSULE,ORAL,NDA050162,Pharmacia & Upjohn Company LLC,0009-0395,clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/22/1970,N/A,NDA,100 CAPSULE in 1 BOTTLE (0009-0395-14),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
Clindamycin hydrochloride,0904-5959-61,150 mg/1,CAPSULE,ORAL,ANDA065061,Major Pharmaceuticals,0904-5959,Clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/10/2009,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-5959-61) / 1 CAPSULE in 1 BLISTER PACK,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
Clindamycin Hydrochloride,0904-7194-61,300 mg/1,CAPSULE,ORAL,ANDA065442,Major Pharmaceuticals,0904-7194,Clindamycin Hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/26/2009,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-7194-61) / 1 CAPSULE in 1 BLISTER PACK,"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
CLINDAMYCIN HYDROCHLORIDE,42571-250-67,75 mg/1,CAPSULE,ORAL,ANDA207402,Micro Labs Limited,42571-250,Clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,90 BLISTER PACK in 1 CARTON (42571-250-67) / 10 CAPSULE in 1 BLISTER PACK (42571-250-32),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
CLINDAMYCIN HYDROCHLORIDE,42571-250-01,75 mg/1,CAPSULE,ORAL,ANDA207402,Micro Labs Limited,42571-250,Clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42571-250-01),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
CLINDAMYCIN HYDROCHLORIDE,42571-251-05,150 mg/1,CAPSULE,ORAL,ANDA207402,Micro Labs Limited,42571-251,Clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,500 CAPSULE in 1 BOTTLE (42571-251-05),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
CLINDAMYCIN HYDROCHLORIDE,42571-251-10,150 mg/1,CAPSULE,ORAL,ANDA207402,Micro Labs Limited,42571-251,Clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,1000 CAPSULE in 1 BOTTLE (42571-251-10),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
CLINDAMYCIN HYDROCHLORIDE,42571-251-01,150 mg/1,CAPSULE,ORAL,ANDA207402,Micro Labs Limited,42571-251,Clindamycin hydrochloride,CLINDAMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/07/2019,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42571-251-01),"Decreased Sebaceous Gland Activity [PE], Lincosamide Antibacterial [EPC], Lincosamides [CS], Neuromuscular Blockade [PE]",N/A,No,12/31/2027
