Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Daptomycin,0143-9444-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA206005,Hikma Pharmaceuticals USA Inc.,0143-9444,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,09/30/2025,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0143-9444-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,0143-9445-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA217415,Hikma Pharmaceuticals USA Inc.,0143-9445,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,12/11/2025,N/A,NDA,"1 VIAL, SINGLE-USE in 1 CARTON (0143-9445-01) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,0143-9455-01,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA209949,Hikma Pharmaceuticals USA Inc.,0143-9455,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,02/25/2026,N/A,NDA,"1 VIAL, SINGLE-USE in 1 CARTON (0143-9455-01) / 7 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,0143-9456-01,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA217415,Hikma Pharmaceuticals USA Inc.,0143-9456,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,12/11/2025,N/A,NDA,"1 VIAL, SINGLE-USE in 1 CARTON (0143-9456-01) / 7 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,0143-9465-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA206005,Hikma Pharmaceuticals USA Inc.,0143-9465,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,09/30/2025,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 CARTON (0143-9465-01) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,0409-0120-01,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA210282,"Hospira, Inc.",0409-0120,DAPTOMYCIN,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,08/02/2021,N/A,NDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0409-0120-01) / 7 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,0409-0122-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA210282,"Hospira, Inc.",0409-0122,DAPTOMYCIN,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,08/02/2021,N/A,NDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0409-0122-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
daptomycin,14335-120-01,500 mg/20mL,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,ANDA215890,"Hainan Poly Pharm., Co., Ltd.",14335-120,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,11/14/2023,N/A,ANDA,"20 mL in 1 VIAL, SINGLE-DOSE (14335-120-01)","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,16729-434-45,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA212667,"Accord Healthcare, Inc.",16729-434,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,02/27/2020,N/A,ANDA,10 VIAL in 1 CARTON (16729-434-45) / 7 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,16729-434-05,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA212667,"Accord Healthcare, Inc.",16729-434,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,07/16/2019,N/A,ANDA,1 VIAL in 1 CARTON (16729-434-05) / 7 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
DAPTOMYCIN,16729-435-05,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA211961,Accord Healthcare Inc.,16729-435,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,06/24/2019,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (16729-435-05) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
daptomycin,25021-174-15,50 mg/mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA207104,Sagent Pharmaceuticals,25021-174,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,11/15/2019,N/A,ANDA,1 VIAL in 1 CARTON (25021-174-15) / 10 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
daptomycin,25021-174-16,50 mg/mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA207104,Sagent Pharmaceuticals,25021-174,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,11/15/2019,N/A,ANDA,10 VIAL in 1 CARTON (25021-174-16) / 10 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,25021-179-67,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA208385,Sagent Pharmaceuticals,25021-179,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,02/01/2020,N/A,NDA,10 VIAL in 1 CARTON (25021-179-67) / 7 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,25021-179-66,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA208385,Sagent Pharmaceuticals,25021-179,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,02/01/2020,N/A,NDA,1 VIAL in 1 CARTON (25021-179-66) / 7 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,25021-179-16,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA208385,Sagent Pharmaceuticals,25021-179,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,01/15/2018,N/A,NDA,10 VIAL in 1 CARTON (25021-179-16) / 7 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,25021-179-15,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA208385,Sagent Pharmaceuticals,25021-179,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,01/15/2018,N/A,NDA,1 VIAL in 1 CARTON (25021-179-15) / 7 mL in 1 VIAL,"Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,31722-215-10,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA216445,"Camber Pharmaceuticals, Inc.",31722-215,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,12/23/2022,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (31722-215-10) / 7 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,31722-215-01,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA216445,"Camber Pharmaceuticals, Inc.",31722-215,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,12/23/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (31722-215-01) / 7 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,31722-216-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA216413,"Camber Pharmaceuticals, Inc.",31722-216,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (31722-216-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,42023-295-10,500 mg/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA217630,"Par Health USA, LLC",42023-295,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,10/27/2025,N/A,NDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (42023-295-10) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (42023-295-01)","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,43598-413-11,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA208375,"Dr.Reddy's Laboratories Inc.,",43598-413,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,05/01/2019,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (43598-413-11) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,43598-476-58,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA211403,"Dr. Reddy's Laboratories Inc.,",43598-476,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,10/04/2021,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (43598-476-58) / 7 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,43598-476-11,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA211403,"Dr. Reddy's Laboratories Inc.,",43598-476,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,10/04/2021,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (43598-476-11) / 7 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
DAPTOMYCIN,55150-344-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA213171,Eugia US LLC,55150-344,DAPTOMYCIN,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,09/02/2021,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55150-344-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,60505-6229-4,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA215316,APOTEX CORP.,60505-6229,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,02/23/2022,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 CARTON (60505-6229-4) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,63323-371-10,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA206077,"Fresenius Kabi USA, LLC",63323-371,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,04/11/2018,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (63323-371-10) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,63323-371-19,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA206077,"Fresenius Kabi USA, LLC",63323-371,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,04/11/2018,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (63323-371-19) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,67184-0549-1,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA215316,"Qilu Pharmaceutical Co., Ltd.",67184-0549,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,08/24/2021,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 CARTON (67184-0549-1) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
daptomycin,67457-813-50,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA205037,Mylan Institutional LLC,67457-813,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,09/04/2018,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (67457-813-50) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
daptomycin,67457-941-15,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA213966,Mylan Institutional LLC,67457-941,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,11/27/2023,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (67457-941-15) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,68001-376-68,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA208375,BluePoint Laboratories,68001-376,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,05/01/2019,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (68001-376-68) / 10 mL in 1 VIAL, SINGLE-DOSE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
Daptomycin,70377-093-91,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA217215,Biocon Pharma Inc.,70377-093,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,10/25/2024,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 CARTON (70377-093-91) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2027
daptomycin,70436-033-80,500 mg/20mL,"INJECTION, POWDER, LYOPHILIZED, FOR SUSPENSION",INTRAVENOUS,ANDA215890,"Slate Run Pharmaceuticals, LLC",70436-033,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,10/01/2022,N/A,ANDA,"20 mL in 1 VIAL, SINGLE-DOSE (70436-033-80)","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,70511-182-84,500 mg/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA217630,"MAIA Pharmaceuticals, Inc.",70511-182,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,09/08/2025,N/A,NDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (70511-182-84) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (70511-182-15)","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,70594-034-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA206005,Xellia Pharmaceuticals USA LLC,70594-034,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,10/01/2018,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 CARTON (70594-034-01) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,70594-034-02,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA206005,Xellia Pharmaceuticals USA LLC,70594-034,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,05/01/2021,N/A,ANDA,"1 VIAL, SINGLE-USE in 1 CARTON (70594-034-02) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,70594-053-01,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA209949,Xellia Pharmaceuticals USA LLC,70594-053,Daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,03/15/2019,N/A,NDA,"1 VIAL, SINGLE-USE in 1 CARTON (70594-053-01) / 7 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,70594-060-01,500 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA217415,Xellia Pharmaceuticals USA LLC,70594-060,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,11/03/2023,N/A,NDA,"1 VIAL, SINGLE-USE in 1 CARTON (70594-060-01) / 10 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
Daptomycin,70594-066-01,350 mg/7mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA217415,Xellia Pharmaceuticals USA LLC,70594-066,daptomycin,DAPTOMYCIN,HUMAN PRESCRIPTION DRUG,11/03/2023,N/A,NDA,"1 VIAL, SINGLE-USE in 1 CARTON (70594-066-01) / 7 mL in 1 VIAL, SINGLE-USE","Lipopeptide Antibacterial [EPC], Lipopeptides [CS]",N/A,No,12/31/2026
