Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Benzamycin,0187-5205-46,,KIT,,NDA050557,"Bausch Health US, LLC",0187-5205,erythromycin and benzoyl peroxide,,HUMAN PRESCRIPTION DRUG,10/26/1984,N/A,NDA,"1 KIT in 1 BOX (0187-5205-46) * 1.6 g in 1 VIAL, PLASTIC * 40 g in 1 JAR",N/A,N/A,No,12/31/2026
E.E.S,24338-100-03,400 mg/1,TABLET,ORAL,ANDA061905,"Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)",24338-100,Erythromycin Ethylsuccinate,ERYTHROMYCIN ETHYLSUCCINATE,HUMAN PRESCRIPTION DRUG,06/28/2021,N/A,ANDA,30 TABLET in 1 BOTTLE (24338-100-03),"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
E.E.S,24338-134-02,200 mg/5mL,"GRANULE, FOR SUSPENSION",ORAL,NDA050207,"Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)",24338-134,Erythromycin Ethylsuccinate,ERYTHROMYCIN ETHYLSUCCINATE,HUMAN PRESCRIPTION DRUG,04/18/2011,N/A,NDA,100 mL in 1 BOTTLE (24338-134-02),"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
E.E.S,24338-136-10,200 mg/5mL,"GRANULE, FOR SUSPENSION",ORAL,NDA050207,"Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)",24338-136,Erythromycin Ethylsuccinate,ERYTHROMYCIN ETHYLSUCCINATE,HUMAN PRESCRIPTION DRUG,04/18/2011,N/A,NDA,200 mL in 1 BOTTLE (24338-136-10),"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
E.E.S,70518-4681-0,400 mg/1,TABLET,ORAL,ANDA061905,REMEDYREPACK INC.,70518-4681,Erythromycin Ethylsuccinate,ERYTHROMYCIN ETHYLSUCCINATE,HUMAN PRESCRIPTION DRUG,06/23/2026,N/A,ANDA,50 POUCH in 1 BOX (70518-4681-0) / 1 TABLET in 1 POUCH (70518-4681-1),"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2027
Ery,45802-962-72,20 mg/mL,SWAB,TOPICAL,ANDA064126,Padagis Israel Pharmaceuticals Ltd,45802-962,Erythromycin,ERYTHROMYCIN,HUMAN PRESCRIPTION DRUG,07/07/2008,N/A,ANDA,60 APPLICATOR in 1 JAR (45802-962-72) / .8 mL in 1 APPLICATOR,"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2027
Ery,63629-8648-1,20 mg/mL,SWAB,TOPICAL,ANDA064126,Bryant Ranch Prepack,63629-8648,Erythromycin,ERYTHROMYCIN,HUMAN PRESCRIPTION DRUG,07/07/2008,N/A,ANDA,60 APPLICATOR in 1 JAR (63629-8648-1) / .8 mL in 1 APPLICATOR,"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
Ery,72162-1443-6,20 mg/mL,SWAB,TOPICAL,ANDA064126,Bryant Ranch Prepack,72162-1443,Erythromycin,ERYTHROMYCIN,HUMAN PRESCRIPTION DRUG,12/24/2024,N/A,ANDA,60 APPLICATOR in 1 JAR (72162-1443-6) / .8 mL in 1 APPLICATOR,"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
Ery-Ped,24338-130-13,400 mg/5mL,SUSPENSION,ORAL,NDA050207,"Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)",24338-130,Erythromycin Ethylsuccinate,ERYTHROMYCIN ETHYLSUCCINATE,HUMAN PRESCRIPTION DRUG,06/14/2012,N/A,NDA,100 mL in 1 BOTTLE (24338-130-13),"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
Ery-Ped,24338-132-13,200 mg/5mL,SUSPENSION,ORAL,NDA050207,"Azurity Pharmaceuticals, Inc. (formerly Arbor Pharmaceuticals)",24338-132,Erythromycin Ethylsuccinate,ERYTHROMYCIN ETHYLSUCCINATE,HUMAN PRESCRIPTION DRUG,07/05/2011,N/A,NDA,100 mL in 1 BOTTLE (24338-132-13),"Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
ERY-TAB,24338-122-13,250 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA062298,"Arbor Pharmaceuticals, Inc.",24338-122,Erythromycin,ERYTHROMYCIN,HUMAN PRESCRIPTION DRUG,04/18/2011,N/A,ANDA,"100 TABLET, DELAYED RELEASE in 1 BOTTLE (24338-122-13)","Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
ERY-TAB,24338-122-03,250 mg/1,"TABLET, DELAYED RELEASE",ORAL,ANDA062298,"Arbor Pharmaceuticals, Inc.",24338-122,Erythromycin,ERYTHROMYCIN,HUMAN PRESCRIPTION DRUG,11/17/2017,N/A,ANDA,"30 TABLET, DELAYED RELEASE in 1 BOTTLE (24338-122-03)","Decreased Sebaceous Gland Activity [PE], Macrolide Antimicrobial [EPC], Macrolide [EPC], Macrolides [CS]",N/A,No,12/31/2026
