Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
LEVAQUIN (U),61919-359-10,,,,,DIRECT RX,,,,,,N/A,,,N/A,N/A,N/A,
Levofloxacin,0143-9315-24,250 mg/50mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA091375,Hikma Pharmaceuticals USA Inc.,0143-9315,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,09/16/2011,N/A,ANDA,24 BAG in 1 CARTON (0143-9315-24) / 50 mL in 1 BAG (0143-9315-01),N/A,N/A,No,12/31/2026
Levofloxacin,0143-9316-24,500 mg/100mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA091375,Hikma Pharmaceuticals USA Inc.,0143-9316,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,09/16/2011,N/A,ANDA,24 BAG in 1 CARTON (0143-9316-24) / 100 mL in 1 BAG (0143-9316-01),N/A,N/A,No,12/31/2026
Levofloxacin,0143-9317-24,750 mg/150mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA091375,Hikma Pharmaceuticals USA Inc.,0143-9317,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,09/16/2011,N/A,ANDA,24 BAG in 1 CARTON (0143-9317-24) / 150 mL in 1 BAG (0143-9317-01),N/A,N/A,No,12/31/2026
Levofloxacin,0143-9720-24,750 mg/150mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA091375,Hikma Pharmaceuticals USA Inc.,0143-9720,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,09/16/2011,N/A,ANDA,24 BAG in 1 CARTON (0143-9720-24) / 150 mL in 1 BAG (0143-9720-01),N/A,N/A,No,12/31/2026
Levofloxacin,0143-9721-24,500 mg/100mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA091375,Hikma Pharmaceuticals USA Inc.,0143-9721,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,09/16/2011,N/A,ANDA,24 BAG in 1 CARTON (0143-9721-24) / 100 mL in 1 BAG (0143-9721-01),N/A,N/A,No,12/31/2026
Levofloxacin,0143-9722-24,250 mg/50mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA091375,Hikma Pharmaceuticals USA Inc.,0143-9722,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,09/16/2011,N/A,ANDA,24 BAG in 1 CARTON (0143-9722-24) / 50 mL in 1 BAG (0143-9722-01),N/A,N/A,No,12/31/2026
Levofloxacin,0409-2220-24,250 mg/50mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA090343,"Hospira, Inc",0409-2220,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,05/20/2024,N/A,ANDA,24 POUCH in 1 CARTON (0409-2220-24) / 1 BAG in 1 POUCH (0409-2220-01) / 50 mL in 1 BAG,N/A,N/A,No,12/31/2026
Levofloxacin,0409-3330-24,500 mg/100mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA090343,"Hospira, Inc",0409-3330,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,05/20/2024,N/A,ANDA,24 POUCH in 1 CARTON (0409-3330-24) / 1 BAG in 1 POUCH (0409-3330-01) / 100 mL in 1 BAG,N/A,N/A,No,12/31/2026
Levofloxacin,0409-4444-24,750 mg/150mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA090343,"Hospira, Inc",0409-4444,Levofloxacin,LEVOFLOXACIN,HUMAN PRESCRIPTION DRUG,05/20/2024,N/A,ANDA,24 POUCH in 1 CARTON (0409-4444-24) / 1 BAG in 1 POUCH (0409-4444-01) / 150 mL in 1 BAG,N/A,N/A,No,12/31/2026
