Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Rifadin IV,0068-0597-01,600 mg/10mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,NDA050627,Sanofi-Aventis U.S. LLC,0068-0597,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,05/25/1989,09/30/2026,NDA,"1 VIAL, GLASS in 1 CARTON (0068-0597-01) / 10 mL in 1 VIAL, GLASS","Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,N/A
Rifampin,0143-9230-01,600 mg/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA205039,Hikma Pharmaceuticals USA Inc.,0143-9230,Rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,03/03/2016,N/A,ANDA,"1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL (0143-9230-01)","Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
rifampin,0904-7315-61,300 mg/1,CAPSULE,ORAL,ANDA090034,Major Pharmaceuticals,0904-7315,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,02/25/2025,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-7315-61) / 1 CAPSULE in 1 BLISTER PACK,"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2027
RIFAMPIN,24658-801-30,150 mg/1,CAPSULE,ORAL,ANDA064150,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-801,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,03/14/2023,N/A,ANDA,30 CAPSULE in 1 BOTTLE (24658-801-30),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
RIFAMPIN,24658-802-60,300 mg/1,CAPSULE,ORAL,ANDA064150,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-802,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,03/14/2023,N/A,ANDA,60 CAPSULE in 1 BOTTLE (24658-802-60),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
RIFAMPIN,42806-799-30,300 mg/1,CAPSULE,ORAL,ANDA064150,"EPIC PHARMA, LLC",42806-799,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,12/15/2021,N/A,ANDA,30 CAPSULE in 1 BOTTLE (42806-799-30),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
RIFAMPIN,42806-799-60,300 mg/1,CAPSULE,ORAL,ANDA064150,"EPIC PHARMA, LLC",42806-799,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,12/15/2021,N/A,ANDA,60 CAPSULE in 1 BOTTLE (42806-799-60),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
RIFAMPIN,42806-799-05,300 mg/1,CAPSULE,ORAL,ANDA064150,"EPIC PHARMA, LLC",42806-799,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,12/15/2021,N/A,ANDA,500 CAPSULE in 1 BOTTLE (42806-799-05),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
RIFAMPIN,42806-799-01,300 mg/1,CAPSULE,ORAL,ANDA064150,"EPIC PHARMA, LLC",42806-799,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,12/15/2021,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42806-799-01),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
RIFAMPIN,42806-801-01,150 mg/1,CAPSULE,ORAL,ANDA064150,"EPIC PHARMA, LLC",42806-801,rifampin,RIFAMPIN,HUMAN PRESCRIPTION DRUG,12/15/2021,N/A,ANDA,100 CAPSULE in 1 BOTTLE (42806-801-01),"Rifamycin Antibacterial [EPC], Rifamycins [CS]",N/A,No,12/31/2026
