"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Fosinopril sodium","43547-386-11","10 mg/1","TABLET","ORAL","ANDA205670","Solco Healthcare LLC","43547-386","fosinopirl sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","10/01/2017","N/A","ANDA","1000 TABLET in 1 BOTTLE (43547-386-11)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","43547-386-09","10 mg/1","TABLET","ORAL","ANDA205670","Solco Healthcare LLC","43547-386","fosinopirl sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","10/01/2017","N/A","ANDA","90 TABLET in 1 BOTTLE (43547-386-09)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","43547-387-11","20 mg/1","TABLET","ORAL","ANDA205670","Solco Healthcare LLC","43547-387","fosinopril sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","10/01/2017","N/A","ANDA","1000 TABLET in 1 BOTTLE (43547-387-11)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","43547-387-09","20 mg/1","TABLET","ORAL","ANDA205670","Solco Healthcare LLC","43547-387","fosinopril sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","10/01/2017","N/A","ANDA","90 TABLET in 1 BOTTLE (43547-387-09)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","43547-388-11","40 mg/1","TABLET","ORAL","ANDA205670","Solco Healthcare LLC","43547-388","fosinopril sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","10/01/2017","N/A","ANDA","1000 TABLET in 1 BOTTLE (43547-388-11)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","43547-388-09","40 mg/1","TABLET","ORAL","ANDA205670","Solco Healthcare LLC","43547-388","fosinopril sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","10/01/2017","N/A","ANDA","90 TABLET in 1 BOTTLE (43547-388-09)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","50090-2977-0","10 mg/1","TABLET","ORAL","ANDA077222","A-S Medication Solutions","50090-2977","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","04/18/2017","N/A","ANDA","30 TABLET in 1 BOTTLE (50090-2977-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","50090-4743-1","40 mg/1","TABLET","ORAL","ANDA205670","A-S Medication Solutions","50090-4743","fosinopril sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","11/21/2019","N/A","ANDA","90 TABLET in 1 BOTTLE (50090-4743-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","50090-4743-0","40 mg/1","TABLET","ORAL","ANDA205670","A-S Medication Solutions","50090-4743","fosinopril sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","11/21/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (50090-4743-0)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","62135-041-90","10 mg/1","TABLET","ORAL","ANDA076483","Chartwell RX, LLC","62135-041","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/01/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (62135-041-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","62135-042-90","20 mg/1","TABLET","ORAL","ANDA076483","Chartwell RX, LLC","62135-042","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/01/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (62135-042-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","62135-043-90","40 mg/1","TABLET","ORAL","ANDA076483","Chartwell RX, LLC","62135-043","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/01/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (62135-043-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-471-30","10 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-471","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","30 TABLET in 1 BOTTLE (65862-471-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-471-99","10 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-471","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","1000 TABLET in 1 BOTTLE (65862-471-99)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-471-90","10 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-471","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","90 TABLET in 1 BOTTLE (65862-471-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-472-99","20 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-472","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","1000 TABLET in 1 BOTTLE (65862-472-99)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-472-30","20 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-472","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","30 TABLET in 1 BOTTLE (65862-472-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-472-90","20 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-472","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","90 TABLET in 1 BOTTLE (65862-472-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-473-30","40 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-473","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","30 TABLET in 1 BOTTLE (65862-473-30)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-473-90","40 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-473","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","90 TABLET in 1 BOTTLE (65862-473-90)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","65862-473-99","40 mg/1","TABLET","ORAL","ANDA091163","Aurobindo Pharma Limited","65862-473","Fosinopril Sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","03/30/2011","N/A","ANDA","1000 TABLET in 1 BOTTLE (65862-473-99)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","69097-856-15","10 mg/1","TABLET","ORAL","ANDA077222","Cipla USA Inc.","69097-856","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/16/2016","N/A","ANDA","1000 TABLET in 1 BOTTLE (69097-856-15)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","69097-856-05","10 mg/1","TABLET","ORAL","ANDA077222","Cipla USA Inc.","69097-856","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/16/2016","N/A","ANDA","90 TABLET in 1 BOTTLE (69097-856-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","69097-857-15","20 mg/1","TABLET","ORAL","ANDA077222","Cipla USA Inc.","69097-857","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/16/2016","N/A","ANDA","1000 TABLET in 1 BOTTLE (69097-857-15)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","69097-857-05","20 mg/1","TABLET","ORAL","ANDA077222","Cipla USA Inc.","69097-857","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/16/2016","N/A","ANDA","90 TABLET in 1 BOTTLE (69097-857-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","69097-858-15","40 mg/1","TABLET","ORAL","ANDA077222","Cipla USA Inc.","69097-858","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/16/2016","N/A","ANDA","1000 TABLET in 1 BOTTLE (69097-858-15)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","69097-858-05","40 mg/1","TABLET","ORAL","ANDA077222","Cipla USA Inc.","69097-858","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","06/16/2016","N/A","ANDA","90 TABLET in 1 BOTTLE (69097-858-05)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","71335-0187-1","20 mg/1","TABLET","ORAL","ANDA077222","Bryant Ranch Prepack","71335-0187","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","05/14/2020","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-0187-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","71335-0187-2","20 mg/1","TABLET","ORAL","ANDA077222","Bryant Ranch Prepack","71335-0187","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","12/27/2021","N/A","ANDA","28 TABLET in 1 BOTTLE (71335-0187-2)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","71335-0381-4","10 mg/1","TABLET","ORAL","ANDA077222","Bryant Ranch Prepack","71335-0381","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","02/09/2022","N/A","ANDA","28 TABLET in 1 BOTTLE (71335-0381-4)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","71335-0381-3","10 mg/1","TABLET","ORAL","ANDA077222","Bryant Ranch Prepack","71335-0381","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","02/09/2022","N/A","ANDA","60 TABLET in 1 BOTTLE (71335-0381-3)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","71335-0381-2","10 mg/1","TABLET","ORAL","ANDA077222","Bryant Ranch Prepack","71335-0381","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","02/09/2022","N/A","ANDA","90 TABLET in 1 BOTTLE (71335-0381-2)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril Sodium","71335-0381-1","10 mg/1","TABLET","ORAL","ANDA077222","Bryant Ranch Prepack","71335-0381","Fosinopril","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","02/09/2022","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-0381-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
"Fosinopril sodium","71335-0726-1","10 mg/1","TABLET","ORAL","ANDA205670","Bryant Ranch Prepack","71335-0726","fosinopirl sodium","FOSINOPRIL SODIUM","HUMAN PRESCRIPTION DRUG","01/04/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (71335-0726-1)","Angiotensin Converting Enzyme Inhibitor [EPC],  Angiotensin-converting Enzyme Inhibitors [MoA]","N/A","No","12/31/2026"
