"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Avalide","0024-5855-30","12.5 mg/1,                         150  mg/1","TABLET, FILM COATED","ORAL","NDA020758","Sanofi-Aventis U.S. LLC","0024-5855","irbesartan and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  IRBESARTAN","HUMAN PRESCRIPTION DRUG","01/01/2013","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (0024-5855-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Avalide","0024-5856-30","12.5 mg/1,                         300  mg/1","TABLET, FILM COATED","ORAL","NDA020758","Sanofi-Aventis U.S. LLC","0024-5856","irbesartan and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  IRBESARTAN","HUMAN PRESCRIPTION DRUG","01/01/2013","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (0024-5856-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Avapro","0024-5851-30","150 mg/1","TABLET, FILM COATED","ORAL","NDA020757","Sanofi-Aventis U.S. LLC","0024-5851","irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","01/01/2013","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (0024-5851-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Avapro","0024-5852-30","300 mg/1","TABLET, FILM COATED","ORAL","NDA020757","Sanofi-Aventis U.S. LLC","0024-5852","irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","01/01/2013","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (0024-5852-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Irbesartan","29300-212-19","75 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-212","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","90 TABLET in 1 BOTTLE, PLASTIC (29300-212-19)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-212-05","75 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-212","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","500 TABLET in 1 BOTTLE, PLASTIC (29300-212-05)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-212-13","75 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-212","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (29300-212-13)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-213-19","150 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-213","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","90 TABLET in 1 BOTTLE, PLASTIC (29300-213-19)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-213-05","150 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-213","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","500 TABLET in 1 BOTTLE, PLASTIC (29300-213-05)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-213-13","150 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-213","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (29300-213-13)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-214-13","300 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-214","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","30 TABLET in 1 BOTTLE, PLASTIC (29300-214-13)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-214-05","300 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-214","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","500 TABLET in 1 BOTTLE, PLASTIC (29300-214-05)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","29300-214-19","300 mg/1","TABLET","ORAL","ANDA203020","Unichem Pharmaceuticals (USA), Inc.","29300-214","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","02/28/2018","N/A","ANDA","90 TABLET in 1 BOTTLE, PLASTIC (29300-214-19)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","31722-160-05","75 mg/1","TABLET","ORAL","ANDA204774","Camber Pharmaceuticals, Inc.","31722-160","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","10/06/2016","N/A","ANDA","500 TABLET in 1 BOTTLE (31722-160-05)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","31722-161-10","150 mg/1","TABLET","ORAL","ANDA204774","Camber Pharmaceuticals, Inc.","31722-161","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","10/06/2016","N/A","ANDA","1000 TABLET in 1 BOTTLE (31722-161-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","31722-162-05","300 mg/1","TABLET","ORAL","ANDA204774","Camber Pharmaceuticals, Inc.","31722-162","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","10/06/2016","N/A","ANDA","500 TABLET in 1 BOTTLE (31722-162-05)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"Irbesartan","31722-729-90","75 mg/1","TABLET","ORAL","ANDA202910","Camber Pharmaceuticals, Inc.","31722-729","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","09/27/2012","N/A","ANDA","90 TABLET in 1 BOTTLE (31722-729-90)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Irbesartan","31722-729-05","75 mg/1","TABLET","ORAL","ANDA202910","Camber Pharmaceuticals, Inc.","31722-729","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","09/27/2012","N/A","ANDA","500 TABLET in 1 BOTTLE (31722-729-05)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Irbesartan","31722-729-30","75 mg/1","TABLET","ORAL","ANDA202910","Camber Pharmaceuticals, Inc.","31722-729","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","09/27/2012","N/A","ANDA","30 TABLET in 1 BOTTLE (31722-729-30)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Irbesartan","31722-729-31","75 mg/1","TABLET","ORAL","ANDA202910","Camber Pharmaceuticals, Inc.","31722-729","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","09/27/2012","N/A","ANDA","120 BLISTER PACK in 1 CARTON (31722-729-31)  / 10 TABLET in 1 BLISTER PACK","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Irbesartan","31722-729-10","75 mg/1","TABLET","ORAL","ANDA202910","Camber Pharmaceuticals, Inc.","31722-729","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","03/06/2025","N/A","ANDA","1000 TABLET in 1 BOTTLE (31722-729-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"Irbesartan","31722-730-90","150 mg/1","TABLET","ORAL","ANDA202910","Camber Pharmaceuticals, Inc.","31722-730","Irbesartan","IRBESARTAN","HUMAN PRESCRIPTION DRUG","09/27/2012","N/A","ANDA","90 TABLET in 1 BOTTLE (31722-730-90)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
