"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Bumetanide","0185-0128-01",".5 mg/1","TABLET","ORAL","ANDA074700","Sandoz Inc","0185-0128","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","11/21/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0185-0128-01)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Bumetanide","0185-0128-05",".5 mg/1","TABLET","ORAL","ANDA074700","Sandoz Inc","0185-0128","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","11/21/1996","N/A","ANDA","500 TABLET in 1 BOTTLE (0185-0128-05)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Bumetanide","0185-0129-01","1 mg/1","TABLET","ORAL","ANDA074700","Sandoz Inc","0185-0129","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","11/21/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0185-0129-01)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Bumetanide","0185-0129-05","1 mg/1","TABLET","ORAL","ANDA074700","Sandoz Inc","0185-0129","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","11/21/1996","N/A","ANDA","500 TABLET in 1 BOTTLE (0185-0129-05)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Bumetanide","0185-0130-01","2 mg/1","TABLET","ORAL","ANDA074700","Sandoz Inc","0185-0130","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","11/21/1996","N/A","ANDA","100 TABLET in 1 BOTTLE (0185-0130-01)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Bumetanide","0185-0130-05","2 mg/1","TABLET","ORAL","ANDA074700","Sandoz Inc","0185-0130","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","11/21/1996","N/A","ANDA","500 TABLET in 1 BOTTLE (0185-0130-05)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Bumetanide","0615-8614-39",".5 mg/1","TABLET","ORAL","ANDA213942","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8614","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","01/16/2026","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8614-39)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"Bumetanide","0615-8615-39","1 mg/1","TABLET","ORAL","ANDA213942","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8615","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","01/15/2026","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8615-39)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"Bumetanide","0615-8615-05","1 mg/1","TABLET","ORAL","ANDA213942","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8615","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","01/15/2026","N/A","ANDA","15 TABLET in 1 BLISTER PACK (0615-8615-05)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"Bumetanide","0615-8616-39","2 mg/1","TABLET","ORAL","ANDA213942","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8616","Bumetanide","BUMETANIDE","HUMAN PRESCRIPTION DRUG","01/15/2026","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8616-39)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
