"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Cardizem","0187-0771-47","30 mg/1","TABLET, COATED","ORAL","NDA018602","Bausch Health US LLC","0187-0771","Diltiazem Hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/25/2010","N/A","NDA","100 TABLET, COATED in 1 BOTTLE (0187-0771-47)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem","0187-0772-47","60 mg/1","TABLET, COATED","ORAL","NDA018602","Bausch Health US LLC","0187-0772","Diltiazem Hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/25/2010","N/A","NDA","100 TABLET, COATED in 1 BOTTLE (0187-0772-47)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem","0187-0792-47","120 mg/1","TABLET, COATED","ORAL","NDA018602","Bausch Health US LLC","0187-0792","Diltiazem Hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/25/2010","N/A","NDA","100 TABLET, COATED in 1 BOTTLE (0187-0792-47)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0795-30","120 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0795","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","30 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0795-30)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0795-42","120 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0795","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","90 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0795-42)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0796-42","180 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0796","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","90 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0796-42)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0796-30","180 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0796","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","30 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0796-30)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0797-30","240 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0797","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","30 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0797-30)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0797-42","240 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0797","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","90 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0797-42)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
"Cardizem CD","0187-0798-42","300 mg/1","CAPSULE, COATED, EXTENDED RELEASE","ORAL","NDA020062","Bausch Health US LLC","0187-0798","diltiazem hydrochloride","DILTIAZEM HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/11/2001","N/A","NDA","90 CAPSULE, COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0187-0798-42)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A4 Inhibitors [MoA]","N/A","No","12/31/2026"
