"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Nifedipine","0615-8549-39","60 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA210614","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8549","nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","10/10/2024","N/A","ANDA","30 TABLET, EXTENDED RELEASE in 1 BLISTER PACK (0615-8549-39)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Nifedipine","0904-7081-61","60 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA210614","Major Pharmaceuticals","0904-7081","nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","03/12/2019","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7081-61)  / 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","0904-7081-06","60 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA210614","Major Pharmaceuticals","0904-7081","nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","03/12/2019","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7081-06)  / 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","0904-7082-06","90 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA210614","Major Pharmaceuticals","0904-7082","nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","03/12/2019","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7082-06)  / 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","0904-7082-04","90 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA210614","Major Pharmaceuticals","0904-7082","nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","03/12/2019","N/A","ANDA","30 BLISTER PACK in 1 CARTON (0904-7082-04)  / 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","0904-7208-06","30 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA203126","Major Pharmaceuticals","0904-7208","Nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","05/15/2015","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7208-06)  / 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","0904-7208-61","30 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA203126","Major Pharmaceuticals","0904-7208","Nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","05/15/2015","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7208-61)  / 1 TABLET, FILM COATED, EXTENDED RELEASE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","0904-7229-61","10 mg/1","CAPSULE","ORAL","ANDA202644","Major Pharmaceuticals","0904-7229","Nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","08/23/2022","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7229-61)  / 1 CAPSULE in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nifedipine","23155-194-13","10 mg/1","CAPSULE","ORAL","ANDA202644","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-194","Nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","12/07/2010","N/A","ANDA","300 CAPSULE in 1 BOTTLE (23155-194-13)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Nifedipine","23155-194-01","10 mg/1","CAPSULE","ORAL","ANDA202644","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-194","Nifedipine","NIFEDIPINE","HUMAN PRESCRIPTION DRUG","12/07/2010","N/A","ANDA","100 CAPSULE in 1 BOTTLE (23155-194-01)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
