"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Aldactone","0025-1001-31","25 mg/1","TABLET, FILM COATED","ORAL","NDA012151","Pfizer Laboratories Div Pfizer Inc","0025-1001","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","01/21/1960","N/A","NDA","100 TABLET, FILM COATED in 1 BOTTLE (0025-1001-31)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"Aldactone","0025-1031-31","100 mg/1","TABLET, FILM COATED","ORAL","NDA012151","Pfizer Laboratories Div Pfizer Inc","0025-1031","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","01/21/1960","N/A","NDA","100 TABLET, FILM COATED in 1 BOTTLE (0025-1031-31)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"Aldactone","0025-1041-31","50 mg/1","TABLET, FILM COATED","ORAL","NDA012151","Pfizer Laboratories Div Pfizer Inc","0025-1041","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","01/21/1960","N/A","NDA","100 TABLET, FILM COATED in 1 BOTTLE (0025-1041-31)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"GUNA-DIUR","17089-260-18","4 [hp_X]/30mL,                         2  [hp_X]/30mL,                         .3  g/30mL,                         .3  g/30mL,                         4  [hp_X]/30mL,                         .3  g/30mL,                         4  [hp_X]/30mL,                         12  [hp_X]/30mL","SOLUTION/ DROPS","ORAL","","Guna spa","17089-260","amiloride - apis mellifera - berberis vulgaris fruit - hieracium pilosella flowering top - hydrochlorothiazide - solidago virgaurea flowering top - spironolactone - sus scrofa pituitary gland -","AMILORIDE;  APIS MELLIFERA;  BERBERIS VULGARIS FRUIT;  HYDROCHLOROTHIAZIDE;  SUS SCROFA PITUITARY GLAND;  HIERACIUM PILOSELLA FLOWERING TOP;  SOLIDAGO VIRGAUREA FLOWERING TOP;  SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","12/21/2018","N/A","UNAPPROVED HOMEOPATHIC","1 BOTTLE, DROPPER in 1 BOX (17089-260-18)  / 30 mL in 1 BOTTLE, DROPPER","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA],  Allergens [CS],  Bee Venoms [CS],  Cell-mediated Immunity [PE],  Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Increased Diuresis [PE],  Increased Histamine Release [PE],  Increased IgG Production [PE],  Potassium-sparing Diuretic [EPC],  Standardized Insect Venom Allergenic Extract [EPC],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"Spironolactone","0378-0243-05","50 mg/1","TABLET, FILM COATED","ORAL","ANDA040424","Mylan Pharmaceuticals Inc.","0378-0243","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","06/26/2009","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0243-05)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2027"
"Spironolactone","0378-0243-01","50 mg/1","TABLET, FILM COATED","ORAL","ANDA040424","Mylan Pharmaceuticals Inc.","0378-0243","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","01/22/2002","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0243-01)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2027"
"Spironolactone","0378-0437-01","100 mg/1","TABLET, FILM COATED","ORAL","ANDA040424","Mylan Pharmaceuticals Inc.","0378-0437","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","01/22/2002","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0437-01)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2027"
"Spironolactone","0378-2146-01","25 mg/1","TABLET, FILM COATED","ORAL","ANDA040424","Mylan Pharmaceuticals Inc.","0378-2146","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","02/03/1981","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-2146-01)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2027"
"Spironolactone","0378-2146-05","25 mg/1","TABLET, FILM COATED","ORAL","ANDA040424","Mylan Pharmaceuticals Inc.","0378-2146","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","02/03/1981","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-2146-05)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2027"
"SPIRONOLACTONE","0574-1133-10","25 mg/5mL","SUSPENSION","ORAL","NDA209478","Padagis US LLC","0574-1133","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","10/31/2023","N/A","NDA AUTHORIZED GENERIC","10 CUP, UNIT-DOSE in 1 CARTON (0574-1133-10)  / 5 mL in 1 CUP, UNIT-DOSE (0574-1133-05)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"SPIRONOLACTONE","0574-1133-04","25 mg/5mL","SUSPENSION","ORAL","NDA209478","Padagis US LLC","0574-1133","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","10/31/2023","N/A","NDA AUTHORIZED GENERIC","118 mL in 1 BOTTLE (0574-1133-04)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"SPIRONOLACTONE","0574-1133-16","25 mg/5mL","SUSPENSION","ORAL","NDA209478","Padagis US LLC","0574-1133","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","10/31/2023","N/A","NDA AUTHORIZED GENERIC","473 mL in 1 BOTTLE (0574-1133-16)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"SPIRONOLACTONE","0615-8451-39","25 mg/1","TABLET","ORAL","ANDA202187","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8451","SPIRONOLACTONE","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","04/13/2023","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8451-39)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"SPIRONOLACTONE","0615-8451-05","25 mg/1","TABLET","ORAL","ANDA202187","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8451","SPIRONOLACTONE","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","04/13/2023","N/A","ANDA","15 TABLET in 1 BLISTER PACK (0615-8451-05)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"SPIRONOLACTONE","0615-8452-39","50 mg/1","TABLET","ORAL","ANDA202187","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8452","SPIRONOLACTONE","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","03/01/2023","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8452-39)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"spironolactone","0904-6927-61","25 mg/1","TABLET, FILM COATED","ORAL","ANDA205936","Major Pharmaceuticals","0904-6927","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","08/15/2018","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-6927-61)  / 1 TABLET, FILM COATED in 1 BLISTER PACK","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"Spironolactone","16729-225-17","25 mg/1","TABLET, FILM COATED","ORAL","ANDA203512","Accord Healthcare, Inc.","16729-225","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","06/15/2017","N/A","ANDA","1000 TABLET, FILM COATED in 1 BOTTLE (16729-225-17)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
"Spironolactone","16729-225-16","25 mg/1","TABLET, FILM COATED","ORAL","ANDA203512","Accord Healthcare, Inc.","16729-225","spironolactone","SPIRONOLACTONE","HUMAN PRESCRIPTION DRUG","06/02/2017","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (16729-225-16)","Aldosterone Antagonist [EPC],  Aldosterone Antagonists [MoA]","N/A","No","12/31/2026"
