"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"SOAANZ","73502-586-11","40 mg/1","TABLET, FILM COATED","ORAL","NDA213218","Sarfez Pharmaceuticals Inc","73502-586","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","01/24/2022","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (73502-586-11)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"SOAANZ","73502-586-10","40 mg/1","TABLET, FILM COATED","ORAL","NDA213218","Sarfez Pharmaceuticals Inc","73502-586","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","01/24/2022","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (73502-586-10)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"Torsemide","0054-0077-29","20 mg/1","TABLET","ORAL","ANDA076943","Hikma Pharmaceuticals USA Inc.","0054-0077","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","03/03/2005","N/A","ANDA","500 TABLET in 1 BOTTLE, PLASTIC (0054-0077-29)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","0054-0077-25","20 mg/1","TABLET","ORAL","ANDA076943","Hikma Pharmaceuticals USA Inc.","0054-0077","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","03/03/2005","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (0054-0077-25)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","0615-7997-39","20 mg/1","TABLET","ORAL","ANDA079234","NCS HealthCare of KY, LLC dba Vangard Labs","0615-7997","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","01/01/2011","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-7997-39)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","0615-7997-05","20 mg/1","TABLET","ORAL","ANDA079234","NCS HealthCare of KY, LLC dba Vangard Labs","0615-7997","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","12/02/2022","N/A","ANDA","15 TABLET in 1 BLISTER PACK (0615-7997-05)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","0615-8521-39","10 mg/1","TABLET","ORAL","ANDA076346","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8521","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","08/12/2024","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8521-39)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","0904-7283-61","20 mg/1","TABLET","ORAL","ANDA079234","Major Pharmaceuticals","0904-7283","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","02/20/2023","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-7283-61)  / 1 TABLET in 1 BLISTER PACK","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"Torsemide","0904-7283-06","20 mg/1","TABLET","ORAL","ANDA079234","Major Pharmaceuticals","0904-7283","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","02/20/2023","N/A","ANDA","50 BLISTER PACK in 1 CARTON (0904-7283-06)  / 1 TABLET in 1 BLISTER PACK","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2027"
"Torsemide","23155-871-01","5 mg/1","TABLET","ORAL","ANDA076894","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-871","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","07/24/2023","N/A","ANDA","100 TABLET in 1 BOTTLE (23155-871-01)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","23155-871-05","5 mg/1","TABLET","ORAL","ANDA076894","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-871","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","07/24/2023","N/A","ANDA","500 TABLET in 1 BOTTLE (23155-871-05)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","23155-871-10","5 mg/1","TABLET","ORAL","ANDA076894","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-871","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","07/24/2023","N/A","ANDA","1000 TABLET in 1 BOTTLE (23155-871-10)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
"Torsemide","23155-872-10","10 mg/1","TABLET","ORAL","ANDA076894","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-872","Torsemide","TORSEMIDE","HUMAN PRESCRIPTION DRUG","07/24/2023","N/A","ANDA","1000 TABLET in 1 BOTTLE (23155-872-10)","Increased Diuresis at Loop of Henle [PE],  Loop Diuretic [EPC]","N/A","No","12/31/2026"
