"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Dyrenium","59212-002-01","50 mg/1","CAPSULE","ORAL","NDA013174","Advanz Pharma (US) Corp.","59212-002","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","10/01/1999","N/A","NDA","100 CAPSULE in 1 BOTTLE (59212-002-01)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Dyrenium","59212-003-01","100 mg/1","CAPSULE","ORAL","NDA013174","Advanz Pharma (US) Corp.","59212-003","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","01/01/1999","N/A","NDA","100 CAPSULE in 1 BOTTLE (59212-003-01)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","52817-364-10","50 mg/1","CAPSULE","ORAL","ANDA211581","TRUPHARMA LLC","52817-364","Triamterene Capsules","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","12/12/2018","N/A","ANDA","100 CAPSULE in 1 BOTTLE (52817-364-10)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","52817-365-10","100 mg/1","CAPSULE","ORAL","ANDA211581","TRUPHARMA LLC","52817-365","Triamterene Capsules","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","12/12/2018","N/A","ANDA","100 CAPSULE in 1 BOTTLE (52817-365-10)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"triamterene","66993-831-02","50 mg/1","CAPSULE","ORAL","NDA013174","Prasco Laboratories","66993-831","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","08/13/2019","N/A","NDA AUTHORIZED GENERIC","100 CAPSULE in 1 BOTTLE (66993-831-02)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","66993-832-02","100 mg/1","CAPSULE","ORAL","NDA013174","Prasco Laboratories","66993-832","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","08/13/2019","N/A","NDA AUTHORIZED GENERIC","100 CAPSULE in 1 BOTTLE (66993-832-02)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","70377-138-12","50 mg/1","CAPSULE","ORAL","ANDA214768","Biocon Pharma Inc.","70377-138","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","02/10/2025","N/A","ANDA","100 CAPSULE in 1 BOTTLE (70377-138-12)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","70377-138-11","50 mg/1","CAPSULE","ORAL","ANDA214768","Biocon Pharma Inc.","70377-138","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","02/10/2025","N/A","ANDA","30 CAPSULE in 1 BOTTLE (70377-138-11)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","70377-139-12","100 mg/1","CAPSULE","ORAL","ANDA214768","Biocon Pharma Inc.","70377-139","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","02/10/2025","N/A","ANDA","100 CAPSULE in 1 BOTTLE (70377-139-12)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
"Triamterene","70377-139-11","100 mg/1","CAPSULE","ORAL","ANDA214768","Biocon Pharma Inc.","70377-139","Triamterene","TRIAMTERENE","HUMAN PRESCRIPTION DRUG","02/10/2025","N/A","ANDA","30 CAPSULE in 1 BOTTLE (70377-139-11)","Decreased Renal K+ Excretion [PE],  Increased Diuresis [PE],  Potassium-sparing Diuretic [EPC]","N/A","No","12/31/2026"
