"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"DigiFab","50633-120-11","40 mg/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","BLA103910","BTG International Inc.","50633-120","ovine digoxin immune fab","OVINE DIGOXIN IMMUNE FAB","PLASMA DERIVATIVE","08/31/2001","N/A","BLA","1 VIAL, GLASS in 1 CARTON (50633-120-11)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, GLASS (50633-120-12)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"DigiFab","87131-120-11","40 mg/1","INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION","INTRAVENOUS","BLA103910","Salvagenix Inc.","87131-120","ovine digoxin immune fab","OVINE DIGOXIN IMMUNE FAB","PLASMA DERIVATIVE","03/20/2026","N/A","BLA","1 VIAL, GLASS in 1 CARTON (87131-120-11)  / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, GLASS (87131-120-12)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0054-0057-46",".05 mg/mL","SOLUTION","ORAL","NDA021648","Hikma Pharmaceuticals USA Inc.","0054-0057","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","08/26/2004","N/A","NDA","60 mL in 1 BOTTLE (0054-0057-46)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"Digoxin","0115-9811-02","125 ug/1","TABLET","ORAL","ANDA078556","Amneal Pharmaceuticals of New York LLC","0115-9811","DIGOXIN","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/20/2009","N/A","ANDA","500 TABLET in 1 BOTTLE (0115-9811-02)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0115-9811-03","125 ug/1","TABLET","ORAL","ANDA078556","Amneal Pharmaceuticals of New York LLC","0115-9811","DIGOXIN","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/20/2009","N/A","ANDA","1000 TABLET in 1 BOTTLE (0115-9811-03)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0115-9811-01","125 ug/1","TABLET","ORAL","ANDA078556","Amneal Pharmaceuticals of New York LLC","0115-9811","DIGOXIN","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/20/2009","N/A","ANDA","100 TABLET in 1 BOTTLE (0115-9811-01)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0115-9822-03","250 ug/1","TABLET","ORAL","ANDA078556","Amneal Pharmaceuticals of New York LLC","0115-9822","DIGOXIN","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/20/2009","N/A","ANDA","1000 TABLET in 1 BOTTLE (0115-9822-03)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0115-9822-02","250 ug/1","TABLET","ORAL","ANDA078556","Amneal Pharmaceuticals of New York LLC","0115-9822","DIGOXIN","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/20/2009","N/A","ANDA","500 TABLET in 1 BOTTLE (0115-9822-02)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0115-9822-01","250 ug/1","TABLET","ORAL","ANDA078556","Amneal Pharmaceuticals of New York LLC","0115-9822","DIGOXIN","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/20/2009","N/A","ANDA","100 TABLET in 1 BOTTLE (0115-9822-01)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0143-1240-10","125 ug/1","TABLET","ORAL","ANDA077002","Hikma Pharmaceuticals USA Inc.","0143-1240","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","10/30/2007","N/A","ANDA","1000 TABLET in 1 BOTTLE, PLASTIC (0143-1240-10)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"Digoxin","0143-1240-01","125 ug/1","TABLET","ORAL","ANDA077002","Hikma Pharmaceuticals USA Inc.","0143-1240","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","10/30/2007","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (0143-1240-01)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"Digoxin","0143-1241-01","250 ug/1","TABLET","ORAL","ANDA077002","Hikma Pharmaceuticals USA Inc.","0143-1241","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","10/30/2007","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (0143-1241-01)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"Digoxin","0143-1241-10","250 ug/1","TABLET","ORAL","ANDA077002","Hikma Pharmaceuticals USA Inc.","0143-1241","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","10/30/2007","N/A","ANDA","1000 TABLET in 1 BOTTLE, PLASTIC (0143-1241-10)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"Digoxin","0404-9850-02",".25 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA083391","Henry Schein, Inc.","0404-9850","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","01/10/2022","N/A","ANDA","1 AMPULE in 1 BAG (0404-9850-02)  / 2 mL in 1 AMPULE","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0615-8202-05","125 ug/1","TABLET","ORAL","ANDA077002","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8202","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/07/2026","N/A","ANDA","15 TABLET in 1 BLISTER PACK (0615-8202-05)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0615-8202-39","125 ug/1","TABLET","ORAL","ANDA077002","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8202","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","07/07/2026","N/A","ANDA","30 TABLET in 1 BLISTER PACK (0615-8202-39)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0641-1410-35",".25 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA083391","Hikma Pharmaceuticals USA Inc.","0641-1410","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","10/24/1975","N/A","ANDA","25 AMPULE in 1 CARTON (0641-1410-35)  / 2 mL in 1 AMPULE (0641-1410-31)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0641-6184-25",".25 mg/mL","INJECTION","INTRAMUSCULAR; INTRAVENOUS","ANDA083391","Hikma Pharmaceuticals USA Inc.","0641-6184","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","10/24/1975","N/A","ANDA","25 AMPULE in 1 CARTON (0641-6184-25)  / 2 mL in 1 AMPULE (0641-6184-01)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0781-3059-95","250 ug/mL","INJECTION, SOLUTION","INTRAMUSCULAR; INTRAVENOUS; PARENTERAL","ANDA040481","Sandoz Inc","0781-3059","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","08/21/2003","N/A","ANDA","10 AMPULE in 1 CARTON (0781-3059-95)  / 2 mL in 1 AMPULE (0781-3059-72)","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2026"
"Digoxin","0904-5921-61","125 ug/1","TABLET","ORAL","ANDA077002","Major Pharmaceuticals","0904-5921","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","06/10/2009","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-5921-61)  / 1 TABLET in 1 BLISTER PACK","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
"Digoxin","0904-5922-61","250 ug/1","TABLET","ORAL","ANDA077002","Major Pharmaceuticals","0904-5922","Digoxin","DIGOXIN","HUMAN PRESCRIPTION DRUG","06/10/2009","N/A","ANDA","100 BLISTER PACK in 1 CARTON (0904-5922-61)  / 1 TABLET in 1 BLISTER PACK","Cardiac Glycoside [EPC],  Cardiac Glycosides [CS]","N/A","No","12/31/2027"
