"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Corlanor","55513-800-60","5 mg/1","TABLET, FILM COATED","ORAL","NDA206143","Amgen Inc","55513-800","ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/20/2015","N/A","NDA","60 TABLET, FILM COATED in 1 BOTTLE (55513-800-60)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Corlanor","55513-800-99","5 mg/1","TABLET, FILM COATED","ORAL","NDA206143","Amgen Inc","55513-800","ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/20/2015","N/A","NDA","14 TABLET, FILM COATED in 1 BOTTLE (55513-800-99)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","Yes","12/31/2026"
"Corlanor","55513-810-60","7.5 mg/1","TABLET, FILM COATED","ORAL","NDA206143","Amgen Inc","55513-810","ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/20/2015","N/A","NDA","60 TABLET, FILM COATED in 1 BOTTLE (55513-810-60)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Corlanor","55513-813-28","5 mg/5mL","SOLUTION","ORAL","NDA209964","Amgen Inc","55513-813","ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/19/2019","N/A","NDA","28 AMPULE in 1 CARTON (55513-813-28)  / 5 mL in 1 AMPULE (55513-813-01)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Ivabradine","31722-053-60","5 mg/1","TABLET, FILM COATED","ORAL","ANDA213366","Camber Pharmaceuticals, Inc.","31722-053","Ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/05/2022","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (31722-053-60)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Ivabradine","31722-054-60","7.5 mg/1","TABLET, FILM COATED","ORAL","ANDA213366","Camber Pharmaceuticals, Inc.","31722-054","Ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/05/2022","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (31722-054-60)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Ivabradine","46708-679-45","5 mg/1","TABLET, FILM COATED","ORAL","ANDA215238","Alembic Pharmaceuticals Limited","46708-679","Ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/20/2024","N/A","ANDA","180 TABLET, FILM COATED in 1 BOTTLE (46708-679-45)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Ivabradine","46708-679-60","5 mg/1","TABLET, FILM COATED","ORAL","ANDA215238","Alembic Pharmaceuticals Limited","46708-679","Ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/20/2024","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (46708-679-60)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Ivabradine","46708-680-45","7.5 mg/1","TABLET, FILM COATED","ORAL","ANDA215238","Alembic Pharmaceuticals Limited","46708-680","Ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/20/2024","N/A","ANDA","180 TABLET, FILM COATED in 1 BOTTLE (46708-680-45)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
"Ivabradine","46708-680-60","7.5 mg/1","TABLET, FILM COATED","ORAL","ANDA215238","Alembic Pharmaceuticals Limited","46708-680","Ivabradine","IVABRADINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/20/2024","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (46708-680-60)","Hyperpolarization-activated Cyclic Nucleotide-gated Channel Antagonists [MoA],  Hyperpolarization-activated Cyclic Nucleotide-gated Channel Blocker [EPC]","N/A","No","12/31/2026"
