"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"ARBLI","83245-053-06","10 mg/mL","SUSPENSION","ORAL","NDA218772","Scienture LLC","83245-053","losartan potassium","LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","03/19/2025","N/A","NDA","1 BOTTLE in 1 CARTON (83245-053-06)  / 165 mL in 1 BOTTLE","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2026"
"COZAAR","78206-121-01","25 mg/1","TABLET, FILM COATED","ORAL","NDA020386","Organon LLC","78206-121","losartan potassium","LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (78206-121-01)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"COZAAR","78206-122-02","50 mg/1","TABLET, FILM COATED","ORAL","NDA020386","Organon LLC","78206-122","losartan potassium","LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (78206-122-02)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"COZAAR","78206-122-01","50 mg/1","TABLET, FILM COATED","ORAL","NDA020386","Organon LLC","78206-122","losartan potassium","LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (78206-122-01)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"COZAAR","78206-123-02","100 mg/1","TABLET, FILM COATED","ORAL","NDA020386","Organon LLC","78206-123","losartan potassium","LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (78206-123-02)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"COZAAR","78206-123-01","100 mg/1","TABLET, FILM COATED","ORAL","NDA020386","Organon LLC","78206-123","losartan potassium","LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (78206-123-01)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC]","N/A","No","12/31/2027"
"HYZAAR","78206-139-02","12.5 mg/1,                         50  mg/1","TABLET, FILM COATED","ORAL","NDA020387","Organon LLC","78206-139","losartan potassium and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (78206-139-02)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"HYZAAR","78206-139-01","12.5 mg/1,                         50  mg/1","TABLET, FILM COATED","ORAL","NDA020387","Organon LLC","78206-139","losartan potassium and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (78206-139-01)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"HYZAAR","78206-140-02","12.5 mg/1,                         100  mg/1","TABLET, FILM COATED","ORAL","NDA020387","Organon LLC","78206-140","losartan potassium and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE (78206-140-02)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"HYZAAR","78206-140-01","12.5 mg/1,                         100  mg/1","TABLET, FILM COATED","ORAL","NDA020387","Organon LLC","78206-140","losartan potassium and hydrochlorothiazide","HYDROCHLOROTHIAZIDE;  LOSARTAN POTASSIUM","HUMAN PRESCRIPTION DRUG","06/01/2021","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (78206-140-01)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
