"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Livalo","66869-104-90","1.045 mg/1","TABLET, FILM COATED","ORAL","NDA022363","Kowa Pharmaceuticals America, Inc.","66869-104","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","05/16/2019","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE, DISPENSING (66869-104-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Livalo","66869-204-90","2.09 mg/1","TABLET, FILM COATED","ORAL","NDA022363","Kowa Pharmaceuticals America, Inc.","66869-204","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","05/16/2019","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE, DISPENSING (66869-204-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Livalo","66869-404-90","4.18 mg/1","TABLET, FILM COATED","ORAL","NDA022363","Kowa Pharmaceuticals America, Inc.","66869-404","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","05/16/2019","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE, DISPENSING (66869-404-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Pitavastatin","0480-3631-98","1.045 mg/1","TABLET, FILM COATED","ORAL","ANDA205932","Teva Pharmaceuticals, Inc.","0480-3631","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","11/02/2023","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (0480-3631-98)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"Pitavastatin","0480-3632-98","2.09 mg/1","TABLET, FILM COATED","ORAL","ANDA205932","Teva Pharmaceuticals, Inc.","0480-3632","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","11/02/2023","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (0480-3632-98)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"Pitavastatin","0480-3633-98","4.18 mg/1","TABLET, FILM COATED","ORAL","ANDA205932","Teva Pharmaceuticals, Inc.","0480-3633","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","11/02/2023","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (0480-3633-98)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"Pitavastatin","0832-6048-90","1 mg/1","TABLET","ORAL","ANDA205955","Upsher-Smith Laboratories, LLC","0832-6048","Pitavastatin Calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","11/02/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (0832-6048-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Pitavastatin","0832-6049-90","2 mg/1","TABLET","ORAL","ANDA205955","Upsher-Smith Laboratories, LLC","0832-6049","Pitavastatin Calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","11/02/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (0832-6049-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Pitavastatin","0832-6050-90","4 mg/1","TABLET","ORAL","ANDA205955","Upsher-Smith Laboratories, LLC","0832-6050","Pitavastatin Calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","11/02/2023","N/A","ANDA","90 TABLET in 1 BOTTLE (0832-6050-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
"Pitavastatin","42291-905-90","1.045 mg/1","TABLET, FILM COATED","ORAL","ANDA205932","AvKARE","42291-905","pitavastatin calcium","PITAVASTATIN CALCIUM","HUMAN PRESCRIPTION DRUG","01/16/2024","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (42291-905-90)","HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2027"
