"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"ezetimibe and simvastatin","16714-778-02","10 mg/1,                         10  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-778","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","90 TABLET in 1 BOTTLE (16714-778-02)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-778-01","10 mg/1,                         10  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-778","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (16714-778-01)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-779-02","10 mg/1,                         20  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-779","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","90 TABLET in 1 BOTTLE (16714-779-02)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-779-01","10 mg/1,                         20  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-779","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (16714-779-01)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-780-02","10 mg/1,                         40  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-780","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","90 TABLET in 1 BOTTLE (16714-780-02)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-780-01","10 mg/1,                         40  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-780","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (16714-780-01)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-781-02","10 mg/1,                         80  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-781","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","90 TABLET in 1 BOTTLE (16714-781-02)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"ezetimibe and simvastatin","16714-781-01","10 mg/1,                         80  mg/1","TABLET","ORAL","ANDA208699","NORTHSTAR RX LLC","16714-781","ezetimibe and simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","08/19/2019","N/A","ANDA","30 TABLET in 1 BOTTLE (16714-781-01)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","12/31/2026"
"Ezetimibe and Simvastatin","43598-742-30","10 mg/1,                         10  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-742","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","10/31/2027","ANDA","30 TABLET in 1 BOTTLE (43598-742-30)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-742-90","10 mg/1,                         10  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-742","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","06/30/2027","ANDA","90 TABLET in 1 BOTTLE (43598-742-90)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-742-10","10 mg/1,                         10  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-742","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","07/31/2027","ANDA","1000 TABLET in 1 BOTTLE (43598-742-10)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-743-90","10 mg/1,                         40  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-743","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","09/30/2027","ANDA","90 TABLET in 1 BOTTLE (43598-743-90)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-743-30","10 mg/1,                         40  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-743","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","09/30/2027","ANDA","30 TABLET in 1 BOTTLE (43598-743-30)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-744-90","10 mg/1,                         20  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-744","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","05/31/2027","ANDA","90 TABLET in 1 BOTTLE (43598-744-90)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-744-30","10 mg/1,                         20  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-744","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","10/31/2027","ANDA","30 TABLET in 1 BOTTLE (43598-744-30)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
"Ezetimibe and Simvastatin","43598-744-10","10 mg/1,                         20  mg/1","TABLET","ORAL","ANDA200909","Dr.Reddys Laboratories Inc","43598-744","Ezetimibe and Simvastatin","EZETIMIBE;  SIMVASTATIN","HUMAN PRESCRIPTION DRUG","11/20/2018","10/31/2027","ANDA","1000 TABLET in 1 BOTTLE (43598-744-10)","Decreased Cholesterol Absorption [PE],  Dietary Cholesterol Absorption Inhibitor [EPC],  HMG-CoA Reductase Inhibitor [EPC],  Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]","N/A","No","N/A"
