Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Nesina,64764-125-02,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-125,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"4 CARTON in 1 TRAY (64764-125-02) / 1 BLISTER PACK in 1 CARTON / 7 TABLET, FILM COATED in 1 BLISTER PACK","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-125-30,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-125,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (64764-125-30)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-125-50,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-125,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (64764-125-50)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-125-90,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-125,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (64764-125-90)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-250-02,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-250,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"4 CARTON in 1 TRAY (64764-250-02) / 1 BLISTER PACK in 1 CARTON / 7 TABLET, FILM COATED in 1 BLISTER PACK","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-250-90,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-250,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (64764-250-90)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-250-30,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-250,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (64764-250-30)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-250-50,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-250,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (64764-250-50)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-625-30,6.25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-625,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (64764-625-30)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Nesina,64764-625-90,6.25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Takeda Pharmaceuticals America, Inc.",64764-625,alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2013,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (64764-625-90)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
