Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
INVOKAMET,50458-540-60,"50 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA204353,"Janssen Pharmaceuticals, Inc.",50458-540,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/08/2014,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (50458-540-60)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET,50458-541-60,"50 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA204353,"Janssen Pharmaceuticals, Inc.",50458-541,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/08/2014,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (50458-541-60)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET,50458-542-60,"150 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA204353,"Janssen Pharmaceuticals, Inc.",50458-542,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/08/2014,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (50458-542-60)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET,50458-543-60,"150 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA204353,"Janssen Pharmaceuticals, Inc.",50458-543,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/08/2014,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (50458-543-60)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET XR,50458-940-01,"50 mg/1, 500 mg/1","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA205879,"Janssen Pharmaceuticals, Inc.",50458-940,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2016,N/A,NDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (50458-940-01)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET XR,50458-941-01,"50 mg/1, 1000 mg/1","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA205879,"Janssen Pharmaceuticals, Inc.",50458-941,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2016,N/A,NDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (50458-941-01)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET XR,50458-942-01,"150 mg/1, 500 mg/1","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA205879,"Janssen Pharmaceuticals, Inc.",50458-942,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2016,N/A,NDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (50458-942-01)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKAMET XR,50458-943-01,"150 mg/1, 1000 mg/1","TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA205879,"Janssen Pharmaceuticals, Inc.",50458-943,canagliflozin and metformin hydrochloride,CANAGLIFLOZIN; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2016,N/A,NDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (50458-943-01)","Biguanide [EPC], Biguanides [CS], P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50090-4364-0,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,A-S Medication Solutions,50090-4364,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,06/17/2019,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-4364-0)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
INVOKANA,50090-5034-0,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,A-S Medication Solutions,50090-5034,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,05/04/2020,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-5034-0)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
INVOKANA,50090-5034-1,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,A-S Medication Solutions,50090-5034,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,05/05/2020,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (50090-5034-1)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
INVOKANA,50458-140-01,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-140,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"5 TABLET, FILM COATED in 1 BOTTLE (50458-140-01)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,Yes,12/31/2027
INVOKANA,50458-140-30,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-140,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (50458-140-30)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-140-50,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-140,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (50458-140-50)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-140-90,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-140,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50458-140-90)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-140-10,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-140,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"10 BLISTER PACK in 1 CARTON (50458-140-10) / 10 TABLET, FILM COATED in 1 BLISTER PACK","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-141-01,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-141,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"5 TABLET, FILM COATED in 1 BOTTLE (50458-141-01)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,Yes,12/31/2027
INVOKANA,50458-141-50,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-141,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (50458-141-50)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-141-10,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-141,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"10 BLISTER PACK in 1 CARTON (50458-141-10) / 10 TABLET, FILM COATED in 1 BLISTER PACK","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-141-90,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-141,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50458-141-90)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,50458-141-30,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Janssen Pharmaceuticals, Inc.",50458-141,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (50458-141-30)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,55154-1425-8,100 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Cardinal Health 107, LLC",55154-1425,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"2070 TABLET, FILM COATED in 1 BOTTLE (55154-1425-8)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
INVOKANA,55154-1426-8,300 mg/1,"TABLET, FILM COATED",ORAL,NDA204042,"Cardinal Health 107, LLC",55154-1426,canagliflozin,CANAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,03/29/2013,N/A,NDA,"720 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55154-1426-8)","P-Glycoprotein Inhibitors [MoA], Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
