Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
FARXIGA,0310-6205-90,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6205,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,03/18/2024,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0310-6205-90)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,0310-6205-30,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6205,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,02/02/2015,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0310-6205-30)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,0310-6205-95,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6205,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,02/02/2015,12/31/2027,NDA,"1 BLISTER PACK in 1 CARTON (0310-6205-95) / 7 TABLET, FILM COATED in 1 BLISTER PACK","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,Yes,12/31/2027
FARXIGA,0310-6210-30,10 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6210,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,01/05/2015,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0310-6210-30)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,0310-6210-39,10 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6210,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,12/02/2022,N/A,NDA,"3 BLISTER PACK in 1 CARTON (0310-6210-39) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,0310-6210-90,10 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6210,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,03/18/2024,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0310-6210-90)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,0310-6210-95,10 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,AstraZeneca Pharmaceuticals LP,0310-6210,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,01/05/2015,06/30/2028,NDA,"1 BLISTER PACK in 1 CARTON (0310-6210-95) / 7 TABLET, FILM COATED in 1 BLISTER PACK","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,Yes,12/31/2027
FARXIGA,50090-3481-0,10 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,A-S Medication Solutions,50090-3481,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,06/15/2018,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50090-3481-0)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,50090-3482-0,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,A-S Medication Solutions,50090-3482,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,06/15/2018,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50090-3482-0)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
FARXIGA,70518-4614-0,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202293,REMEDYREPACK INC.,70518-4614,DAPAGLIFLOZIN,DAPAGLIFLOZIN PROPANEDIOL,HUMAN PRESCRIPTION DRUG,04/23/2026,N/A,NDA,"50 POUCH in 1 BOX (70518-4614-0) / 1 TABLET, FILM COATED in 1 POUCH (70518-4614-1)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
