Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Jardiance,0597-0152-90,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0152,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (0597-0152-90)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
Jardiance,0597-0152-07,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0152,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"1 BOTTLE in 1 CARTON (0597-0152-07) / 7 TABLET, FILM COATED in 1 BOTTLE","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,Yes,12/31/2027
Jardiance,0597-0152-30,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0152,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0597-0152-30)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
Jardiance,0597-0152-37,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0152,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"30 BLISTER PACK in 1 CARTON (0597-0152-37) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
Jardiance,0597-0153-07,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0153,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"1 BOTTLE in 1 CARTON (0597-0153-07) / 7 TABLET, FILM COATED in 1 BOTTLE","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,Yes,12/31/2027
Jardiance,0597-0153-30,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0153,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0597-0153-30)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
Jardiance,0597-0153-90,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0153,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (0597-0153-90)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
Jardiance,0597-0153-37,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,"Boehringer Ingelheim Pharmaceuticals, Inc.",0597-0153,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/01/2014,N/A,NDA,"30 BLISTER PACK in 1 CARTON (0597-0153-37) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2027
Jardiance,50090-4384-0,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,A-S Medication Solutions,50090-4384,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,06/25/2019,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-4384-0)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
Jardiance,50090-4384-1,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,A-S Medication Solutions,50090-4384,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/06/2023,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (50090-4384-1)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
JARDIANCE,50090-4492-0,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,A-S Medication Solutions,50090-4492,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,08/29/2019,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-4492-0)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
JARDIANCE,50090-4492-1,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,A-S Medication Solutions,50090-4492,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,07/18/2023,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (50090-4492-1)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
JARDIANCE,50090-6452-0,10 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,A-S Medication Solutions,50090-6452,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,04/27/2023,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-6452-0)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
JARDIANCE,50090-6457-0,25 mg/1,"TABLET, FILM COATED",ORAL,NDA204629,A-S Medication Solutions,50090-6457,Empagliflozin,EMPAGLIFLOZIN,HUMAN PRESCRIPTION DRUG,05/01/2023,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (50090-6457-0)","Sodium-Glucose Cotransporter 2 Inhibitor [EPC], Sodium-Glucose Transporter 2 Inhibitors [MoA]",N/A,No,12/31/2026
