Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
SEGLUROMET,0006-5369-03,"2.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5369,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0006-5369-03)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5369-06,"2.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5369,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (0006-5369-06)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5369-07,"2.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5369,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (0006-5369-07)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5370-03,"7.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5370,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0006-5370-03)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5370-06,"7.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5370,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (0006-5370-06)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5370-07,"7.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5370,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (0006-5370-07)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5373-09,"2.5 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5373,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"2 BOTTLE in 1 CARTON (0006-5373-09) / 14 TABLET, FILM COATED in 1 BOTTLE (0006-5373-08)","Biguanide [EPC], Biguanides [CS]",N/A,Yes,12/31/2027
SEGLUROMET,0006-5373-03,"2.5 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5373,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0006-5373-03)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5373-06,"2.5 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5373,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (0006-5373-06)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
SEGLUROMET,0006-5373-07,"2.5 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA209806,Merck Sharp & Dohme LLC,0006-5373,ertugliflozin and metformin hydrochloride,ERTUGLIFLOZIN PIDOLATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2017,N/A,NDA,"500 TABLET, FILM COATED in 1 BOTTLE (0006-5373-07)","Biguanide [EPC], Biguanides [CS]",N/A,No,12/31/2027
