Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Glyburide,0093-8035-05,3 mg/1,TABLET,ORAL,ANDA074686,"Teva Pharmaceuticals USA, Inc.",0093-8035,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,05/11/1999,01/31/2027,ANDA,500 TABLET in 1 BOTTLE (0093-8035-05),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,N/A
Glyburide,0093-8035-01,3 mg/1,TABLET,ORAL,ANDA074686,"Teva Pharmaceuticals USA, Inc.",0093-8035,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,05/11/1999,01/31/2027,ANDA,100 TABLET in 1 BOTTLE (0093-8035-01),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,N/A
Glyburide,0093-8036-01,6 mg/1,TABLET,ORAL,ANDA074686,"Teva Pharmaceuticals USA, Inc.",0093-8036,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,05/12/1999,01/31/2027,ANDA,100 TABLET in 1 BOTTLE (0093-8036-01),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,N/A
Glyburide,0093-8342-01,1.25 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8342,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,08/30/1995,N/A,ANDA,100 TABLET in 1 BOTTLE (0093-8342-01),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glyburide,0093-8343-98,2.5 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8343,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,03/30/2010,N/A,ANDA,90 TABLET in 1 BOTTLE (0093-8343-98),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glyburide,0093-8343-01,2.5 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8343,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,08/30/1995,N/A,ANDA,100 TABLET in 1 BOTTLE (0093-8343-01),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glyburide,0093-8343-10,2.5 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8343,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,08/30/1995,N/A,ANDA,1000 TABLET in 1 BOTTLE (0093-8343-10),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glyburide,0093-8343-05,2.5 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8343,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,08/30/1995,N/A,ANDA,500 TABLET in 1 BOTTLE (0093-8343-05),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glyburide,0093-8344-10,5 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8344,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,08/30/1995,N/A,ANDA,1000 TABLET in 1 BOTTLE (0093-8344-10),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glyburide,0093-8344-05,5 mg/1,TABLET,ORAL,ANDA074388,"Teva Pharmaceuticals USA, Inc.",0093-8344,Glyburide,GLYBURIDE,HUMAN PRESCRIPTION DRUG,08/30/1995,N/A,ANDA,500 TABLET in 1 BOTTLE (0093-8344-05),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
