Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Miglitol,69367-303-01,25 mg/1,"TABLET, COATED",ORAL,ANDA203965,"Westminster Pharmaceuticals, LLC",69367-303,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,01/15/2021,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (69367-303-01)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,69367-304-01,50 mg/1,"TABLET, COATED",ORAL,ANDA203965,"Westminster Pharmaceuticals, LLC",69367-304,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,01/15/2021,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (69367-304-01)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,69367-305-01,100 mg/1,"TABLET, COATED",ORAL,ANDA203965,"Westminster Pharmaceuticals, LLC",69367-305,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,01/15/2021,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (69367-305-01)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-935-00,25 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-935,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (71205-935-00)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-935-90,25 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-935,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"90 TABLET, COATED in 1 BOTTLE (71205-935-90)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-935-30,25 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-935,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"30 TABLET, COATED in 1 BOTTLE (71205-935-30)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-935-60,25 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-935,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"60 TABLET, COATED in 1 BOTTLE (71205-935-60)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-936-90,50 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-936,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"90 TABLET, COATED in 1 BOTTLE (71205-936-90)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-936-00,50 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-936,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (71205-936-00)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-936-30,50 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-936,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"30 TABLET, COATED in 1 BOTTLE (71205-936-30)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-936-60,50 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-936,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"60 TABLET, COATED in 1 BOTTLE (71205-936-60)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-937-00,100 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-937,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"100 TABLET, COATED in 1 BOTTLE (71205-937-00)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-937-60,100 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-937,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"60 TABLET, COATED in 1 BOTTLE (71205-937-60)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-937-30,100 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-937,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"30 TABLET, COATED in 1 BOTTLE (71205-937-30)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
Miglitol,71205-937-90,100 mg/1,"TABLET, COATED",ORAL,ANDA203965,Proficient Rx LP,71205-937,Miglitol,MIGLITOL,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,"90 TABLET, COATED in 1 BOTTLE (71205-937-90)","alpha Glucosidase Inhibitors [MoA], alpha-Glucosidase Inhibitor [EPC]",N/A,No,12/31/2026
