Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Repaglinide,33342-248-44,.5 mg/1,TABLET,ORAL,ANDA207209,Macleods Pharmaceuticals Limited,33342-248,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,03/22/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (33342-248-44),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,33342-248-11,.5 mg/1,TABLET,ORAL,ANDA207209,Macleods Pharmaceuticals Limited,33342-248,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,03/22/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (33342-248-11),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,33342-249-11,1 mg/1,TABLET,ORAL,ANDA207209,Macleods Pharmaceuticals Limited,33342-249,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,03/22/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (33342-249-11),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,33342-249-44,1 mg/1,TABLET,ORAL,ANDA207209,Macleods Pharmaceuticals Limited,33342-249,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,03/22/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (33342-249-44),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,33342-250-44,2 mg/1,TABLET,ORAL,ANDA207209,Macleods Pharmaceuticals Limited,33342-250,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,03/22/2023,N/A,ANDA,1000 TABLET in 1 BOTTLE (33342-250-44),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,33342-250-11,2 mg/1,TABLET,ORAL,ANDA207209,Macleods Pharmaceuticals Limited,33342-250,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,03/22/2023,N/A,ANDA,100 TABLET in 1 BOTTLE (33342-250-11),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,57237-157-05,.5 mg/1,TABLET,ORAL,ANDA203820,"Rising Pharma Holdings, Inc.",57237-157,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (57237-157-05),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,57237-157-01,.5 mg/1,TABLET,ORAL,ANDA203820,"Rising Pharma Holdings, Inc.",57237-157,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (57237-157-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,57237-158-01,1 mg/1,TABLET,ORAL,ANDA203820,"Rising Pharma Holdings, Inc.",57237-158,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (57237-158-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,57237-158-05,1 mg/1,TABLET,ORAL,ANDA203820,"Rising Pharma Holdings, Inc.",57237-158,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (57237-158-05),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,57237-159-01,2 mg/1,TABLET,ORAL,ANDA203820,"Rising Pharma Holdings, Inc.",57237-159,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (57237-159-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,57237-159-05,2 mg/1,TABLET,ORAL,ANDA203820,"Rising Pharma Holdings, Inc.",57237-159,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (57237-159-05),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,60687-560-21,1 mg/1,TABLET,ORAL,ANDA203820,American Health Packaging,60687-560,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,09/17/2020,N/A,ANDA,"30 BLISTER PACK in 1 BOX, UNIT-DOSE (60687-560-21) / 1 TABLET in 1 BLISTER PACK (60687-560-11)","Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,62135-946-90,.5 mg/1,TABLET,ORAL,ANDA078555,"Chartwell RX, LLC",62135-946,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,04/24/2025,N/A,ANDA,90 TABLET in 1 BOTTLE (62135-946-90),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,62135-947-90,1 mg/1,TABLET,ORAL,ANDA078555,"Chartwell RX, LLC",62135-947,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,04/24/2025,N/A,ANDA,90 TABLET in 1 BOTTLE (62135-947-90),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,62135-948-90,2 mg/1,TABLET,ORAL,ANDA078555,"Chartwell RX, LLC",62135-948,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,04/24/2025,N/A,ANDA,90 TABLET in 1 BOTTLE (62135-948-90),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,63629-4866-1,.5 mg/1,TABLET,ORAL,ANDA203820,Bryant Ranch Prepack,63629-4866,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/16/2025,N/A,ANDA,30 TABLET in 1 BOTTLE (63629-4866-1),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,63629-4866-2,.5 mg/1,TABLET,ORAL,ANDA203820,Bryant Ranch Prepack,63629-4866,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/16/2025,N/A,ANDA,90 TABLET in 1 BOTTLE (63629-4866-2),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-670-05,.5 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-670,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (65862-670-05),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-670-99,.5 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-670,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,1000 TABLET in 1 BOTTLE (65862-670-99),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-670-01,.5 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-670,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (65862-670-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-671-05,1 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-671,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (65862-671-05),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-671-99,1 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-671,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,1000 TABLET in 1 BOTTLE (65862-671-99),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-671-01,1 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-671,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (65862-671-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-672-01,2 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-672,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (65862-672-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-672-05,2 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-672,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (65862-672-05),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,65862-672-99,2 mg/1,TABLET,ORAL,ANDA203820,Aurobindo Pharma Limited,65862-672,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/22/2014,N/A,ANDA,1000 TABLET in 1 BOTTLE (65862-672-99),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,71335-2554-1,.5 mg/1,TABLET,ORAL,ANDA207209,Bryant Ranch Prepack,71335-2554,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/23/2025,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-2554-1),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,71335-2554-2,.5 mg/1,TABLET,ORAL,ANDA207209,Bryant Ranch Prepack,71335-2554,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,01/23/2025,N/A,ANDA,90 TABLET in 1 BOTTLE (71335-2554-2),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,71335-2598-1,2 mg/1,TABLET,ORAL,ANDA207209,Bryant Ranch Prepack,71335-2598,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,06/05/2025,N/A,ANDA,30 TABLET in 1 BOTTLE (71335-2598-1),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,72162-2558-1,1 mg/1,TABLET,ORAL,ANDA203820,Bryant Ranch Prepack,72162-2558,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,11/04/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (72162-2558-1),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,72603-810-01,.5 mg/1,TABLET,ORAL,ANDA207209,NorthStar RxLLC,72603-810,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,04/08/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (72603-810-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,72603-811-01,1 mg/1,TABLET,ORAL,ANDA207209,NorthStar RxLLC,72603-811,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,04/08/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (72603-811-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
Repaglinide,72603-812-01,2 mg/1,TABLET,ORAL,ANDA207209,NorthStar RxLLC,72603-812,Repaglinide,REPAGLINIDE,HUMAN PRESCRIPTION DRUG,04/08/2025,N/A,ANDA,100 TABLET in 1 BOTTLE (72603-812-01),"Glinide [EPC], Potassium Channel Antagonists [MoA]",N/A,No,12/31/2026
