Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Rolaids,84126-347-32,1000 mg/1,"TABLET, CHEWABLE",ORAL,M001,The Procter & Gamble Manufacturing Company,84126-347,Calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/04/2025,N/A,OTC MONOGRAPH DRUG,"32 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (84126-347-32)","Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
Rolaids,84126-348-32,1000 mg/1,"TABLET, CHEWABLE",ORAL,M001,The Procter & Gamble Manufacturing Company,84126-348,Calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/04/2025,N/A,OTC MONOGRAPH DRUG,"32 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (84126-348-32)","Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
Rolaids,84126-367-25,20 mg/1,TABLET,ORAL,ANDA077351,The Procter & Gamble Manufacturing Company,84126-367,Famotitine,FAMOTIDINE,HUMAN OTC DRUG,09/01/2025,N/A,ANDA,"1 BOTTLE, PLASTIC in 1 CARTON (84126-367-25) / 25 TABLET in 1 BOTTLE, PLASTIC","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Rolaids,84126-373-50,"1250 mg/1, 250 mg/1","TABLET, CHEWABLE",ORAL,M001,THE PROCTER & GAMBLE MANUFACTURING COMPANY,84126-373,"Calcium carbonate, Magnesium hydroxide",CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/03/2026,N/A,OTC MONOGRAPH DRUG,"50 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (84126-373-50)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
Rolaids,84126-373-01,"1250 mg/1, 250 mg/1","TABLET, CHEWABLE",ORAL,M001,THE PROCTER & GAMBLE MANUFACTURING COMPANY,84126-373,"Calcium carbonate, Magnesium hydroxide",CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/03/2026,N/A,OTC MONOGRAPH DRUG,"8 TABLET, CHEWABLE in 1 PACKAGE (84126-373-01)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
Rolaids,84126-373-03,"1250 mg/1, 250 mg/1","TABLET, CHEWABLE",ORAL,M001,THE PROCTER & GAMBLE MANUFACTURING COMPANY,84126-373,"Calcium carbonate, Magnesium hydroxide",CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/03/2026,N/A,OTC MONOGRAPH DRUG,"3 PACKAGE in 1 CELLO PACK (84126-373-03) / 8 TABLET, CHEWABLE in 1 PACKAGE (84126-373-01)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
Rolaids,84126-373-53,"1250 mg/1, 250 mg/1","TABLET, CHEWABLE",ORAL,M001,THE PROCTER & GAMBLE MANUFACTURING COMPANY,84126-373,"Calcium carbonate, Magnesium hydroxide",CALCIUM CARBONATE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/28/2026,N/A,OTC MONOGRAPH DRUG,"3 BOTTLE, PLASTIC in 1 CELLO PACK (84126-373-53) / 50 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (84126-373-50)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
Rolaids Advanced Antacid Anti-gas Mixed Berry,41167-1040-1,"1000 mg/1, 200 mg/1, 40 mg/1","TABLET, CHEWABLE",ORAL,M001,"Chattem, Inc.",41167-1040,Calcium carbonate and Magnesium hydroxide and Simethicone,CALCIUM CARBONATE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,02/02/2015,N/A,OTC MONOGRAPH DRUG,"60 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (41167-1040-1)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Rolaids Advanced Antacid Anti-gas Wild Berry,41167-1041-0,"1000 mg/1, 200 mg/1, 40 mg/1","TABLET, CHEWABLE",ORAL,M001,"Chattem, Inc.",41167-1041,Calcium carbonate and Magnesium hydroxide and Simethicone,CALCIUM CARBONATE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,02/01/2023,N/A,OTC MONOGRAPH DRUG,"60 TABLET, CHEWABLE in 1 BOTTLE (41167-1041-0)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
Rolaids Advanced Antacid Anti-gas Wild Berry,41167-1041-1,"1000 mg/1, 200 mg/1, 40 mg/1","TABLET, CHEWABLE",ORAL,M001,"Chattem, Inc.",41167-1041,Calcium carbonate and Magnesium hydroxide and Simethicone,CALCIUM CARBONATE; DIMETHICONE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,02/01/2023,N/A,OTC MONOGRAPH DRUG,"10 TABLET, CHEWABLE in 1 CELLO PACK (41167-1041-1)","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Skin Barrier Activity [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
