Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
TUMS,0135-0070-03,500 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0070,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/10/2010,N/A,OTC MONOGRAPH DRUG,3 PACKAGE in 1 CELLO PACK (0135-0070-03) / 12 TABLET in 1 PACKAGE,"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0070-27,500 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0070,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/10/2010,N/A,OTC MONOGRAPH DRUG,150 TABLET in 1 BOTTLE (0135-0070-27),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0070-48,500 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0070,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/10/2010,N/A,OTC MONOGRAPH DRUG,12 TABLET in 1 PACKAGE (0135-0070-48),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0071-48,500 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0071,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/10/2010,N/A,OTC MONOGRAPH DRUG,12 TABLET in 1 PACKAGE (0135-0071-48),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0071-27,500 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0071,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,03/10/2010,N/A,OTC MONOGRAPH DRUG,150 TABLET in 1 BOTTLE (0135-0071-27),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0074-07,750 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0074,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,01/18/2010,N/A,OTC MONOGRAPH DRUG,330 TABLET in 1 BOTTLE (0135-0074-07),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0074-09,750 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0074,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,06/10/2024,N/A,OTC MONOGRAPH DRUG,170 TABLET in 1 BOTTLE (0135-0074-09),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0074-47,750 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0074,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,10/15/2017,N/A,OTC MONOGRAPH DRUG,3 BOTTLE in 1 PACKAGE (0135-0074-47) / 96 TABLET in 1 BOTTLE,"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0074-46,750 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0074,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,01/18/2010,N/A,OTC MONOGRAPH DRUG,8 TABLET in 1 PACKAGE (0135-0074-46),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
TUMS,0135-0074-22,750 mg/1,TABLET,ORAL,M001,Haleon US Holdings LLC,0135-0074,calcium carbonate,CALCIUM CARBONATE,HUMAN OTC DRUG,01/18/2010,N/A,OTC MONOGRAPH DRUG,48 TABLET in 1 BOTTLE (0135-0074-22),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
