Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
AM-10,58264-0349-1,"12 [hp_X]/mL, 8 [hp_X]/mL, 10 [hp_X]/mL",SOLUTION,SUBLINGUAL,,"DNA Labs, Inc.",58264-0349,"Nerium oleander leaf, Tribasic calcium phosphate, and Carbo animalis",CARBO ANIMALIS; NERIUM OLEANDER LEAF; TRIBASIC CALCIUM PHOSPHATE,HUMAN OTC DRUG,01/01/1990,N/A,UNAPPROVED HOMEOPATHIC,"29.57 mL in 1 BOTTLE, GLASS (58264-0349-1)",N/A,N/A,No,12/31/2026
Baby Nighttime Oral Pain Relief,54973-3324-1,"12 [hp_X]/g, 12 [hp_X]/g, 12 [hp_X]/g, 12 [hp_X]/g, 30 [hp_X]/g, 12 [hp_X]/g, 6 [hp_X]/g, 12 [hp_X]/g",TABLET,ORAL,,Hyland' Inc.,54973-3324,"Arnica Montana, Tribasic Calcium Phosphate, Matricaria Chamomilla, Silicon Dioxide, Magnesium Phosphate, Dibasic Trihydrate, Ferrosoferric Phosphate, Arabica Coffee Bean and Oyster Shell Calcium Carbonate, Crude","ARABICA COFFEE BEAN; ARNICA MONTANA; FERROSOFERRIC PHOSPHATE; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; MATRICARIA CHAMOMILLA; OYSTER SHELL CALCIUM CARBONATE, CRUDE; SILICON DIOXIDE; TRIBASIC CALCIUM PHOSPHATE",HUMAN OTC DRUG,08/17/2017,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, PLASTIC in 1 CARTON (54973-3324-1) / 1 g in 1 BOTTLE, PLASTIC","Allergens [CS], Calculi Dissolution Agent [EPC], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Osmotic Activity [MoA], Osmotic Laxative [EPC], Plant Proteins [CS], Seed Storage Proteins [CS], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Baby Oral Pain Relief,54973-3315-1,"12 [hp_X]/g, 12 [hp_X]/g, 6 [hp_X]/g, 30 [hp_X]/g, 12 [hp_X]/g, 12 [hp_X]/g",TABLET,ORAL,,Hyland' Inc.,54973-3315,"oyster shell calcium carbonate, crude, tribasic calcium phosphate, arabica coffee bean, arnica montana, ferrum phosphoricum and matricaria chamomilla","ARABICA COFFEE BEAN; ARNICA MONTANA; FERRUM PHOSPHORICUM; MATRICARIA CHAMOMILLA; OYSTER SHELL CALCIUM CARBONATE, CRUDE; TRIBASIC CALCIUM PHOSPHATE",HUMAN OTC DRUG,08/17/2017,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, PLASTIC in 1 CARTON (54973-3315-1) / 125 g in 1 BOTTLE, PLASTIC","Allergens [CS], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Plant Proteins [CS], Seed Storage Proteins [CS]",N/A,No,12/31/2026
Baby Oral Pain Relief,54973-3315-7,"12 [hp_X]/g, 12 [hp_X]/g, 6 [hp_X]/g, 30 [hp_X]/g, 12 [hp_X]/g, 12 [hp_X]/g",TABLET,ORAL,,Hyland' Inc.,54973-3315,"oyster shell calcium carbonate, crude, tribasic calcium phosphate, arabica coffee bean, arnica montana, ferrum phosphoricum and matricaria chamomilla","ARABICA COFFEE BEAN; ARNICA MONTANA; FERRUM PHOSPHORICUM; MATRICARIA CHAMOMILLA; OYSTER SHELL CALCIUM CARBONATE, CRUDE; TRIBASIC CALCIUM PHOSPHATE",HUMAN OTC DRUG,08/17/2017,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, PLASTIC in 1 CARTON (54973-3315-7) / 80 g in 1 BOTTLE, PLASTIC","Allergens [CS], Cell-mediated Immunity [PE], Dietary Proteins [CS], Increased Histamine Release [PE], Non-Standardized Food Allergenic Extract [EPC], Non-Standardized Plant Allergenic Extract [EPC], Plant Proteins [CS], Seed Storage Proteins [CS]",N/A,No,12/31/2026
BHI Migraine,62795-1019-3,"6 [hp_X]/1, 8 [hp_X]/1, 6 [hp_X]/1, 30 [hp_X]/1, 10 [hp_X]/1, 10 [hp_X]/1, 4 [hp_X]/1, 4 [hp_X]/1, 10 [hp_X]/1, 8 [hp_X]/1, 6 [hp_X]/1, 6 [hp_X]/1, 6 [hp_X]/1, 4 [hp_X]/1, 6 [hp_X]/1, 10 [hp_X]/1, 8 [hp_X]/1",TABLET,ORAL,,MediNatura Inc,62795-1019,"ACETIC ACID, ARANEUS DIADEMATUS, ASAFETIDA, BRYONIA ALBA WHOLE, TRIBASIC CALCIUM PHOSPHATE, ACTIVATED CHARCOAL, CINCHONA OFFICINALIS BARK, MARSDENIA CONDURANGO BARK, TUBOCURARINE CHLORIDE, KALMIA LATIFOLIA LEAF, LYCOPODIUM CLAVATUM SPORE, SODIUM SULFATE, PHOSPHORIC ACID, PULSATILLA VULGARIS, CLAVICEPS PURPUREA SCLEROTIUM, and SILICON DIOXIDE",ACETIC ACID; ACTIVATED CHARCOAL; ARANEUS DIADEMATUS; ASAFETIDA; BRYONIA ALBA WHOLE; CINCHONA OFFICINALIS BARK; CLAVICEPS PURPUREA SCLEROTIUM; KALMIA LATIFOLIA LEAF; LYCOPODIUM CLAVATUM SPORE; MARSDENIA CONDURANGO BARK; PHOSPHORIC ACID; PULSATILLA VULGARIS; SILICON DIOXIDE; SODIUM SULFATE; STRYCHNINE NITRATE; TRIBASIC CALCIUM PHOSPHATE; TUBOCURARINE CHLORIDE,HUMAN OTC DRUG,01/01/2015,N/A,UNAPPROVED HOMEOPATHIC,1 BOTTLE in 1 CARTON (62795-1019-3) / 100 TABLET in 1 BOTTLE,"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2026
Bioplasma,54973-4086-1,"6 [hp_X]/1, 3 [hp_X]/1, 3 [hp_X]/1, 3 [hp_X]/1, 3 [hp_X]/1, 3 [hp_X]/1, 3 [hp_X]/1, 3 [hp_X]/1, 6 [hp_X]/1, 3 [hp_X]/1, 6 [hp_X]/1, 3 [hp_X]/1","TABLET, SOLUBLE",ORAL,,Hyland's Inc.,54973-4086,"SILICON DIOXIDE,POTASSIUM CHLORIDE,SODIUM SULFATE,FERROSOFERRIC PHOSPHATE,MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE,SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE,TRIBASIC CALCIUM PHOSPHATE,POTASSIUM PHOSPHATE, DIBASIC,POTASSIUM SULFATE,SODIUM CHLORIDE,CALCIUM SULFATE ANHYDROUS,CALCIUM FLUORIDE","SILICON DIOXIDE; TRIBASIC CALCIUM PHOSPHATE; FERROSOFERRIC PHOSPHATE; MAGNESIUM PHOSPHATE, DIBASIC TRIHYDRATE; SODIUM PHOSPHATE, DIBASIC, HEPTAHYDRATE; POTASSIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; POTASSIUM SULFATE; SODIUM CHLORIDE; CALCIUM SULFATE ANHYDROUS; CALCIUM FLUORIDE; SODIUM SULFATE",HUMAN OTC DRUG,12/06/2021,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, PLASTIC in 1 CARTON (54973-4086-1) / 100 TABLET, SOLUBLE in 1 BOTTLE, PLASTIC","Blood Coagulation Factor [EPC], Calcium [CS], Calculi Dissolution Agent [EPC], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA], Potassium Compounds [CS], Potassium Salt [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
BIS II Tooth,69653-200-01,".04 g/100g, .1 g/100g, .04 g/100g, .04 g/100g","PASTE, DENTIFRICE",DENTAL,,"Jewoo Medical CO.,LTD",69653-200,"Precipitated Calcium Carbonate, Tocopherol Acetate, Aluminium Chlorohydroxy Allantoinate, Dibasic Calcium Phosphate Hydrate",.ALPHA.-TOCOPHEROL ACETATE; ALCLOXA; CALCIUM CARBONATE; DIBASIC CALCIUM PHOSPHATE DIHYDRATE,HUMAN OTC DRUG,01/01/2026,N/A,UNAPPROVED DRUG OTHER,20 g in 1 TUBE (69653-200-01),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2027
BIS II Tooth,69653-201-01,".04 g/100g, .1 g/100g, .04 g/100g, .04 g/100g","PASTE, DENTIFRICE",DENTAL,,"Jewoo Medical CO.,LTD",69653-201,"Precipitated Calcium Carbonate, Tocopherol Acetate, Aluminium Chlorohydroxy Allantoinate, Dibasic Calcium Phosphate Hydrate",.ALPHA.-TOCOPHEROL ACETATE; ALCLOXA; CALCIUM CARBONATE; DIBASIC CALCIUM PHOSPHATE DIHYDRATE,HUMAN OTC DRUG,01/01/2026,N/A,UNAPPROVED DRUG OTHER,100 g in 1 TUBE (69653-201-01),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2027
BIS II Tooth,69653-202-01,".04 g/100g, .1 g/100g, .04 g/100g, .04 g/100g","PASTE, DENTIFRICE",DENTAL,,"Jewoo Medical CO.,LTD",69653-202,"Precipitated Calcium Carbonate, Tocopherol Acetate, Aluminium Chlorohydroxy Allantoinate, Dibasic Calcium Phosphate Hydrate",.ALPHA.-TOCOPHEROL ACETATE; ALCLOXA; CALCIUM CARBONATE; DIBASIC CALCIUM PHOSPHATE DIHYDRATE,HUMAN OTC DRUG,01/01/2026,N/A,UNAPPROVED DRUG OTHER,135 g in 1 TUBE (69653-202-01),"Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Phosphate Binder [EPC], Phosphate Chelating Activity [MoA]",N/A,No,12/31/2027
BOLYM-EX Drops,59469-201-10,"5 [hp_X]/50mL, 5 [hp_X]/50mL, 24 [hp_X]/50mL, 5 [hp_X]/50mL, 4 [hp_X]/50mL, 5 [hp_X]/50mL, 8 [hp_X]/50mL, 5 [hp_X]/50mL, 5 [hp_X]/50mL, 8 [hp_X]/50mL, 10 [hp_X]/50mL",LIQUID,ORAL,,PEKANA Naturheilmittel GmbH,59469-201,"Benzoic Acid, Formic Acid, Aristolochia Clematitis Root, FERULA ASSA-FOETIDA RESIN, Avena Sativa Flowering Top, Berberis Vulgaris Root Bark, CALCIUM PHOSPHATE, UNSPECIFIED FORM, Capsella bursa-pastoris, Galium aparine, Daphne Mezereum Bark, and Piper Methysticum Root","ARISTOLOCHIA CLEMATITIS ROOT; AVENA SATIVA FLOWERING TOP; BENZOIC ACID; BERBERIS VULGARIS ROOT BARK; CALCIUM PHOSPHATE, UNSPECIFIED FORM; CAPSELLA BURSA-PASTORIS WHOLE; DAPHNE MEZEREUM BARK; FERULA ASSA-FOETIDA RESIN; FORMIC ACID; GALIUM APARINE WHOLE; MACROPIPER METHYSTICUM ROOT",HUMAN OTC DRUG,06/01/2015,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, DROPPER in 1 CARTON (59469-201-10) / 50 mL in 1 BOTTLE, DROPPER","Ammonium Ion Binding Activity [MoA], Blood Coagulation Factor [EPC], Calcium [CS], Cations, Divalent [CS], Increased Coagulation Factor Activity [PE], Nitrogen Binding Agent [EPC]",N/A,No,12/31/2026
