Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Acid Gone Antacid,0904-5365-60,"160 mg/1, 105 mg/1","TABLET, CHEWABLE",ORAL,M001,Major Pharmaceuticals,0904-5365,aluminum hydroxide and magnesium carbonate,ALUMINUM HYDROXIDE; MAGNESIUM CARBONATE,HUMAN OTC DRUG,06/06/2014,N/A,OTC MONOGRAPH DRUG,"100 TABLET, CHEWABLE in 1 BOTTLE (0904-5365-60)",N/A,N/A,No,12/31/2026
ACID GONE ANTACID,0904-7727-14,"95 mg/15mL, 358 mg/15mL",LIQUID,ORAL,M001,Major Pharmaceuticals,0904-7727,aluminum hydroxide and magnesium carbonate,ALUMINUM HYDROXIDE; MAGNESIUM CARBONATE,HUMAN OTC DRUG,03/01/2017,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (0904-7727-14),N/A,N/A,No,12/31/2027
Aluminum hydroxide and Magnesium carbonate,76457-001-00,"160 mg/1, 105 mg/1","TABLET, CHEWABLE",ORAL,M001,Simpex Pharma Pvt. Ltd,76457-001,"ALUMINUM HYDROXIDE, MAGNESIUM CARBONATE",ALUMINUM HYDROXIDE; MAGNESIUM CARBONATE,HUMAN OTC DRUG,02/09/2018,N/A,OTC MONOGRAPH DRUG,"1 BOTTLE in 1 CARTON (76457-001-00) / 100 TABLET, CHEWABLE in 1 BOTTLE",N/A,N/A,No,12/31/2026
apo-STRUM,59469-323-10,"8 [hp_X]/50mL, 6 [hp_X]/50mL, 4 [hp_X]/50mL, 3 [hp_X]/50mL, 8 [hp_X]/50mL, 6 [hp_X]/50mL, 4 [hp_X]/50mL, 584 mg/50mL",SOLUTION/ DROPS,ORAL,,PEKANA Naturheilmittel GmbH,59469-323,"CALCIUM FLUORIDE, Conium maculatum Flowering Top, LOPHOPHYTUM LEANDRII, Hedera helix Flowering Twig, MAGNESIUM CARBONATE, Cytisus scoparius Flowering Top, SELENICEREUS GRANDIFLORUS WHOLE, and GALIUM APARINE",CALCIUM FLUORIDE; CONIUM MACULATUM FLOWERING TOP; CYTISUS SCOPARIUS FLOWERING TOP; GALIUM APARINE WHOLE; HEDERA HELIX FLOWERING TWIG; LOPHOPHYTUM LEANDRII; MAGNESIUM CARBONATE; SELENICEREUS GRANDIFLORUS WHOLE,HUMAN OTC DRUG,06/24/2019,N/A,UNAPPROVED HOMEOPATHIC,"1 BOTTLE, GLASS in 1 BOX (59469-323-10) / 50 mL in 1 BOTTLE, GLASS","Allergens [CS], Cell-mediated Immunity [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Non-Standardized Plant Allergenic Extract [EPC], Plant Proteins [CS]",N/A,No,12/31/2026
Bem Bio Antiperspirant floral,80661-004-01,"10 g/100g, 10 g/100g","AEROSOL, SPRAY",TOPICAL,,Aeroflex Industria de Aerosol Ltda,80661-004,"Magnesium Hydroxide,Magnesium Carbonate Hydroxide",MAGNESIUM CARBONATE HYDROXIDE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2022,N/A,UNAPPROVED DRUG OTHER,102 g in 1 CAN (80661-004-01),"Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Bem Bio Antiperspirant forest trails,80661-007-01,"10 g/100g, 10 g/100g","AEROSOL, SPRAY",TOPICAL,,Aeroflex Industria de Aerosol Ltda,80661-007,"Magnesium Hydroxide,Magnesium Carbonate Hydroxide",MAGNESIUM CARBONATE HYDROXIDE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2022,N/A,UNAPPROVED DRUG OTHER,102 g in 1 CAN (80661-007-01),"Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Bem Bio Antiperspirant original,80661-005-01,"10 g/100g, 10 g/100g","AEROSOL, SPRAY",TOPICAL,,Aeroflex Industria de Aerosol Ltda,80661-005,"Magnesium Hydroxide,Magnesium Carbonate Hydroxide",MAGNESIUM CARBONATE HYDROXIDE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2022,N/A,UNAPPROVED DRUG OTHER,102 g in 1 CAN (80661-005-01),"Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Bem Bio Antiperspirant sea breeze,80661-003-01,"10 g/100g, 10 g/100g","AEROSOL, SPRAY",TOPICAL,,Aeroflex Industria de Aerosol Ltda,80661-003,"Magnesium Hydroxide,Magnesium Carbonate Hydroxide",MAGNESIUM CARBONATE HYDROXIDE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2022,N/A,UNAPPROVED DRUG OTHER,102 g in 1 CAN (80661-003-01),"Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Bem Bio Antiperspirant unscented,80661-006-01,"10 g/100g, 10 g/100g","AEROSOL, SPRAY",TOPICAL,,Aeroflex Industria de Aerosol Ltda,80661-006,"Magnesium Hydroxide,Magnesium Carbonate Hydroxide",MAGNESIUM CARBONATE HYDROXIDE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2022,N/A,UNAPPROVED DRUG OTHER,102 g in 1 CAN (80661-006-01),"Calculi Dissolution Agent [EPC], Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
CVS Health Extra Strength,69842-376-12,"254 mg/5mL, 237.5 mg/5mL",LIQUID,ORAL,M001,CVS PHARMACY,69842-376,aluminum hydroxide and magnesium carbonate,ALUMINUM HYDROXIDE; MAGNESIUM CARBONATE,HUMAN OTC DRUG,05/15/2019,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (69842-376-12),N/A,N/A,No,12/31/2027
