Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
CareOne Milk of Magnesia Cherry,72476-665-05,1200 mg/15mL,LIQUID,ORAL,M007,"Retail Business Services, LLC.",72476-665,Magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,04/22/2022,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (72476-665-05),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Careone Milk of magnesia Original,72476-661-05,1200 mg/15mL,LIQUID,ORAL,M007,"Retail Business Services, LLC.",72476-661,Magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,04/27/2022,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (72476-661-05),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Humco Milk of Magnesia,0395-1672-16,80 mg/mL,SUSPENSION,ORAL,M001,"Humco Holding Group, Inc.",0395-1672,Magnesium Hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/31/2019,N/A,OTC MONOGRAPH DRUG,"473 mL in 1 BOTTLE, PLASTIC (0395-1672-16)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Milk of Magnesia,0121-0431-30,2400 mg/30mL,SUSPENSION,ORAL,M007,"PAI Holdings, LLC dba PAI Pharma",0121-0431,Magnesium Hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,09/04/1979,N/A,OTC MONOGRAPH DRUG,"10 TRAY in 1 CASE (0121-0431-30) / 10 CUP, UNIT-DOSE in 1 TRAY / 30 mL in 1 CUP, UNIT-DOSE","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
MILK OF MAGNESIA,0363-0647-26,1200 mg/15mL,SUSPENSION,ORAL,M007,WALGREEN COMPANY,0363-0647,magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,12/01/2014,N/A,OTC MONOGRAPH DRUG,769 mL in 1 BOTTLE (0363-0647-26),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
MILK OF MAGNESIA,0363-0647-12,1200 mg/15mL,SUSPENSION,ORAL,M007,WALGREEN COMPANY,0363-0647,magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,12/01/2014,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (0363-0647-12),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
MILK OF MAGNESIA,0363-0649-26,1200 mg/15mL,SUSPENSION,ORAL,M007,WALGREEN COMPANY,0363-0649,magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/01/2017,N/A,OTC MONOGRAPH DRUG,769 mL in 1 BOTTLE (0363-0649-26),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
MILK OF MAGNESIA,0363-0649-12,1200 mg/15mL,SUSPENSION,ORAL,M007,WALGREEN COMPANY,0363-0649,magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/01/2017,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (0363-0649-12),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
MILK OF MAGNESIA,0536-1319-83,1200 mg/15mL,LIQUID,ORAL,M007,RUGBY LABORATORIES,0536-1319,magnesium hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,09/01/2020,N/A,OTC MONOGRAPH DRUG,355 mL in 1 BOTTLE (0536-1319-83),"Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2026
Milk of Magnesia,0904-7564-73,2400 mg/30mL,SUSPENSION,ORAL,M007,Major Pharmaceuticals,0904-7564,Magnesium Hydroxide,MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/08/2026,N/A,OTC MONOGRAPH DRUG,"10 TRAY in 1 CASE (0904-7564-73) / 10 CUP, UNIT-DOSE in 1 TRAY / 30 mL in 1 CUP, UNIT-DOSE (0904-7564-62)","Calculi Dissolution Agent [EPC], Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Inhibition Small Intestine Fluid/Electrolyte Absorption [PE], Magnesium Ion Exchange Activity [MoA], Osmotic Activity [MoA], Osmotic Laxative [EPC], Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]",N/A,No,12/31/2027
