Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Effer-K,51801-001-30,977.5 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-001,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-001-30) / 1 TABLET, EFFERVESCENT in 1 POUCH",N/A,N/A,No,12/31/2026
Effer-K,51801-001-40,977.5 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-001,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"100 POUCH in 1 CARTON (51801-001-40) / 1 TABLET, EFFERVESCENT in 1 POUCH",N/A,N/A,No,12/31/2026
Effer-K,51801-005-30,977.5 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-005,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-005-30) / 1 TABLET, EFFERVESCENT in 1 POUCH",N/A,N/A,No,12/31/2026
Effer-K,51801-006-30,977.5 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-006,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-006-30) / 1 TABLET, EFFERVESCENT in 1 POUCH",N/A,N/A,No,12/31/2026
Effer-K,51801-007-30,977.5 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-007,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-007-30) / 1 TABLET, EFFERVESCENT in 1 POUCH",N/A,N/A,No,12/31/2026
Effer-K,51801-011-30,782 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-011,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-011-30) / 1 TABLET, EFFERVESCENT in 1 POUCH","Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",N/A,No,12/31/2026
Effer-K,51801-012-30,782 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-012,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-012-30) / 1 TABLET, EFFERVESCENT in 1 POUCH","Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",N/A,No,12/31/2026
Effer-K,51801-013-30,391 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-013,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-013-30) / 1 TABLET, EFFERVESCENT in 1 POUCH","Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",N/A,No,12/31/2026
Effer-K,51801-014-30,391 mg/1,"TABLET, EFFERVESCENT",ORAL,,Nomax Inc.,51801-014,POTASSIUM BICARBONATE,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,01/30/2013,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (51801-014-30) / 1 TABLET, EFFERVESCENT in 1 POUCH","Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",N/A,No,12/31/2026
KLOR-Con/EF,0245-5326-01,978 mg/1,"TABLET, EFFERVESCENT",ORAL,,"Upsher-Smith Laboratories, Inc.",0245-5326,Potassium Bicarbonate,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,06/21/2019,N/A,UNAPPROVED DRUG OTHER,"100 POUCH in 1 CARTON (0245-5326-01) / 1 TABLET, EFFERVESCENT in 1 POUCH (0245-5326-89)","Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",N/A,No,12/31/2026
KLOR-Con/EF,0245-5326-30,978 mg/1,"TABLET, EFFERVESCENT",ORAL,,"Upsher-Smith Laboratories, Inc.",0245-5326,Potassium Bicarbonate,POTASSIUM BICARBONATE,HUMAN PRESCRIPTION DRUG,06/21/2019,N/A,UNAPPROVED DRUG OTHER,"30 POUCH in 1 CARTON (0245-5326-30) / 1 TABLET, EFFERVESCENT in 1 POUCH (0245-5326-89)","Increased Large Intestinal Motility [PE], Inhibition Large Intestine Fluid/Electrolyte Absorption [PE], Osmotic Activity [MoA], Osmotic Laxative [EPC], Potassium Compounds [CS], Potassium Salt [EPC]",N/A,No,12/31/2026
