Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
DUAL ACTION Pepcid Complete,29485-6522-2,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",29485-6522,"famotidine, calcium carbonate, and magnesium hydroxide tablet, chewable",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/29/2020,N/A,NDA,"2 POUCH in 1 CARTON (29485-6522-2) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,16837-246-25,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-246,"Famotidine, Calcium Carbonate, and Magnesium Hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/01/2009,N/A,NDA,"25 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (16837-246-25)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,16837-246-50,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-246,"Famotidine, Calcium Carbonate, and Magnesium Hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,01/01/2009,N/A,NDA,"50 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (16837-246-50)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid Complete,16837-298-70,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,08/29/2025,N/A,NDA,"70 TABLET, CHEWABLE in 1 BOTTLE (16837-298-70)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-72,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,05/29/2026,N/A,NDA,"72 TABLET, CHEWABLE in 1 BOTTLE (16837-298-72)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-67,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2020,N/A,NDA,"4 POUCH in 1 CARTON (16837-298-67) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-65,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2020,N/A,NDA,"2500 POUCH in 1 CARTON (16837-298-65) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-68,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,06/15/2020,N/A,NDA,"8 POUCH in 1 CARTON (16837-298-68) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-12,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/01/2009,N/A,NDA,"100 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (16837-298-12)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Pepcid Complete,16837-298-25,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,Kenvue Brands LLC,16837-298,"Famotidine, Calcium carbonate, and Magnesium hydroxide",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,03/01/2009,N/A,NDA,"25 TABLET, CHEWABLE in 1 BOTTLE, PLASTIC (16837-298-25)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
