Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
DUAL ACTION Pepcid Complete,29485-6522-2,"10 mg/1, 800 mg/1, 165 mg/1","TABLET, CHEWABLE",ORAL,NDA020958,"Lil' Drug Store Products, Inc.",29485-6522,"famotidine, calcium carbonate, and magnesium hydroxide tablet, chewable",CALCIUM CARBONATE; FAMOTIDINE; MAGNESIUM HYDROXIDE,HUMAN OTC DRUG,07/29/2020,N/A,NDA,"2 POUCH in 1 CARTON (29485-6522-2) / 1 TABLET, CHEWABLE in 1 POUCH","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Maximum Strength PEPCID AC,16837-889-40,20 mg/1,"TABLET, FILM COATED",ORAL,NDA020325,Kenvue Brands LLC,16837-889,Famotidine,FAMOTIDINE,HUMAN OTC DRUG,03/11/2024,N/A,NDA,"1 BOTTLE in 1 CARTON (16837-889-40) / 40 TABLET, FILM COATED in 1 BOTTLE","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Maximum Strength PEPCID AC,16837-889-20,20 mg/1,"TABLET, FILM COATED",ORAL,NDA020325,Kenvue Brands LLC,16837-889,Famotidine,FAMOTIDINE,HUMAN OTC DRUG,03/11/2024,N/A,NDA,"1 BOTTLE in 1 CARTON (16837-889-20) / 20 TABLET, FILM COATED in 1 BOTTLE","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid,0187-4420-10,20 mg/1,"TABLET, FILM COATED",ORAL,ANDA075805,Bausch Health US LLC,0187-4420,famotidine,FAMOTIDINE,HUMAN PRESCRIPTION DRUG,04/16/2001,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0187-4420-10)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid,0187-4420-30,20 mg/1,"TABLET, FILM COATED",ORAL,ANDA075805,Bausch Health US LLC,0187-4420,famotidine,FAMOTIDINE,HUMAN PRESCRIPTION DRUG,04/16/2001,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0187-4420-30)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid,0187-4440-10,40 mg/1,"TABLET, FILM COATED",ORAL,ANDA075805,Bausch Health US LLC,0187-4440,famotidine,FAMOTIDINE,HUMAN PRESCRIPTION DRUG,04/16/2001,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0187-4440-10)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Pepcid,0187-4440-30,40 mg/1,"TABLET, FILM COATED",ORAL,ANDA075805,Bausch Health US LLC,0187-4440,famotidine,FAMOTIDINE,HUMAN PRESCRIPTION DRUG,04/16/2001,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0187-4440-30)","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
PEPCID AC,16837-855-19,20 mg/1,"TABLET, FILM COATED",ORAL,NDA020325,Kenvue Brands LLC,16837-855,Famotidine,FAMOTIDINE,HUMAN OTC DRUG,04/27/2015,N/A,NDA,"1 BLISTER PACK in 1 CARTON (16837-855-19) / 8 TABLET, FILM COATED in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
PEPCID AC,16837-855-50,20 mg/1,"TABLET, FILM COATED",ORAL,NDA020325,Kenvue Brands LLC,16837-855,Famotidine,FAMOTIDINE,HUMAN OTC DRUG,09/01/2003,N/A,NDA,"1 BOTTLE, PLASTIC in 1 CARTON (16837-855-50) / 50 TABLET, FILM COATED in 1 BOTTLE, PLASTIC","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
PEPCID AC,16837-855-75,20 mg/1,"TABLET, FILM COATED",ORAL,NDA020325,Kenvue Brands LLC,16837-855,Famotidine,FAMOTIDINE,HUMAN OTC DRUG,09/01/2003,N/A,NDA,"1 BOTTLE, PLASTIC in 1 CARTON (16837-855-75) / 75 TABLET, FILM COATED in 1 BOTTLE, PLASTIC","Histamine H2 Receptor Antagonists [MoA], Histamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
