"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Famotidine","71821-012-08","10 mg/1","TABLET, FILM COATED","ORAL","ANDA215822","VKT Pharma Private Limited","71821-012","Famotidine","FAMOTIDINE","HUMAN OTC DRUG","09/07/2022","N/A","ANDA","288461 TABLET, FILM COATED in 1 BAG (71821-012-08)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Famotidine","71821-010-12","20 mg/1","TABLET, FILM COATED","ORAL","ANDA215822","VKT Pharma Private Limited","71821-010","Famotidine","FAMOTIDINE","HUMAN OTC DRUG","09/07/2022","N/A","ANDA","144230 TABLET, FILM COATED in 1 BAG (71821-010-12)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Famotidine","71872-7220-1","10 mg/mL","INJECTION","INTRAVENOUS","ANDA078642","Medical Purchasing Solutions, LLC","71872-7220","Famotidine","FAMOTIDINE","HUMAN PRESCRIPTION DRUG","11/12/2020","N/A","ANDA","1 VIAL in 1 BAG (71872-7220-1)  / 2 mL in 1 VIAL","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Famotidine","71821-010-13","20 mg/1","TABLET, FILM COATED","ORAL","ANDA215822","VKT Pharma Private Limited","71821-010","Famotidine","FAMOTIDINE","HUMAN OTC DRUG","05/23/2024","N/A","ANDA","144230 TABLET, FILM COATED in 1 BAG (71821-010-13)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Famotidine","43063-533-30","40 mg/1","TABLET, FILM COATED","ORAL","ANDA075511","PD-Rx Pharmaceuticals, Inc.","43063-533","Famotidine","FAMOTIDINE","HUMAN PRESCRIPTION DRUG","04/14/2014","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (43063-533-30)","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"acid relief","11822-6141-0","10 mg/1","TABLET, FILM COATED","ORAL","ANDA075400","Rite Aid Corporation","11822-6141","Famotidine","FAMOTIDINE","HUMAN OTC DRUG","02/28/2023","09/30/2026","ANDA","30 BLISTER PACK in 1 CARTON (11822-6141-0)  / 1 TABLET, FILM COATED in 1 BLISTER PACK","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","N/A"
"acid relief","11822-6141-2","10 mg/1","TABLET, FILM COATED","ORAL","ANDA075400","Rite Aid Corporation","11822-6141","Famotidine","FAMOTIDINE","HUMAN OTC DRUG","08/16/2023","09/30/2026","ANDA","2 BOTTLE in 1 CARTON (11822-6141-2)  / 90 TABLET, FILM COATED in 1 BOTTLE","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","N/A"
"Dual Action Complete","30142-213-71","10 mg/1,  800 mg/1,  165 mg/1","TABLET, CHEWABLE","ORAL","ANDA077355","Kroger Company","30142-213","Famotidine, Calcium Carbonate, Magnesium Hydroxide","FAMOTIDINE,  CALCIUM CARBONATE,  MAGNESIUM HYDROXIDE","HUMAN OTC DRUG","02/03/2016","N/A","ANDA","50 TABLET, CHEWABLE in 1 BOTTLE (30142-213-71)","Calculi Dissolution Agent [EPC],  Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC],  Increased Large Intestinal Motility [PE],  Inhibition Large Intestine Fluid/Electrolyte Absorption [PE],  Inhibition Small Intestine Fluid/Electrolyte Absorption [PE],  Magnesium Ion Exchange Activity [MoA],  Osmotic Activity [MoA],  Osmotic Laxative [EPC],  Stimulation Large Intestine Fluid/Electrolyte Secretion [PE]","N/A","No","12/31/2026"
"Famotidine","25021-754-04","10 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","ANDA075651","Sagent Pharmaceuticals","25021-754","Famotidine","FAMOTIDINE","HUMAN PRESCRIPTION DRUG","12/15/2024","N/A","ANDA","10 VIAL in 1 CARTON (25021-754-04)  / 4 mL in 1 VIAL","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Famotidine","25021-754-20","10 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","ANDA075651","Sagent Pharmaceuticals","25021-754","Famotidine","FAMOTIDINE","HUMAN PRESCRIPTION DRUG","12/15/2024","N/A","ANDA","10 VIAL in 1 CARTON (25021-754-20)  / 20 mL in 1 VIAL","Histamine H2 Receptor Antagonists [MoA],  Histamine-2 Receptor Antagonist [EPC]","N/A","No","12/31/2026"
