Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
GIMOTI,72089-307-15,15 mg/.07mL,SPRAY,NASAL,NDA209388,"Evoke Pharma, Inc.",72089-307,METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/19/2020,N/A,NDA,"1 BOTTLE, PUMP in 1 CARTON (72089-307-15) / 9.8 mL in 1 BOTTLE, PUMP","Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Metoclopramide,0121-0576-16,5 mg/5mL,SOLUTION,ORAL,ANDA072744,"PAI Holdings, LLC dba PAI Pharma",0121-0576,metoclopramide hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/01/1991,N/A,ANDA,473 mL in 1 BOTTLE (0121-0576-16),"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Metoclopramide,0121-1576-10,5 mg/5mL,SOLUTION,ORAL,ANDA072744,"PAI Holdings, LLC dba PAI Pharma",0121-1576,metoclopramide hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/01/1991,N/A,ANDA,"10 TRAY in 1 CASE (0121-1576-10) / 10 CUP, UNIT-DOSE in 1 TRAY / 10 mL in 1 CUP, UNIT-DOSE","Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
METOCLOPRAMIDE,0404-9771-02,5 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA204756,"Henry Schein, Inc.",0404-9771,metoclopramide hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/30/2026,N/A,ANDA,1 VIAL in 1 BAG (0404-9771-02) / 2 mL in 1 VIAL,"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Metoclopramide,23155-240-41,5 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA204756,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-240,Metoclopramide Hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/03/2014,N/A,ANDA,25 VIAL in 1 CARTON (23155-240-41) / 2 mL in 1 VIAL (23155-240-31),"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Metoclopramide,23155-240-43,5 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA204756,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-240,Metoclopramide Hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/03/2014,N/A,ANDA,25 VIAL in 1 CARTON (23155-240-43) / 30 mL in 1 VIAL (23155-240-33),"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Metoclopramide,23155-240-42,5 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA204756,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-240,Metoclopramide Hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/03/2014,N/A,ANDA,25 VIAL in 1 CARTON (23155-240-42) / 10 mL in 1 VIAL (23155-240-32),"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Metoclopramide,64950-344-16,5 mg/5mL,SOLUTION,ORAL,ANDA072744,Genus Lifesciences Inc.,64950-344,Metoclopramide Hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/01/2024,N/A,ANDA,"473 mL in 1 BOTTLE, PLASTIC (64950-344-16)","Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Metoclopramide,71872-7265-1,5 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA204756,"Medical Purchasing Solutions, LLC",71872-7265,Metoclopramide Hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2021,N/A,ANDA,1 VIAL in 1 BAG (71872-7265-1) / 2 mL in 1 VIAL,"Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Metoclopramide,76045-101-20,10 mg/2mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA091392,"Fresenius Kabi USA, LLC",76045-101,Metoclopramide Hydrochloride,METOCLOPRAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/03/2013,N/A,ANDA,"24 BLISTER PACK in 1 CARTON (76045-101-20) / 1 SYRINGE, GLASS in 1 BLISTER PACK (76045-101-00) / 2 mL in 1 SYRINGE, GLASS","Dopamine D2 Antagonists [MoA], Dopamine-2 Receptor Antagonist [EPC]",N/A,No,12/31/2026
