Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ARTHROTEC,0025-1411-60,"50 mg/1, 200 ug/1","TABLET, FILM COATED",ORAL,NDA020607,Pfizer Laboratories Div Pfizer Inc,0025-1411,diclofenac sodium and misoprostol,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,12/24/1997,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0025-1411-60)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2026
ARTHROTEC,0025-1411-90,"50 mg/1, 200 ug/1","TABLET, FILM COATED",ORAL,NDA020607,Pfizer Laboratories Div Pfizer Inc,0025-1411,diclofenac sodium and misoprostol,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,12/24/1997,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (0025-1411-90)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2026
ARTHROTEC,0025-1421-60,"75 mg/1, 200 ug/1","TABLET, FILM COATED",ORAL,NDA020607,Pfizer Laboratories Div Pfizer Inc,0025-1421,diclofenac sodium and misoprostol,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,12/24/1997,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0025-1421-60)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2026
Cytotec,0025-1451-60,100 ug/1,TABLET,ORAL,NDA019268,Pfizer Laboratories Div Pfizer Inc,0025-1451,misoprostol,MISOPROSTOL,HUMAN PRESCRIPTION DRUG,12/27/1986,N/A,NDA,"60 TABLET in 1 BOTTLE, UNIT-DOSE (0025-1451-60)","Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2027
Cytotec,0025-1461-31,200 ug/1,TABLET,ORAL,NDA019268,Pfizer Laboratories Div Pfizer Inc,0025-1461,misoprostol,MISOPROSTOL,HUMAN PRESCRIPTION DRUG,12/27/1986,N/A,NDA,"100 TABLET in 1 BOTTLE, UNIT-DOSE (0025-1461-31)","Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2027
Cytotec,0025-1461-60,200 ug/1,TABLET,ORAL,NDA019268,Pfizer Laboratories Div Pfizer Inc,0025-1461,misoprostol,MISOPROSTOL,HUMAN PRESCRIPTION DRUG,12/27/1986,N/A,NDA,"60 TABLET in 1 BOTTLE, UNIT-DOSE (0025-1461-60)","Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2027
DICLOENAC SODIUM and MISOPROSTOL,80425-0273-1,"75 mg/1, 200 ug/1",TABLET,ORAL,ANDA204355,"Advanced Rx Pharmacy of Tennessee, LLC",80425-0273,DICLOENAC SODIUM and MISOPROSTOL,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,02/16/2023,N/A,ANDA,60 TABLET in 1 BOTTLE (80425-0273-1),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2026
Diclofenac Sodium and Misoprostol,0591-0397-19,"50 mg/1, 200 ug/1","TABLET, DELAYED RELEASE",ORAL,ANDA201089,"Actavis Pharma, Inc.",0591-0397,Diclofenac Sodium and Misoprostol,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,11/01/2012,N/A,ANDA,"90 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0591-0397-19)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2027
Diclofenac Sodium and Misoprostol,0591-0397-60,"50 mg/1, 200 ug/1","TABLET, DELAYED RELEASE",ORAL,ANDA201089,"Actavis Pharma, Inc.",0591-0397,Diclofenac Sodium and Misoprostol,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,11/01/2012,N/A,ANDA,"60 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0591-0397-60)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2027
Diclofenac Sodium and Misoprostol,0591-0398-60,"75 mg/1, 200 ug/1","TABLET, DELAYED RELEASE",ORAL,ANDA201089,"Actavis Pharma, Inc.",0591-0398,Diclofenac Sodium and Misoprostol,DICLOFENAC SODIUM; MISOPROSTOL,HUMAN PRESCRIPTION DRUG,11/01/2012,N/A,ANDA,"60 TABLET, DELAYED RELEASE in 1 BOTTLE, PLASTIC (0591-0398-60)","Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Prostaglandin E1 Analog [EPC], Prostaglandins E, Synthetic [CS]",N/A,No,12/31/2027
