Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Carafate,58914-170-14,1 g/10mL,SUSPENSION,ORAL,NDA019183,"Allergan, Inc.",58914-170,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,12/16/1993,N/A,NDA,420 mL in 1 BOTTLE (58914-170-14),"Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2026
Carafate,58914-170-60,1 g/10mL,SUSPENSION,ORAL,NDA019183,"Allergan, Inc.",58914-170,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,12/16/1993,N/A,NDA,"6 CUP, UNIT-DOSE in 1 BOX (58914-170-60) / 10 mL in 1 CUP, UNIT-DOSE","Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,Yes,12/31/2026
Carafate,58914-171-10,1 g/1,TABLET,ORAL,NDA018333,"Allergan, Inc.",58914-171,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,10/30/1981,N/A,NDA,100 TABLET in 1 BOTTLE (58914-171-10),"Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2026
Sucralfate,0093-2210-98,1 g/1,TABLET,ORAL,ANDA070848,"Teva Pharmaceuticals USA, Inc.",0093-2210,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,01/12/2011,N/A,ANDA,90 TABLET in 1 BOTTLE (0093-2210-98),"Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2026
Sucralfate,0093-2210-01,1 g/1,TABLET,ORAL,ANDA070848,"Teva Pharmaceuticals USA, Inc.",0093-2210,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,11/11/1996,N/A,ANDA,100 TABLET in 1 BOTTLE (0093-2210-01),"Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2026
Sucralfate,0093-2210-05,1 g/1,TABLET,ORAL,ANDA070848,"Teva Pharmaceuticals USA, Inc.",0093-2210,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,11/11/1996,N/A,ANDA,500 TABLET in 1 BOTTLE (0093-2210-05),"Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2026
Sucralfate,0121-0974-94,1 g/10mL,SUSPENSION,ORAL,ANDA211884,"PAI Holdings, LLC dba PAI Pharma",0121-0974,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,ANDA,"3 TRAY in 1 CASE (0121-0974-94) / 10 CUP, UNIT-DOSE in 1 TRAY / 10 mL in 1 CUP, UNIT-DOSE (0121-0974-10)","Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2027
Sucralfate,0121-0974-00,1 g/10mL,SUSPENSION,ORAL,ANDA211884,"PAI Holdings, LLC dba PAI Pharma",0121-0974,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,ANDA,"10 TRAY in 1 TRAY (0121-0974-00) / 10 CUP, UNIT-DOSE in 1 TRAY / 10 mL in 1 CUP, UNIT-DOSE (0121-0974-10)","Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2027
Sucralfate,0121-0974-40,1 g/10mL,SUSPENSION,ORAL,ANDA211884,"PAI Holdings, LLC dba PAI Pharma",0121-0974,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,ANDA,"4 TRAY in 1 CASE (0121-0974-40) / 10 CUP, UNIT-DOSE in 1 TRAY / 10 mL in 1 CUP, UNIT-DOSE (0121-0974-10)","Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2027
Sucralfate,0121-0974-50,1 g/10mL,SUSPENSION,ORAL,ANDA211884,"PAI Holdings, LLC dba PAI Pharma",0121-0974,Sucralfate,SUCRALFATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,ANDA,"5 PACKAGE in 1 TRAY (0121-0974-50) / 10 CUP, UNIT-DOSE in 1 PACKAGE / 10 mL in 1 CUP, UNIT-DOSE (0121-0974-10)","Aluminum Complex [EPC], Organometallic Compounds [CS]",N/A,No,12/31/2027
