"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CHLORPROMAZINE HYDROCHLORIDE","0404-9836-01","25 mg/mL","INJECTION","INTRAMUSCULAR","ANDA083329","Henry Schein, Inc.","0404-9836","CHLORPROMAZINE HYDROCHLORIDE","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/09/2022","N/A","ANDA","1 AMPULE in 1 BAG (0404-9836-01)  / 1 mL in 1 AMPULE","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2961-37","10 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2961","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","100 TABLET, COATED in 1 BOTTLE (0527-2961-37)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2962-43","25 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2962","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","1000 TABLET, COATED in 1 BOTTLE (0527-2962-43)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2962-37","25 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2962","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","100 TABLET, COATED in 1 BOTTLE (0527-2962-37)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2963-37","50 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2963","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","100 TABLET, COATED in 1 BOTTLE (0527-2963-37)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2963-43","50 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2963","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","1000 TABLET, COATED in 1 BOTTLE (0527-2963-43)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2964-43","100 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2964","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","1000 TABLET, COATED in 1 BOTTLE (0527-2964-43)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2964-37","100 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2964","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","100 TABLET, COATED in 1 BOTTLE (0527-2964-37)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2965-37","200 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2965","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","100 TABLET, COATED in 1 BOTTLE (0527-2965-37)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Chlorpromazine Hydrochloride","0527-2965-43","200 mg/1","TABLET, COATED","ORAL","ANDA212996","Lannett Company, Inc.","0527-2965","Chlorpromazine Hydrochloride","CHLORPROMAZINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2021","N/A","ANDA","1000 TABLET, COATED in 1 BOTTLE (0527-2965-43)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
