"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Perphenazine","0591-4101-01","2 mg/1","TABLET, FILM COATED","ORAL","ANDA207582","Actavis Pharma, Inc.","0591-4101","Perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0591-4101-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0591-4102-01","4 mg/1","TABLET, FILM COATED","ORAL","ANDA207582","Actavis Pharma, Inc.","0591-4102","Perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0591-4102-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0591-4103-01","8 mg/1","TABLET, FILM COATED","ORAL","ANDA207582","Actavis Pharma, Inc.","0591-4103","Perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0591-4103-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0591-4104-01","16 mg/1","TABLET, FILM COATED","ORAL","ANDA207582","Actavis Pharma, Inc.","0591-4104","Perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","05/30/2017","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0591-4104-01)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0603-5060-21","2 mg/1","TABLET, FILM COATED","ORAL","ANDA040226","Endo USA, Inc.","0603-5060","perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","12/31/1998","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5060-21)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0603-5061-28","4 mg/1","TABLET, FILM COATED","ORAL","ANDA040226","Endo USA, Inc.","0603-5061","perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","12/31/1998","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5061-28)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0603-5061-21","4 mg/1","TABLET, FILM COATED","ORAL","ANDA040226","Endo USA, Inc.","0603-5061","perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","12/31/1998","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5061-21)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0603-5062-28","8 mg/1","TABLET, FILM COATED","ORAL","ANDA040226","Endo USA, Inc.","0603-5062","perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","12/31/1998","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5062-28)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0603-5062-21","8 mg/1","TABLET, FILM COATED","ORAL","ANDA040226","Endo USA, Inc.","0603-5062","perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","12/31/1998","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5062-21)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
"Perphenazine","0603-5063-21","16 mg/1","TABLET, FILM COATED","ORAL","ANDA040226","Endo USA, Inc.","0603-5063","perphenazine","PERPHENAZINE","HUMAN PRESCRIPTION DRUG","12/31/1998","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0603-5063-21)","Phenothiazine [EPC],  Phenothiazines [CS]","N/A","No","12/31/2026"
